symbol,entry_time,exit_time,r,return_fraction,side,signal_strength
USTEC,2025-09-01T08:00:00+00:00,2025-09-02T12:45:00+00:00,-1.0217968749999966,-0.010217968749999966,long,0.07571453469958955
US30,2025-09-01T08:00:00+00:00,2025-09-02T13:30:00+00:00,-1.021843750000005,-0.01021843750000005,long,0.0674029495971752
ETHUSD,2025-09-01T08:00:00+00:00,2025-09-22T06:00:00+00:00,-1.0513749999999995,-0.010513749999999995,long,0.4984194282088259
ETHUSD,2025-09-22T08:00:00+00:00,2025-09-25T12:15:00+00:00,-1.0247656250000008,-0.010247656250000008,long,0.2524165684578555
USTEC,2025-09-03T08:00:00+00:00,2025-10-05T22:00:00+00:00,3.630340001411035,0.03630340001411035,long,0.06346089730488025
ETHUSD,2025-09-26T08:00:00+00:00,2025-10-10T21:00:00+00:00,-1.0418124999999998,-0.010418124999999999,long,0.10499571924460449
ETHUSD,2025-10-11T08:00:00+00:00,2025-10-25T00:00:00+00:00,0.42460528424776495,0.0042460528424776494,long,0.07850708708613148
ETHUSD,2025-10-26T08:00:00+00:00,2025-10-31T00:00:00+00:00,-0.47239776729701277,-0.004723977672970127,long,0.07586803049318232
US30,2025-10-31T08:00:00+00:00,2025-11-02T23:00:00+00:00,-0.005404130407635238,-5.404130407635238e-05,long,0.053397722859119534
US30,2025-11-04T08:00:00+00:00,2025-11-18T00:00:00+00:00,-0.5792081863729918,-0.005792081863729918,long,0.045134585040571606
USTEC,2025-10-13T08:00:00+00:00,2025-11-19T00:00:00+00:00,-0.4868949926121048,-0.004868949926121048,long,0.05522156365198732
US30,2025-11-19T08:00:00+00:00,2025-11-20T00:00:00+00:00,0.23491464882813648,0.002349146488281365,long,0.00825616050041878
USTEC,2025-11-20T08:00:00+00:00,2025-11-20T17:00:00+00:00,-1.0205624999999996,-0.010205624999999996,long,0.02587620266497161
US30,2025-11-24T08:00:00+00:00,2025-11-25T00:00:00+00:00,0.016459774680618506,0.00016459774680618506,long,0.007281158985751407
GBPJPY,2025-11-18T08:00:00+00:00,2025-11-30T22:00:00+00:00,1.4243457141140432,0.014243457141140432,long,0.01681609877988773
US30,2025-12-01T08:00:00+00:00,2025-12-02T00:00:00+00:00,-0.2804318982040973,-0.002804318982040973,long,0.03254494740489936
GBPJPY,2025-12-02T08:00:00+00:00,2025-12-05T00:00:00+00:00,0.44836718152907684,0.004483671815290769,long,0.025294035078036264
USTEC,2025-11-25T08:00:00+00:00,2025-12-17T00:00:00+00:00,0.2444578731586848,0.002444578731586848,long,0.011669474886293966
GBPJPY,2025-12-17T08:00:00+00:00,2025-12-25T22:00:00+00:00,2.1183300868445194,0.021183300868445193,long,0.026389264558705106
USTEC,2025-12-26T08:00:00+00:00,2025-12-28T23:00:00+00:00,0.001213639663057587,1.213639663057587e-05,long,0.042176034571683285
GBPJPY,2025-12-29T08:00:00+00:00,2026-01-08T00:00:00+00:00,0.23237267378780846,0.0023237267378780845,long,0.03844055775376483
USTEC,2026-01-08T08:00:00+00:00,2026-01-09T00:00:00+00:00,-0.20943240767095359,-0.0020943240767095357,long,0.04282392871459494
GBPJPY,2026-01-09T08:00:00+00:00,2026-01-11T22:00:00+00:00,0.21444243238085137,0.0021444243238085137,long,0.03818151148162889
USTEC,2026-01-12T08:00:00+00:00,2026-01-13T00:00:00+00:00,0.4086828639612792,0.004086828639612792,long,0.03684424127624203
GBPJPY,2026-01-13T08:00:00+00:00,2026-01-14T16:45:00+00:00,-1.0220468749999958,-0.010220468749999958,long,0.03883017551439121
GBPJPY,2026-01-15T08:00:00+00:00,2026-01-16T02:30:00+00:00,-1.0211562500000044,-0.010211562500000045,long,0.04192639548083279
GBPJPY,2026-01-16T08:00:00+00:00,2026-01-26T04:15:00+00:00,-1.034765624999994,-0.01034765624999994,long,0.036296346647218126
