symbol,broker_symbol,timeframe,confirmation,pivot_len,atr_sl_mult,rr,session,trades,wins,losses,win_rate,start_balance,final_balance,profit,return_pct,max_drawdown_pct,profit_factor,avg_r,avg_lot,avg_actual_risk,max_trades_per_day,risk_mode,fixed_lot,risk_usd_cap,risk_usd_offset,max_consecutive_losses,loss_cooldown_days,weekly_loss_limit_r,monthly_loss_limit_r
EURJPY,EURJPY..,M5,EMA,3,1.2,1.0/1.5/2.0,LONDON,15,8,7,53.33,10000.0,10609.66,609.66,6.1,5.87,1.4,0.211,3.319,213.42,3,RISK_PERCENT,0.01,12.0,0.5,3,5,2.0,6.0
USDSGD,USDSGD..,M5,EMA,3,2.0,1.0/2.0/3.0,ALL,22,14,8,63.64,10000.0,10709.73,709.73,7.1,7.02,1.43,0.167,2.838,214.12,1,RISK_PERCENT,0.01,12.0,0.5,3,5,2.0,6.0
