symbol,anchor,development_rank,verdict,signal_timeframe,entry_mode,rr,stop_mode,stop_buffer_atr,max_stop_atr,management,safe,locked_return_pct,locked_pf,locked_win_pct,locked_dd_pct,locked_trades,locked_sharpe,locked_recovery,mc_return_p5_pct,mc_return_median_pct,mc_dd_p95_pct,full_return_pct,full_pf,full_win_pct,full_dd_pct,full_trades,full_sharpe,full_recovery
xauusd,overlap-1300,1,REJECT,M15,direct,1.5,opposite,0.05,2.5,selected pipeline,False,-0.2638,0.99,48.28,10.01,145,-0.1,-0.02,-14.031844999999883,-0.19484999999992397,17.961767656711352,41.5612,1.36,53.37,10.16,341,5.41,2.72
xauusd,ny-cash-0930,2,WATCH,M15,direct,0.5,opposite,0.1,3.0,selected pipeline,False,0.58,1.09,64.71,2.04,34,2.03,0.28,-1.9986600000000032,0.5905999999999767,3.1966000000000134,12.0668,2.1,77.65,2.39,85,16.02,4.48
xagusd,futures-1800,1,REJECT,M15,direct,0.5,opposite,0.1,3.0,none,False,-2.1283,0.92,60.0,7.78,95,-2.77,-0.27,-10.344029999999945,-2.081599999999826,12.239849999999876,1.5248,1.06,63.64,7.21,110,1.63,0.2
xagusd,asia-0000,2,REJECT,H1,direct,2.0,signal,0.1,2.5,selected pipeline,False,-11.545,0.71,41.18,15.27,102,-5.0,-0.75,-22.894264999999777,-11.661749999999891,24.29055756693799,-8.0234,0.84,41.67,14.71,132,-2.79,-0.52
ustec,overlap-1300,1,WATCH,M15,direct,4.0,opposite,0.1,3.0,selected pipeline,False,16.343,1.53,50.7,6.8,71,7.12,2.31,-1.7628599999999868,15.745899999999965,11.269934470147751,89.5018,1.84,54.19,6.81,179,10.86,7.76
ustec,ny-metals-0820,2,WATCH,M15,direct,2.0,opposite,0.2,4.0,selected pipeline,False,1.0379,1.02,58.05,10.06,174,0.37,0.09,-18.145815000000034,1.1389000000000125,23.581449588404134,47.738800000000005,1.24,60.22,10.11,455,4.97,2.93
