instrument,symbol,session_date,direction,entry_mode,stop_mode,exit_mode,rr_target,entry_time,exit_time,entry,stop,target,exit_price,pnl_r,outcome,portfolio_risk_cash,portfolio_pnl_cash,portfolio_balance_after_exit,asian_high,asian_low,asian_range,adr,range_adr_fraction,mae_r,ambiguous_bar
XAUUSD,XAUUSDb,2025-07-29,buy,confirmed_close,midpoint,trailing,3.0,2025-07-29 11:15:00+00:00,2025-07-29 16:35:00+00:00,3327.25,3314.49,3365.5300000000007,3314.49,-1.0,loss,20.0,-20.0,980.0,3320.93,3308.05,12.879999999999654,43.595714285714294,0.29544188485105866,-1.0,False
XAUUSD,XAUUSDb,2025-08-05,sell,confirmed_close,midpoint,trailing,3.0,2025-08-05 08:15:00+00:00,2025-08-05 14:49:00+00:00,3368.93,3376.745,3345.4849999999997,3353.9075000000003,1.9222648752398563,win,18.982297305985565,36.489003362656206,948.018919996083,3382.45,3371.04,11.409999999999854,48.8871428571428,0.233394699161331,-0.8522072936660605,False
XAUUSD,XAUUSDb,2025-08-06,sell,confirmed_close,midpoint,trailing,3.0,2025-08-06 08:30:00+00:00,2025-08-06 17:00:00+00:00,3371.8,3378.8,3350.8,3372.76,-0.13714285714286234,loss,18.96037839992166,-2.600280466275069,988.9859040036182,3385.33,3372.27,13.059999999999945,47.64499999999992,0.2741106097177032,-0.9899999999999766,False
XAUUSD,XAUUSDb,2025-08-07,buy,confirmed_close,midpoint,trailing,3.0,2025-08-07 09:45:00+00:00,2025-08-07 11:24:00+00:00,3385.6600000000003,3374.7250000000004,3418.465,3374.7250000000004,-1.0,loss,19.779718080072364,-19.779718080072364,969.2061859235458,3384.11,3365.34,18.769999999999982,46.55071428571419,0.40321615442451436,-1.0,False
XAUUSD,XAUUSDb,2025-08-13,buy,confirmed_close,midpoint,trailing,3.0,2025-08-13 09:30:00+00:00,2025-08-13 17:00:00+00:00,3355.11,3348.56,3374.7600000000007,3364.69,1.4625954198472766,win,19.898442426789696,29.103370755517336,1024.0254920950022,3354.42,3342.7,11.720000000000255,43.92499999999989,0.26681844052362624,-0.34351145038166986,False
XAUUSD,XAUUSDb,2025-08-14,sell,confirmed_close,midpoint,trailing,3.0,2025-08-14 10:45:00+00:00,2025-08-14 17:00:00+00:00,3352.62,3365.0950000000003,3315.194999999999,3343.67,0.7174348697394435,win,20.480509841900044,14.693431910620948,1038.7189240056232,3374.85,3355.34,19.509999999999764,42.939285714285624,0.4543624719287986,-0.5274549098196545,False
XAUUSD,XAUUSDb,2025-08-20,buy,confirmed_close,midpoint,trailing,3.0,2025-08-20 09:00:00+00:00,2025-08-20 16:00:00+00:00,3323.55,3316.275,3345.3750000000005,3341.2625,2.434707903779988,win,20.371305394925372,49.59817825534071,1047.7921426066841,3321.01,3311.54,9.470000000000255,38.83999999999992,0.24382080329557865,-0.3560137457044829,False
XAUUSD,XAUUSDb,2025-08-21,sell,confirmed_close,midpoint,trailing,3.0,2025-08-21 08:15:00+00:00,2025-08-21 15:35:00+00:00,3337.22,3345.045,3313.744999999999,3345.045,-1.0,loss,20.95584285213368,-20.95584285213368,1028.6573741218842,3352.13,3337.96,14.170000000000073,38.669999999999945,0.36643392810964814,-1.0,False
XAUUSD,XAUUSDb,2025-08-22,sell,confirmed_close,midpoint,trailing,3.0,2025-08-22 09:30:00+00:00,2025-08-22 10:18:00+00:00,3327.56,3334.33,3307.25,3334.33,-1.0,loss,20.573147482437683,-20.573147482437683,1008.0842266394466,3340.65,3328.01,12.639999999999873,34.7492857142857,0.3637484840387229,-1.0,False
XAUUSD,XAUUSDb,2025-08-28,buy,confirmed_close,midpoint,trailing,3.0,2025-08-28 12:00:00+00:00,2025-08-28 17:00:00+00:00,3400.8700000000003,3392.0,3427.4800000000014,3407.33,0.7282976324689211,win,19.854931946722637,14.460299929629644,998.4337705823614,3399.39,3384.61,14.779999999999745,34.49714285714286,0.428441278780844,-0.7891770011274163,False
XAUUSD,XAUUSDb,2025-09-08,buy,confirmed_close,midpoint,trailing,3.0,2025-09-08 10:00:00+00:00,2025-09-08 13:18:00+00:00,3598.12,3587.6099999999997,3629.6500000000005,3617.265,1.821598477640303,win,20.393011673383906,37.14787901873705,1056.7984626879322,3597.18,3578.04,19.139999999999873,43.767857142857146,0.43730722154222473,-0.15889628924833854,False
XAUUSD,XAUUSDb,2025-09-11,sell,confirmed_close,midpoint,trailing,3.0,2025-09-11 09:00:00+00:00,2025-09-11 15:32:00+00:00,3625.2,3639.58,3582.0599999999995,3639.58,-1.0,loss,21.614075156042112,-21.614075156042112,1059.0896826460635,3649.15,3630.01,19.139999999999873,48.07285714285714,0.3981456717482367,-1.0,False
XAUUSD,XAUUSDb,2025-09-16,buy,confirmed_close,midpoint,trailing,3.0,2025-09-16 10:00:00+00:00,2025-09-16 17:00:00+00:00,3692.98,3682.1800000000003,3725.379999999999,3696.24,0.3018518518518376,win,21.199391782783188,6.399075667765734,1045.169273024142,3689.56,3674.8,14.759999999999764,48.46214285714287,0.3045676301089166,-0.7212962962963112,False
XAUUSD,XAUUSDb,2025-09-17,sell,confirmed_close,midpoint,trailing,3.0,2025-09-17 09:45:00+00:00,2025-09-17 17:00:00+00:00,3671.5,3684.88,3631.3599999999997,3679.44,-0.5934230194319873,loss,20.485317751273183,-12.15645911398422,991.6241106984018,3695.34,3674.42,20.920000000000073,48.6957142857143,0.42960659488954867,-0.8363228699551543,False
XAUUSD,XAUUSDb,2025-09-18,sell,confirmed_close,midpoint,trailing,3.0,2025-09-18 09:15:00+00:00,2025-09-18 11:44:00+00:00,3637.43,3661.9849999999997,3563.7650000000003,3661.9849999999997,-1.0,loss,19.832482213968035,-19.832482213968035,971.7916284844337,3672.06,3651.91,20.15000000000009,50.32714285714288,0.400380368446452,-1.0,False
XAUUSD,XAUUSDb,2025-09-22,buy,confirmed_close,midpoint,trailing,3.0,2025-09-22 08:45:00+00:00,2025-09-22 09:54:00+00:00,3698.4900000000002,3690.635,3722.0550000000003,3715.9525000000003,2.2231063017186568,win,19.399379896217027,43.126883696714295,1013.0958785075658,3697.46,3683.81,13.650000000000091,50.04500000000004,0.2727545209311636,-0.3730108211330725,False
XAUUSD,XAUUSDb,2025-09-23,buy,confirmed_close,midpoint,trailing,3.0,2025-09-23 11:45:00+00:00,2025-09-23 17:00:00+00:00,3770.2000000000003,3747.925,3837.0250000000005,3782.38,0.5468013468013372,win,20.261917570151315,11.079243816136417,1003.9132047535509,3759.21,3736.64,22.570000000000164,49.702857142857155,0.4540986433662943,-0.03905723905725441,False
XAUUSD,XAUUSDb,2025-09-24,buy,confirmed_close,midpoint,trailing,3.0,2025-09-24 08:45:00+00:00,2025-09-24 13:25:00+00:00,3774.8,3761.25,3815.4500000000007,3761.25,-1.0,loss,20.078264095071017,-20.078264095071017,983.8349406584798,3771.75,3750.75,21.0,49.88000000000001,0.42101042502004804,-1.0,False
XAUUSD,XAUUSDb,2025-09-25,buy,confirmed_close,midpoint,trailing,3.0,2025-09-25 11:00:00+00:00,2025-09-25 15:36:00+00:00,3752.34,3740.605,3787.5450000000005,3740.605,-1.0,loss,19.676698813169597,-19.676698813169597,964.1582418453102,3751.5,3729.71,21.789999999999964,50.53000000000004,0.4312289728873926,-1.0,False
XAUUSD,XAUUSDb,2025-10-01,buy,confirmed_close,midpoint,trailing,3.0,2025-10-01 11:00:00+00:00,2025-10-01 15:57:00+00:00,3879.28,3865.08,3921.880000000001,3865.08,-1.0,loss,19.27545157097144,-19.27545157097144,963.772578548572,3875.48,3854.68,20.800000000000182,52.667857142857166,0.3949277819217501,-1.0,False
XAUUSD,XAUUSDb,2025-10-02,buy,confirmed_close,midpoint,trailing,3.0,2025-10-02 09:15:00+00:00,2025-10-02 16:35:00+00:00,3871.92,3861.6850000000004,3902.624999999999,3891.8425,1.946507083536958,win,19.27545157097144,37.519803021269496,1001.2923815698415,3870.55,3852.82,17.730000000000018,53.04928571428575,0.33421750663129984,-0.9868099658036378,False
XAUUSD,XAUUSDb,2025-10-03,buy,confirmed_close,midpoint,trailing,3.0,2025-10-03 12:00:00+00:00,2025-10-03 17:00:00+00:00,3864.67,3850.92,3905.92,3884.69,1.4559999999999986,win,20.072297120132102,29.225264606912315,1032.8401206135175,3863.77,3838.07,25.699999999999818,56.712857142857175,0.45316002921987614,-0.724363636363639,False
