version,return_pct,profit_factor,win_rate_pct,max_drawdown_pct,trades,sharpe,recovery_factor,history_quality
raw-paper-locked,17.8045,1.09,21.34,24.59,239,1.48,0.68,100%
paper-rv-locked,-16.3667,0.82,16.13,22.16,124,-3.39,-0.74,100%
optimized-locked,15.607399999999998,1.72,30.77,10.6,26,11.44,1.14,100%
optimized-full,62.52760000000001,1.88,33.33,10.6,78,12.75,3.25,98%
