strategy,segment,from_date,to_date,model,initial,final,net,return_pct,profit_factor,win_rate_pct,equity_dd_amount,equity_dd_pct,balance_dd_pct,trades,wins,losses,gross_profit,gross_loss,largest_win,largest_loss,average_win,average_loss,expected_payoff,recovery_factor,sharpe,history_quality,report_path,chart_path
Screen-selected ORB15,Training,2020-01-01,2023-12-31,1-minute OHLC,10000.0,11535.43,1535.43,15.354300000000002,1.06,50.97,2304.67,18.15,17.25,514,262,252,27191.34,-25655.91,185.33,-160.27,103.78,-99.91,2.99,0.67,1.3,98%,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\US100 Fabio ORB Volatility Target Research 2026-08-26\Backtest Reports\selected-training-2020-2023.htm,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\US100 Fabio ORB Volatility Target Research 2026-08-26\Backtest Reports\selected-training-2020-2023.png
Screen-selected ORB15,Validation,2024-01-01,2025-06-30,1-minute OHLC,10000.0,12319.93,2319.93,23.199299999999997,1.27,52.36,947.4,8.56,8.01,191,100,91,11058.16,-8738.23,184.1,-126.64,110.58,-94.4,12.15,2.45,4.55,98%,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\US100 Fabio ORB Volatility Target Research 2026-08-26\Backtest Reports\selected-validation-2024-2025h1.htm,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\US100 Fabio ORB Volatility Target Research 2026-08-26\Backtest Reports\selected-validation-2024-2025h1.png
Screen-selected ORB15,Locked,2025-07-01,2026-08-25,Every Tick,10000.0,10482.38,482.38,4.823799999999999,1.07,56.58,1538.05,13.16,12.72,152,86,66,7156.92,-6674.54,172.08,-309.96,83.22,-99.75,3.17,0.31,1.38,100%,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\US100 Fabio ORB Volatility Target Research 2026-08-26\Backtest Reports\selected-locked-every-tick.htm,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\US100 Fabio ORB Volatility Target Research 2026-08-26\Backtest Reports\selected-locked-every-tick.png
Screen-selected ORB15,Latest year,2025-08-26,2026-08-25,Every Tick,10000.0,10161.03,161.03,1.6102999999999998,1.03,56.49,1490.8,13.16,12.72,131,74,57,5802.42,-5641.39,165.63,-300.36,78.41,-97.74,1.23,0.11,0.55,100%,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\US100 Fabio ORB Volatility Target Research 2026-08-26\Backtest Reports\selected-one-year-every-tick.htm,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\US100 Fabio ORB Volatility Target Research 2026-08-26\Backtest Reports\selected-one-year-every-tick.png
Screen-selected ORB15,Full,2020-01-01,2026-08-25,1-minute OHLC,10000.0,15128.27,5128.27,51.282700000000006,1.11,52.28,2304.67,18.15,17.25,857,448,409,50151.73,-45023.46,243.0,-210.88,111.95,-108.18,5.98,2.23,2.18,98%,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\US100 Fabio ORB Volatility Target Research 2026-08-26\Backtest Reports\selected-full-2020-2026.htm,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\US100 Fabio ORB Volatility Target Research 2026-08-26\Backtest Reports\selected-full-2020-2026.png
Literal ORB30,Training,2020-01-01,2023-12-31,1-minute OHLC,10000.0,10788.08,788.08,7.880800000000001,1.04,54.81,1280.88,12.04,11.74,655,359,296,20998.73,-20210.65,107.35,-134.23,58.49,-66.77,1.2,0.62,0.71,98%,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\US100 Fabio ORB Volatility Target Research 2026-08-26\Backtest Reports\literal-training-2020-2023.htm,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\US100 Fabio ORB Volatility Target Research 2026-08-26\Backtest Reports\literal-training-2020-2023.png
Literal ORB30,Validation,2024-01-01,2025-06-30,1-minute OHLC,10000.0,11102.51,1102.51,11.0251,1.13,53.08,1092.86,9.93,8.91,260,138,122,9894.29,-8791.78,113.6,-114.42,71.7,-70.71,4.24,1.01,2.3,98%,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\US100 Fabio ORB Volatility Target Research 2026-08-26\Backtest Reports\literal-validation-2024-2025h1.htm,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\US100 Fabio ORB Volatility Target Research 2026-08-26\Backtest Reports\literal-validation-2024-2025h1.png
Literal ORB30,Locked,2025-07-01,2026-08-25,Every Tick,10000.0,10907.73,907.73,9.077300000000001,1.18,59.56,1057.53,8.92,7.72,183,109,74,6015.79,-5108.06,116.1,-264.09,55.19,-67.89,4.96,0.86,3.0,100%,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\US100 Fabio ORB Volatility Target Research 2026-08-26\Backtest Reports\literal-locked-every-tick.htm,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\US100 Fabio ORB Volatility Target Research 2026-08-26\Backtest Reports\literal-locked-every-tick.png
Literal ORB30,Latest year,2025-08-26,2026-08-25,Every Tick,10000.0,10908.31,908.31,9.0831,1.2,59.63,1057.53,8.92,7.72,161,96,65,5434.77,-4526.46,116.1,-264.09,56.61,-68.56,5.64,0.86,3.44,100%,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\US100 Fabio ORB Volatility Target Research 2026-08-26\Backtest Reports\literal-one-year-every-tick.htm,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\US100 Fabio ORB Volatility Target Research 2026-08-26\Backtest Reports\literal-one-year-every-tick.png
Literal ORB30,Full,2020-01-01,2026-08-25,1-minute OHLC,10000.0,13197.26,3197.26,31.9726,1.09,55.19,1280.88,12.04,11.74,1098,606,492,38893.07,-35695.81,139.46,-171.93,64.18,-71.08,2.91,2.5,1.53,98%,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\US100 Fabio ORB Volatility Target Research 2026-08-26\Backtest Reports\literal-full-2020-2026.htm,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\US100 Fabio ORB Volatility Target Research 2026-08-26\Backtest Reports\literal-full-2020-2026.png
