starting_balance,ending_balance,net_profit,return_pct,trades,wins,losses,win_rate,net_r,avg_r,avg_spread_r,max_drawdown_pct,timeframe
300.0,311.32,11.32,3.77,67,28,39,41.79,2.02,0.0301,0.0237,21.57,M15
300.0,410.33,110.33,36.78,29,17,12,58.62,6.86,0.2367,0.0171,18.26,M30
