date,opened_at,closed_at,symbol,direction,result,r_multiple,balance_before,balance_after,level_after
2026-05-28,2026-05-28 23:30:00,2026-05-29 06:00:00,AUDUSD,SELL,timeout,-0.2933,20.0,18.65,1
2026-06-01,2026-06-01 23:30:00,2026-06-02 06:00:00,USDJPY,SELL,timeout,-0.5667,18.65,16.22,1
2026-06-02,2026-06-02 23:30:00,2026-06-03 06:00:00,EURUSD,SELL,timeout,0.2667,16.22,17.21,1
2026-06-03,2026-06-03 23:30:00,2026-06-04 06:00:00,USDCHF,SELL,timeout,0.4133,17.21,18.85,1
2026-06-04,2026-06-04 23:30:00,2026-06-05 06:00:00,EURUSD,SELL,timeout,-0.2333,18.85,17.84,1
2026-06-08,2026-06-08 23:30:00,2026-06-09 04:30:00,EURUSD,SELL,loss,-1.0533,17.84,13.52,1
2026-06-09,2026-06-09 23:30:00,2026-06-10 03:45:00,EURUSD,SELL,loss,-1.0533,13.52,10.24,1
2026-06-10,2026-06-10 23:30:00,2026-06-11 06:00:00,EURUSD,BUY,timeout,0.6,10.24,11.66,1
2026-06-11,2026-06-11 23:30:00,2026-06-12 06:00:00,EURUSD,SELL,timeout,0.7067,11.66,13.55,1
2026-06-15,2026-06-15 23:30:00,2026-06-16 04:15:00,EURUSD,BUY,loss,-1.0533,13.55,10.27,1
2026-06-16,2026-06-16 23:30:00,2026-06-17 06:00:00,EURUSD,BUY,timeout,-0.2467,10.27,9.69,1
2026-06-17,2026-06-17 23:30:00,2026-06-18 00:00:00,EURUSD,SELL,loss,-1.0533,9.69,7.34,1
2026-06-18,2026-06-18 23:30:00,2026-06-19 04:00:00,EURUSD,SELL,win,1.28,7.34,9.5,1
2026-06-22,2026-06-22 23:30:00,2026-06-23 06:00:00,GBPUSD,SELL,timeout,0.4333,9.5,10.45,1
2026-06-23,2026-06-23 23:30:00,2026-06-24 06:00:00,EURUSD,SELL,timeout,0.3733,10.45,11.34,1
2026-06-24,2026-06-24 23:30:00,2026-06-25 01:15:00,USDJPY,BUY,loss,-1.0667,11.34,8.56,1
2026-06-25,2026-06-25 23:30:00,2026-06-26 05:15:00,EURUSD,SELL,loss,-1.0533,8.56,6.49,1
