case,label,paths,block_days,probability_profit_pct,probability_loss_pct,probability_10pct_dd_pct,probability_20pct_dd_pct,probability_ruin_pct,return_p05_pct,return_p50_pct,return_p95_pct,max_dd_p50_pct,max_dd_p95_pct
deployed-standard-dynamic-native,Previous Dynamic 50/20 + native trail,10000,5,99.37,0.63,6.959999999999999,0.01,0.0,10.112611845844118,33.3334132262751,62.100467462511936,5.957755112367728,10.66258092423921
manage-dynamic6020-only,Recommended Dynamic 60/20 only,10000,5,99.8,0.2,4.02,0.0,0.0,15.889753153612128,40.44403407633918,70.63033218401492,5.436988086036781,9.655751092118978
manage-dynamic6020-only-safe,Full Safe Dynamic 60/20 only,10000,5,99.99,0.01,0.05,0.0,0.0,16.181187711552315,33.66366116365196,53.80014829130824,3.258202787913059,5.682867439348555
combo-all-atr150-rr250,Higher-return ATR 1.5 / 2.5R,10000,5,99.97,0.03,18.029999999999998,0.11,0.0,33.22098272640121,79.09674809646411,144.39793226248798,7.532098471708629,12.746705560431122
stop-fixed-1500,Highest-return fixed 15 stop,10000,5,99.99,0.01,35.4,0.44,0.0,52.560222890742885,120.33023196330112,222.91719821076023,8.967771068863915,14.881974373147711
