Scenario,Survival %,Any positive payout request %,"$1,000+ cash request %",Median date any request,"Median date $1,000+ request",Median cash at first positive request,"Median cash at first $1,000+ request"
tested_execution,99.97,97.794,87.9,2026-08-18,2026-09-09,318.08,1150.89
moderate_execution_and_news_stress,99.728,93.57,72.918,2026-08-18,2026-09-14,265.71,1139.83
severe_execution_and_news_stress,98.2,84.898,52.54,2026-08-18,2026-09-14,231.5,1133.33
