tag,stage,config_id,window,model,delay_ms,trades,return_pct,net_pf,net_win_rate,dd_pct,commission,swap,score
wf-2025-train-92ee48cf3bb2-20230905-20250905-m1-d1,wf-2025-train,92ee48cf3bb2,"['2023.09.05', '2025.09.05']",1,1,32,18.4102,2.0862051672360185,53.125,5.42,-81.92,-135.33,10.488891653044718
wf-2025-train-7175c4f17bf6-20230905-20250905-m1-d1,wf-2025-train,7175c4f17bf6,"['2023.09.05', '2025.09.05']",1,1,24,10.5922,1.8319352811812755,50.0,8.37,-52.98,-125.7,1.1613874690453523
wf-2025-train-2ed7e9eced96-20230905-20250905-m1-d1,wf-2025-train,2ed7e9eced96,"['2023.09.05', '2025.09.05']",1,1,19,6.083400000000001,1.5104251445256456,47.36842105263158,6.47,-34.08,-194.7,-2.924212903392257
wf-2025-train-c0847211b963-20230905-20250905-m1-d1,wf-2025-train,c0847211b963,"['2023.09.05', '2025.09.05']",1,1,52,8.4907,1.2574577761605872,40.38461538461539,9.37,-89.67,-176.51,-4.497814879446951
wf-2025-train-cc8371070c76-20230905-20250905-m1-d1,wf-2025-train,cc8371070c76,"['2023.09.05', '2025.09.05']",1,1,79,16.8874,1.3346889430604276,41.77215189873418,11.54,-199.5,-207.0,-4.604055418742652
wf-2025-train-0404d3c2030a-20230905-20250905-m1-d1,wf-2025-train,0404d3c2030a,"['2023.09.05', '2025.09.05']",1,1,58,10.959000000000001,1.3020864056982664,41.37931034482759,10.7,-133.52,-200.57,-4.925722364801256
wf-2025-train-4f3a493609dc-20230905-20250905-m1-d1,wf-2025-train,4f3a493609dc,"['2023.09.05', '2025.09.05']",1,1,26,1.5071,1.08361025891386,38.46153846153846,7.54,-47.92,-193.1,-11.659690534495468
wf-2025-train-66b2b9d5c47a-20230905-20250905-m1-d1,wf-2025-train,66b2b9d5c47a,"['2023.09.05', '2025.09.05']",1,1,72,2.3761,1.050498588819369,36.111111111111114,14.54,-134.65,-167.95,-15.931245550996271
wf-2025-test-92ee48cf3bb2-20250905-20260905-m4-d1,wf-2025-test,92ee48cf3bb2,"['2025.09.05', '2026.09.05']",4,1,27,-3.804,0.8091750482831273,29.62962962962963,9.08,-20.75,0.0,-21.245980230176293
wf-2024-train-c0847211b963-20220905-20240905-m1-d1,wf-2024-train,c0847211b963,"['2022.09.05', '2024.09.05']",1,1,50,-4.6783,0.8688192244062473,32.0,9.34,-105.13,-99.49,-15.284901062696436
wf-2024-train-2ed7e9eced96-20220905-20240905-m1-d1,wf-2024-train,2ed7e9eced96,"['2022.09.05', '2024.09.05']",1,1,15,-4.086399999999999,0.6493173255983592,26.666666666666668,10.69,-32.76,-60.98,-31.114211408022697
wf-2024-train-92ee48cf3bb2-20220905-20240905-m1-d1,wf-2024-train,92ee48cf3bb2,"['2022.09.05', '2024.09.05']",1,1,26,-6.1421,0.6697795698924731,26.923076923076923,13.82,-77.33,-12.84,-32.14121752225098
wf-2024-train-0404d3c2030a-20220905-20240905-m1-d1,wf-2024-train,0404d3c2030a,"['2022.09.05', '2024.09.05']",1,1,56,-13.0975,0.6649878758734998,26.785714285714285,19.63,-129.24,-57.75,-35.32736175654142
wf-2024-train-4f3a493609dc-20220905-20240905-m1-d1,wf-2024-train,4f3a493609dc,"['2022.09.05', '2024.09.05']",1,1,21,-7.1587,0.5614616515559911,23.80952380952381,13.3,-48.55,-60.98,-37.04933908908472
wf-2024-train-66b2b9d5c47a-20220905-20240905-m1-d1,wf-2024-train,66b2b9d5c47a,"['2022.09.05', '2024.09.05']",1,1,78,-17.346500000000002,0.6848463156823772,26.923076923076923,21.93,-172.02,-89.33,-37.86160056399241
wf-2024-train-cc8371070c76-20220905-20240905-m1-d1,wf-2024-train,cc8371070c76,"['2022.09.05', '2024.09.05']",1,1,90,-17.755499999999998,0.698506925400607,27.77777777777778,24.7,-222.82,-56.15,-40.74091464147749
wf-2024-train-7175c4f17bf6-20220905-20240905-m1-d1,wf-2024-train,7175c4f17bf6,"['2022.09.05', '2024.09.05']",1,1,18,-9.462299999999999,0.35519635835826285,16.666666666666668,15.02,-45.66,-12.3,-51.436589007160826
wf-2024-test-c0847211b963-20240905-20250905-m4-d1,wf-2024-test,c0847211b963,"['2024.09.05', '2025.09.05']",4,1,25,14.0345,2.0338718351050113,52.0,4.94,-34.87,-105.37,8.504672109623389
wf-2023-train-c0847211b963-20210905-20230905-m1-d1,wf-2023-train,c0847211b963,"['2021.09.05', '2023.09.05']",1,1,44,2.9865,1.0969630264542019,38.63636363636363,7.89,-111.13,-226.81,-7.995983087747754
wf-2023-train-66b2b9d5c47a-20210905-20230905-m1-d1,wf-2023-train,66b2b9d5c47a,"['2021.09.05', '2023.09.05']",1,1,81,-13.145100000000001,0.7733052345483988,29.62962962962963,17.95,-201.65,-212.35,-29.544447957142527
wf-2023-train-4f3a493609dc-20210905-20230905-m1-d1,wf-2023-train,4f3a493609dc,"['2021.09.05', '2023.09.05']",1,1,25,-9.1384,0.556870199394833,24.0,11.05,-69.96,-152.44,-33.992185535239
wf-2023-train-0404d3c2030a-20210905-20230905-m1-d1,wf-2023-train,0404d3c2030a,"['2021.09.05', '2023.09.05']",1,1,52,-16.320999999999998,0.5971018785948802,25.0,23.12,-138.98,-232.69,-42.594208230901216
wf-2023-train-cc8371070c76-20210905-20230905-m1-d1,wf-2023-train,cc8371070c76,"['2021.09.05', '2023.09.05']",1,1,101,-34.5103,0.5104824776662231,21.782178217821784,38.13,-259.35,-208.07,-66.70721014582136
wf-2023-train-92ee48cf3bb2-20210905-20230905-m1-d1,wf-2023-train,92ee48cf3bb2,"['2021.09.05', '2023.09.05']",1,1,31,-22.2652,0.200206906213293,9.67741935483871,24.38,-91.31,-160.47,-75.93792190315285
wf-2023-train-7175c4f17bf6-20210905-20230905-m1-d1,wf-2023-train,7175c4f17bf6,"['2021.09.05', '2023.09.05']",1,1,17,-15.2224,0.11033704844450419,5.882352941176471,16.8,-51.51,-162.07,-83.6920760284402
wf-2023-train-2ed7e9eced96-20210905-20230905-m1-d1,wf-2023-train,2ed7e9eced96,"['2021.09.05', '2023.09.05']",1,1,14,-4.0603,0.655544809800129,28.571428571428573,5.47,-39.31,-152.44,-9986
