number,ea,symbol,side,volume,open_time,close_time,open_price,close_price,gross_profit,commission,swap,total_costs,net_profit,result,source,entry_comment,exit_comment,holding_minutes,initial_stop,initial_target,planned_risk_cash,equity_at_signal,entry_spread_cost,equity_after_entry,planned_risk_pct,initial_fill_risk_usd,net_R_on_initial_fill_risk
1,XAU D14 break/retest research,XAUUSD,Long,0.38,2021-10-13T07:35:00,2021-10-13T08:03:38,1764.299,1767.004,102.79,-2.09,0.0,-2.09,100.7,Win,Native MT5 deals,D14H1M5_RESEARCH,tp 1766.992,28.633333333333333,1761.606,1766.992,102.334,10000.0,9.5,9988.41,1.02334,102.33399999999938,0.9840326773115544
2,XAU D14 break/retest research,XAUUSD,Long,0.34,2021-10-14T08:35:00,2021-10-14T10:22:35,1796.844,1799.918,104.51,-1.87,0.0,-1.87,102.64,Win,Native MT5 deals,D14H1M5_RESEARCH,tp 1799.875,107.58333333333333,1793.813,1799.875,103.05400000000002,10100.7,6.36,10092.47,1.0202659221638104,103.05399999999828,0.9959826886875008
3,XAU D14 break/retest research,XAUUSD,Long,0.45,2021-10-20T11:00:00,2021-10-20T12:04:14,1780.222,1782.547,104.63,-2.48,0.0,-2.48,102.15,Win,Native MT5 deals,D14H1M5_RESEARCH,tp 1782.533,64.23333333333333,1777.911,1782.533,103.995,10203.34,5.62,10195.24,1.0192250772786167,103.99499999999648,0.9822587624405352
4,XAU D14 break/retest research,XAUUSD,Long,0.34,2021-10-25T12:35:00,2021-10-25T13:50:37,1803.659,1806.7,103.39,-1.87,0.0,-1.87,101.52,Win,Native MT5 deals,D14H1M5_RESEARCH,tp 1806.693,75.61666666666666,1800.625,1806.693,103.156,10305.49,6.36,10297.26,1.0009810304992777,103.1560000000036,0.9841405250300171
5,XAU D14 break/retest research,XAUUSD,Long,0.52,2021-10-27T18:30:00,2021-10-27T19:04:34,1798.564,1796.549,-104.78,-2.86,0.0,-2.86,-107.64,Loss,Native MT5 deals,D14H1M5_RESEARCH,sl 1796.552,34.56666666666667,1796.552,1800.576,104.624,10407.01,6.5,10397.65,1.0053223740536426,104.62400000000889,-1.0288270377732724
6,XAU D14 break/retest research,XAUUSD,Long,0.66,2021-11-19T03:55:00,2021-11-19T05:48:22,1863.311,1861.73,-104.35,-3.63,0.0,-3.63,-107.98,Loss,Native MT5 deals,D14H1M5_RESEARCH,sl 1861.746,113.36666666666666,1861.746,1864.876,103.29,10299.37,8.25,10287.49,1.0028768749933248,103.2899999999886,-1.0454061380580106
7,XAU D14 break/retest research,XAUUSD,Long,0.56,2021-12-30T10:45:00,2021-12-30T11:14:35,1800.849,1802.712,104.33,-3.08,0.0,-3.08,101.25,Win,Native MT5 deals,D14H1M5_RESEARCH,tp 1802.675,29.583333333333332,1799.023,1802.675,102.256,10191.39,7.0,10181.31,1.0033567550648146,102.25600000000124,0.9901619464872358
8,XAU D14 break/retest research,XAUUSD,Long,0.42,2021-12-30T16:05:00,2021-12-30T16:15:15,1808.189,1810.647,103.23,-2.31,0.0,-2.31,100.92,Win,Native MT5 deals,D14H1M5_RESEARCH,tp 1810.644,10.25,1805.734,1810.644,103.11,10292.64,5.25,10285.08,1.0017837989087348,103.1100000000065,0.9787605469885913
9,XAU D14 break/retest research,XAUUSD,Long,0.48,2022-01-04T10:35:00,2022-01-04T10:58:03,1807.721,1805.479,-107.62,-2.64,0.0,-2.64,-110.26,Loss,Native MT5 deals,D14H1M5_RESEARCH,sl 1805.514,23.05,1805.514,1809.928,105.93599999999999,10393.56,6.0,10384.92,1.0192465334303165,105.93600000000515,-1.0408170971151889
10,XAU D14 break/retest research,XAUUSD,Long,0.31,2022-01-05T14:45:00,2022-01-05T15:01:38,1828.16,1824.741,-105.99,-1.71,0.0,-1.71,-107.7,Loss,Native MT5 deals,D14H1M5_RESEARCH,sl 1824.763,16.633333333333333,1824.763,1831.557,105.307,10283.3,3.87,10277.72,1.024058424824716,105.30700000000502,-1.0227240354391909
11,XAU D14 break/retest research,XAUUSD,Long,0.59,2022-01-24T05:50:00,2022-01-24T07:11:33,1838.436,1836.694,-102.77,-3.25,0.0,-3.25,-106.02,Loss,Native MT5 deals,D14H1M5_RESEARCH,sl 1836.702,81.55,1836.702,1840.17,102.306,10175.6,7.37,10164.98,1.0054050866779354,102.30599999999549,-1.0363028561375156
12,XAU D14 break/retest research,XAUUSD,Long,0.2,2022-02-16T14:35:00,2022-02-16T17:17:40,1862.234,1867.433,103.98,-1.1,0.0,-1.1,102.88,Win,Native MT5 deals,D14H1M5_RESEARCH,tp 1867.411,162.66666666666666,1857.057,1867.411,103.54000000000002,10069.58,2.5,10065.98,1.0282454680334236,103.53999999999814,0.9936256519219803
13,XAU D14 break/retest research,XAUUSD,Long,0.16,2022-04-13T13:40:00,2022-04-13T19:40:00,1979.493,1975.771,-59.55,-0.88,0.0,-0.88,-60.43,Loss,Native MT5 deals,D14H1M5_RESEARCH,,360.0,1972.968,1986.018,104.4,10172.46,2.0,10169.58,1.0263004229065538,104.39999999999782,-0.5788314176245332
14,XAU D14 break/retest research,XAUUSD,Long,0.23,2022-04-20T10:05:00,2022-04-20T11:01:37,1950.478,1954.926,102.31,-1.27,0.0,-1.27,101.04,Win,Native MT5 deals,D14H1M5_RESEARCH,tp 1954.901,56.61666666666667,1946.055,1954.901,101.72900000000001,10112.03,2.87,10107.89,1.0060195628375312,101.72900000000004,0.993227103382516
15,XAU D14 break/retest research,XAUUSD,Long,0.21,2022-04-22T06:05:00,2022-04-22T08:00:57,1955.001,1950.078,-103.38,-1.16,0.0,-1.16,-104.54,Loss,Native MT5 deals,D14H1M5_RESEARCH,sl 1950.081,115.95,1950.081,1959.921,103.32,10213.07,5.25,10206.66,1.011644882488811,103.32000000000153,-1.0118079752225944
16,XAU D14 break/retest research,XAUUSD,Long,0.72,2022-05-30T13:05:00,2022-05-30T13:10:42,1856.428,1857.841,101.73,-3.96,0.0,-3.96,97.77,Win,Native MT5 deals,D14H1M5_RESEARCH,tp 1857.834,5.7,1855.022,1857.834,101.23199999999999,10108.53,9.0,10095.57,1.0014512495882189,101.2320000000127,0.9658013276433116
