case,group,symbol,stage,report,from,to,model,risk_percent,initial_balance,final_balance,net_profit,return_pct,profit_factor,win_rate_pct,max_drawdown_pct,trades,sharpe_ratio,recovery_factor,history_quality,analysed_sharpe,analysed_recovery
deployed-safe-dynamic-native,baseline,XAUUSD,ThreeYear,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Active Portfolio Full Pipeline 2026-09-05\07 DmC\Backtest Reports\ThreeYear\dmc-threeyear-deployed-safe-dynamic-native.htm,2023.09.01,2026.09.01,0,1.00,10000.0,13835.9,3835.9,38.36,1.36,55.22,9.29,230,2.81,3.82,98%,2.05,4.32
combo-h1-asia-fixed-rr170,combined-search,XAUUSD,ThreeYear,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Active Portfolio Full Pipeline 2026-09-05\07 DmC\Backtest Reports\ThreeYear\dmc-threeyear-combo-h1-asia-fixed-rr170.htm,2023.09.01,2026.09.01,0,1.00,10000.0,11562.38,1562.38,15.62,1.11,51.95,14.36,308,0.82,0.9,98%,0.8,1.0
combo-h1-asia-fixed-rr300,combined-search,XAUUSD,ThreeYear,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Active Portfolio Full Pipeline 2026-09-05\07 DmC\Backtest Reports\ThreeYear\dmc-threeyear-combo-h1-asia-fixed-rr300.htm,2023.09.01,2026.09.01,0,1.00,10000.0,15359.68,5359.68,53.6,1.3,40.8,11.55,250,1.74,3.41,98%,1.74,3.84
combo-h1-asia-fixed-rr400,combined-search,XAUUSD,ThreeYear,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Active Portfolio Full Pipeline 2026-09-05\07 DmC\Backtest Reports\ThreeYear\dmc-threeyear-combo-h1-asia-fixed-rr400.htm,2023.09.01,2026.09.01,0,1.00,10000.0,15870.33,5870.33,58.7,1.3,34.38,14.99,224,1.59,2.1,98%,1.55,2.38
combo-h1-asia-fixed-rr500,combined-search,XAUUSD,ThreeYear,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Active Portfolio Full Pipeline 2026-09-05\07 DmC\Backtest Reports\ThreeYear\dmc-threeyear-combo-h1-asia-fixed-rr500.htm,2023.09.01,2026.09.01,0,1.00,10000.0,15333.29,5333.29,53.33,1.28,27.8,19.13,205,1.32,1.49,98%,1.31,1.7
