stage,version,symbol,period,model,initial_usd,net_usd,return_pct,equity_dd_pct,profit_factor,win_rate_pct,trades,decision
full_year,Old DmC,XAUUSD,2025-08-07 to 2026-08-06,Every Tick/random delay,10000,2087.40,20.87,9.82,1.15,41.20,233,KEEP OLD
full_year,Video baseline,XAUUSD,2025-08-07 to 2026-08-06,Every Tick/random delay,10000,-874.20,-8.74,24.83,0.92,32.80,186,REJECT
full_year,Old DmC,USTEC,2025-08-07 to 2026-08-06,Every Tick/random delay,10000,-4084.40,-40.84,45.11,0.73,31.41,277,REJECT
full_year,Video baseline,USTEC,2025-08-07 to 2026-08-06,Every Tick/random delay,10000,279.12,2.79,25.02,1.02,39.06,192,RESEARCH ONLY
full_year,Old DmC,US30,2025-08-07 to 2026-08-06,Every Tick/random delay,10000,-353.67,-3.54,29.02,0.98,37.99,279,REJECT
full_year,Video baseline,US30,2025-08-07 to 2026-08-06,Every Tick/random delay,10000,449.54,4.50,23.09,1.04,37.88,198,RESEARCH ONLY
development,Video v05 daily levels,USTEC,2025-08-07 to 2026-04-06,M1 OHLC screening,10000,1635.67,16.36,7.08,1.22,40.00,105,ADVANCE TO OOS
out_of_sample,Old DmC,USTEC,2026-04-07 to 2026-08-06,Every Tick/random delay,10000,-964.25,-9.64,13.22,0.84,34.41,93,REJECT
out_of_sample,Video v05 daily levels,USTEC,2026-04-07 to 2026-08-06,Every Tick/random delay,10000,-315.74,-3.16,11.16,0.92,31.03,58,OOS FAILED
full_year,Video v05 daily levels,USTEC,2025-08-07 to 2026-08-06,Every Tick/random delay,10000,1450.80,14.51,11.59,1.12,37.20,164,RESEARCH ONLY

