symbol,broker_symbol,timeframe,confirmation,pivot_len,atr_sl_mult,rr,session,trades,wins,losses,win_rate,start_balance,final_balance,profit,return_pct,max_drawdown_pct,profit_factor,avg_r,avg_lot,avg_actual_risk,max_trades_per_day,risk_mode,fixed_lot,risk_usd_cap,risk_usd_offset
AUDUSD,AUDUSDm,M1,TREND,3,1.2,1.0/1.5/3.0,ALL,146,81,65,55.48,300.0,585.34,285.34,95.11,23.75,1.4,0.173,0.338,11.3,3,USD_RISK_CAP,0.01,12.0,0.5
XAUUSD,XAUUSDm,M5,EMA,3,1.2,1.0/1.5/2.0,ALL,108,60,48,55.56,300.0,562.61,262.61,87.54,28.1,1.31,0.143,0.01,18.38,3,USD_RISK_CAP,0.01,12.0,0.5
GBPCHF,GBPCHFm,M5,OFF,7,2.0,1.0/2.0/3.0,ALL,83,51,32,61.45,300.0,464.2,164.2,54.73,19.25,1.48,0.18,0.126,10.89,2,USD_RISK_CAP,0.01,12.0,0.5
AUDCAD,AUDCADm,M1,RSI_EXTREME,7,2.0,1.0/2.0/3.0,ALL,52,28,24,53.85,300.0,442.51,142.51,47.5,19.92,1.62,0.242,0.324,11.31,1,USD_RISK_CAP,0.01,12.0,0.5
XAGUSD,XAGUSDm,M1,OFF,5,2.0,1.0/2.0/3.0,NY_OPEN,85,47,38,55.29,300.0,546.5,246.5,82.17,34.57,1.35,0.266,0.01,19.95,3,USD_RISK_CAP,0.01,12.0,0.5
