month,entry_time,exit_time,gross_return,observed_spread_cost,net_return,stress_return,turnover,gross_exposure,portfolio_scale,ex_ante_vol
2023-10,2023-10-01 21:00:00+00:00,2023-11-01 00:00:00+00:00,-0.007404640483456181,0.00011949232761711227,-0.007524132811073293,-0.008100714755511468,1.1531638888763496,1.1531638888763496,2.7168498096274774,0.1
2023-11,2023-11-01 00:00:00+00:00,2023-12-01 00:00:00+00:00,0.016473760441192132,0.00016038429701389117,0.01631337614417824,0.015176467325094346,2.2738176381677877,2.4109530839663567,4.247029679196648,0.1
2023-12,2023-12-01 00:00:00+00:00,2024-01-02 00:00:00+00:00,-0.004083529425763118,7.548938528829748e-05,-0.004159018811051416,-0.005016700566580731,1.71536351105863,1.2975956929543075,1.795260303513955,0.1
2024-01,2024-01-01 22:00:00+00:00,2024-02-01 00:00:00+00:00,-0.021437701653963446,0.00026362492232381954,-0.021701326576287264,-0.02214853185510587,0.894410557637214,1.630130944436218,1.9770392120378637,0.1
2024-02,2024-02-01 00:00:00+00:00,2024-03-01 00:00:00+00:00,0.016174608125944675,0.00030189815868518293,0.015872709967259493,0.01404035022326924,3.6647194879805087,3.7879143894748415,10.451133835068067,0.1
2024-03,2024-03-01 00:00:00+00:00,2024-04-01 00:00:00+00:00,0.07909079032063943,0.00025182004012749793,0.07883897028051193,0.07742089993507777,2.836140690868315,2.982677078550044,4.567693470550151,0.1
2024-04,2024-04-01 00:00:00+00:00,2024-05-01 00:00:00+00:00,0.05914629081267676,0.00042973526490734784,0.05871655554776942,0.057083181803135014,3.266747489268808,2.4413705383057334,2.5795239520243385,0.1
2024-05,2024-05-01 00:00:00+00:00,2024-06-03 00:00:00+00:00,0.007827157540252917,5.6302943799588664e-05,0.0077708545964533275,0.007385832508804999,0.7700441752966569,2.413980651357555,2.1451486459563296,0.10000000000000002
2024-06,2024-06-02 21:00:00+00:00,2024-07-01 00:00:00+00:00,-0.012039403764492002,0.0004673825255005619,-0.012506786289992564,-0.013972727632514833,2.9318826850445383,1.4941501392911183,1.5258064386914532,0.1
2024-07,2024-07-01 00:00:00+00:00,2024-08-01 00:00:00+00:00,-0.049494371650839766,0.00022817132562536258,-0.049722542976465126,-0.05119743135491985,2.9497767569094515,2.099042142818897,2.6966748031512284,0.1
2024-08,2024-08-01 00:00:00+00:00,2024-09-02 00:00:00+00:00,0.0297112984811764,7.996879602632555e-05,0.029631329685150077,0.028066283589675816,3.1300921909485244,1.4007596323945377,2.043220125912954,0.1
2024-09,2024-09-01 21:00:00+00:00,2024-10-01 00:00:00+00:00,0.029536942827590482,0.00010029977957304153,0.02943664304801744,0.029111695471632153,0.6498951527705726,1.7734384529925789,1.920378539889011,0.1
2024-10,2024-10-01 00:00:00+00:00,2024-11-01 00:00:00+00:00,-0.02849805481839055,8.30060919429982e-05,-0.02858106091033355,-0.028958855288646532,0.7555887566259645,1.4422964643627143,1.2757037827920634,0.1
2024-11,2024-11-01 00:00:00+00:00,2024-12-02 00:00:00+00:00,-0.039317508557160694,4.7225405075709516e-05,-0.0393647339622364,-0.039982617378573504,1.235766832674202,1.4168806171091979,2.1160713245877654,0.1
2024-12,2024-12-01 22:00:00+00:00,2025-01-02 00:00:00+00:00,0.040638536073707945,0.0003882156348581662,0.04025032043884978,0.038920911771753906,2.658817334191758,2.2179818297990126,3.6241452200846647,0.1
2025-01,2025-01-01 22:00:00+00:00,2025-02-03 00:00:00+00:00,0.0029209525257115265,0.00018793722575652914,0.0027330152999549976,0.002061178124428714,1.343674351052567,1.5724238063289273,1.6577844833384994,0.1
2025-02,2025-02-02 22:00:00+00:00,2025-03-03 00:00:00+00:00,-0.02232525127848645,0.00015915236929537837,-0.022484403647781828,-0.023174272243821285,1.3797371920789148,2.0049075702980232,3.071322497998324,0.1
2025-03,2025-03-02 22:00:00+00:00,2025-04-01 00:00:00+00:00,0.026354455870602624,5.625777620544473e-05,0.02629819809439718,0.025914084038734693,0.7682281113249716,1.6238657553525602,3.680551158531189,0.1
2025-04,2025-04-01 00:00:00+00:00,2025-05-01 00:00:00+00:00,0.04872707743436327,0.00010117117739119799,0.04862590625697207,0.04742157150409638,2.4086695057513836,1.3614814771751678,1.3164000592643363,0.1
