scope,period,cost_mode,return_pct,annualized_return_pct,annualized_volatility_pct,profit_factor,win_rate_pct,max_drawdown_pct,sharpe,recovery_factor,months,best_month_pct,worst_month_pct
Metals + FX,full,plus-5bps-turnover,39.93251561368834,12.590227600237402,11.822234755704004,2.0761939159392395,61.76470588235294,7.729019014519,1.0648989976130412,5.166569721031208,34,7.7420899935077765,-5.119743135491985
Metals + FX,latest_12_months,plus-5bps-turnover,21.389595848842635,21.389595848842635,12.545782264387139,2.918612497684989,66.66666666666666,7.536580735824938,1.6146968250374758,2.838103458132911,12,6.049742372357339,-4.319600815992991
All six assets,full,observed-spread,65.27546726758725,19.402859398361194,13.015978655552853,2.852932054200783,70.58823529411765,7.913227175592519,1.4343868044756862,8.248906017626066,34,11.200836095599378,-4.791731796167472
All six assets,latest_12_months,observed-spread,24.310532986171186,24.310532986171186,13.884188738735014,3.021277366986663,75.0,7.913227175592519,1.6448100732132114,3.072138894376034,12,6.495158433325204,-4.696672513760872
All six assets,full,plus-5bps-turnover,61.43986911714674,18.417414713493805,13.01631342102843,2.7279841541943406,70.58823529411765,8.044819663295556,1.3698048135962582,7.6371965673097435,34,11.110462318428697,-4.931393631425136
All six assets,latest_12_months,plus-5bps-turnover,23.353403675730355,23.353403675730355,13.91018332156803,2.9210985154659506,75.0,8.044819663295543,1.5854319564200552,2.9029120170685943,12,6.478798612949797,-4.735069612314733
BTCUSD alone,full,observed-spread,39.95703677746825,10.081105544452162,10.273804370620304,2.5091069448208443,59.523809523809526,7.068810500532408,0.9868046573071871,5.6525828177822515,42,12.598999318044015,-4.414070946709484
BTCUSD alone,latest_12_months,observed-spread,7.219301788015597,7.219301788015597,7.274089264199296,2.135793220982628,58.333333333333336,2.4244283275873246,0.9939164493706435,2.9777336396658516,12,4.940807023081007,-1.8922511074838162
BTCUSD alone,full,plus-5bps-turnover,39.585283696926396,9.997484228965137,10.279120447211572,2.4901539706270603,57.14285714285714,7.128489516681469,0.9788934666655909,5.553109618004259,42,12.597951367307111,-4.42256548627311
BTCUSD alone,latest_12_months,plus-5bps-turnover,7.141221844426249,7.141221844426249,7.27876378933674,2.118720263610441,58.333333333333336,2.4440154302320494,0.9832544854786202,2.9219217506119506,12,4.9403591069008375,-1.900861415160422
XAUUSD,full,observed-spread,57.34079793427056,13.82571453011867,9.882187564505566,3.182493144251016,61.904761904761905,8.029572538605102,1.3646713528363712,7.141201808512688,42,9.320731654449414,-4.963413664098291
XAUUSD,latest_12_months,observed-spread,24.696774540622624,24.696774540622624,11.4782811554176,5.264209297567253,75.0,5.151186973794886,1.9925500944755907,4.794385190492994,12,7.623537718912629,-4.963413664098291
XAUUSD,full,plus-5bps-turnover,56.39573728203333,13.629954279366153,9.885098495889547,3.131106227923808,61.904761904761905,8.249732176529745,1.3467047713495217,6.836068865663011,42,9.288443129616835,-4.9651228380142145
XAUUSD,latest_12_months,plus-5bps-turnover,24.595572387438548,24.595572387438548,11.472563613172195,5.2356172471027955,75.0,5.166732473996937,1.9862877744765854,4.76037273290669,12,7.6022553051828545,-4.9651228380142145
XAGUSD,full,observed-spread,26.89945491829462,7.043408727401901,10.568255623497276,1.8470829902195562,42.857142857142854,13.213814890991982,0.6960924492935593,2.0357069582253877,42,9.915625979524378,-5.3854707973341
XAGUSD,latest_12_months,observed-spread,36.507712259358,36.507712259358,13.94921967833698,7.233694370023835,58.333333333333336,5.1423340247150335,2.3221639901979727,7.099443965307389,12,9.915625979524378,-3.8367446826890204
XAGUSD,full,plus-5bps-turnover,26.42709482921102,6.929414326064842,10.575314361590522,1.8291448382210114,42.857142857142854,13.36806958083654,0.6855651738805086,1.9768819027614066,42,9.914409886212464,-5.408945419326759
XAGUSD,latest_12_months,plus-5bps-turnover,36.456770268749224,36.456770268749224,13.953065972705714,7.197059749066396,58.333333333333336,5.165844245439278,2.31881413234847,7.057272448919747,12,9.914409886212464,-3.8391233061247183
EURUSD,full,observed-spread,-5.064762690981073,-1.4740349913525685,7.70186795769055,0.8850933117999726,42.857142857142854,13.325905753549094,-0.15548202243159728,-0.38006892624406957,42,7.222067117437277,-4.439274083383148
EURUSD,latest_12_months,observed-spread,-1.4121590874295986,-1.4121590874295986,3.676029710517833,0.7748996294136983,50.0,4.064883184569945,-0.36975202834337567,-0.34740459277896857,12,1.2159521244158507,-2.204480937525137
EURUSD,full,plus-5bps-turnover,-7.052301166257502,-2.0678416064761507,7.663982596632908,0.832301824039238,42.857142857142854,14.487284612080176,-0.23536030888413376,-0.4867924773409203,42,7.117068870464896,-4.443471649707914
EURUSD,latest_12_months,plus-5bps-turnover,-1.8714003423299208,-1.8714003423299208,3.68965280593783,0.7108873248108224,50.0,4.3449698961383625,-0.49462254376774456,-0.43070501915172016,12,1.1669210125190617,-2.2675894484090438
GBPUSD,full,observed-spread,-7.2075276386705855,-2.532121559116818,7.677317713843131,0.7908534444015961,45.714285714285715,8.242800656105754,-0.29619857490212537,-0.8744027593742302,35,4.804704604682966,-5.58777901068882
GBPUSD,latest_12_months,observed-spread,-2.2235897496117984,-2.2235897496117984,4.683863753300557,0.7056209314374184,41.66666666666667,5.624719468331407,-0.45811836235997394,-0.39532456011916167,12,2.43640800714736,-2.917653560972809
GBPUSD,full,plus-5bps-turnover,-8.610780877836788,-3.04001046616702,7.6386216766857595,0.7491106729375828,45.714285714285715,8.845578956450007,-0.3663014101735416,-0.9734558834679771,35,4.704561538531244,-5.58892321772042
GBPUSD,latest_12_months,plus-5bps-turnover,-2.726004261251558,-2.726004261251558,4.637318172742523,0.6461868281097013,41.66666666666667,5.810316538955496,-0.5740011901773948,-0.4691662223520793,12,2.388280275961275,-2.918069816451688
USDJPY,full,observed-spread,-10.773057296578559,-3.8327484195022743,9.074123854703197,0.724803317974456,48.57142857142857,16.66364263642588,-0.3851919900944445,-0.6465007400620318,35,4.986267835158883,-8.137487607223932
USDJPY,latest_12_months,observed-spread,3.940435806924536,3.940435806924536,6.877479695203678,1.658729844357269,66.66666666666666,4.130971430181207,0.5944583098462849,0.9538763154195155,12,4.042175713173999,-4.130971430181201
USDJPY,full,plus-5bps-turnover,-11.771536789991599,-4.2030770998301765,9.076794054349518,0.6991620394432746,48.57142857142857,17.14390801017991,-0.42739911057273033,-0.6866308885349688,35,4.983857132459395,-8.178230237704037
USDJPY,latest_12_months,plus-5bps-turnover,3.608850665115293,3.608850665115293,6.858735930922792,1.5967272101950987,66.66666666666666,4.13296235212518,0.5491841886618296,0.8731874035241605,12,4.008831608901284,-4.132962352125168
BTCUSD,full,observed-spread,39.95703677746825,10.081105544452162,10.273804370620304,2.5091069448208443,59.523809523809526,7.068810500532408,0.9868046573071871,5.6525828177822515,42,12.598999318044015,-4.414070946709484
BTCUSD,latest_12_months,observed-spread,7.219301788015597,7.219301788015597,7.274089264199296,2.135793220982628,58.333333333333336,2.4244283275873246,0.9939164493706435,2.9777336396658516,12,4.940807023081007,-1.8922511074838162
BTCUSD,full,plus-5bps-turnover,39.585283696926396,9.997484228965137,10.279120447211572,2.4901539706270603,57.14285714285714,7.128489516681469,0.9788934666655909,5.553109618004259,42,12.597951367307111,-4.42256548627311
BTCUSD,latest_12_months,plus-5bps-turnover,7.141221844426249,7.141221844426249,7.27876378933674,2.118720263610441,58.333333333333336,2.4440154302320494,0.9832544854786202,2.9219217506119506,12,4.9403591069008375,-1.900861415160422
