scope,period,cost_mode,return_pct,annualized_return_pct,annualized_volatility_pct,profit_factor,win_rate_pct,max_drawdown_pct,sharpe,recovery_factor,months,best_month_pct,worst_month_pct
Metals only,full,observed-spread,49.81590426563456,12.243036137410645,11.919672346868753,2.194143459125459,59.523809523809526,18.124152989817098,1.0308887361055994,2.748592129719011,42,9.589980766033623,-5.693583019050377
Metals only,latest_12_months,observed-spread,36.767490397160074,36.767490397160074,12.596843010193401,7.05466435015661,75.0,4.992971340036945,2.575122854694096,7.363849678513881,12,8.323551865626033,-4.635441145235626
Metals only,full,plus-5bps-turnover,48.15595890497486,11.886294901296711,11.946818844281792,2.145222187420768,59.523809523809526,18.503450737403515,1.0019215659887495,2.6025393635161653,42,9.567829194772758,-5.7508609828060635
Metals only,latest_12_months,plus-5bps-turnover,36.55733850616731,36.55733850616731,12.610343049953782,6.9752875181486145,75.0,4.996373332135951,2.559973062909306,7.316774803643235,12,8.310216155633265,-4.637891115970147
FX only,full,observed-spread,-9.598907688146186,-3.4989838693465503,11.13807361423822,0.8337328525131309,52.94117647058824,15.769651270543307,-0.2650715348960013,-0.6086949878261625,34,6.435215512014947,-6.338701353736019
FX only,latest_12_months,observed-spread,-0.3662381385759472,-0.3662381385759472,8.716700043368476,0.9984490171399264,50.0,7.438279401151393,-0.002271075326301164,-0.049236942957433964,12,4.306952403033634,-3.510445540396148
FX only,full,plus-5bps-turnover,-12.319353218050432,-4.534075974038998,11.063956047555875,0.778508830163309,50.0,16.60653759479712,-0.36465585254901534,-0.7418375532964875,34,6.277258192696321,-6.359975842739664
FX only,latest_12_months,plus-5bps-turnover,-1.4391428162389475,-1.4391428162389475,8.692576270417433,0.9174575515764287,41.66666666666667,7.9796354039026625,-0.12691914652249814,-0.18035195136047125,12,4.193586695242627,-3.550775321692984
Metals + FX,full,observed-spread,43.67537288960086,13.644050841270406,11.848571952162029,2.1922987670735106,61.76470588235294,7.182255479502231,1.142177080536385,6.0810107652461,34,7.883897028051193,-4.972254297646512
Metals + FX,latest_12_months,observed-spread,22.35244463433508,22.35244463433508,12.520026167407913,3.0571581094837863,66.66666666666666,7.106228237845247,1.68191899963219,3.1454723780604033,12,6.07608158099509,-4.283521722968789
