trades,wins,losses,timeouts,win_rate,net_r,start_balance,final_balance,level,target_balance,target_reached,target_reached_at,max_drawdown_pct,min_balance,minimum_lot_overrides,max_actual_risk_percent,sizing_mode,symbol
72,27,18,27,37.5,16.75,20.0,130.72,8,52399.91,False,,80.73,16.18,0,22.96,mt5_min_step_compounding,AUDUSD
70,14,14,42,20.0,9.01,20.0,48.63,4,52399.91,False,,50.57,16.0,0,22.94,mt5_min_step_compounding,EURUSD
69,24,20,25,34.78,5.23,20.0,15.34,1,52399.91,False,,73.03,12.74,0,22.87,mt5_min_step_compounding,GBPUSD
70,12,12,46,17.14,2.94,20.0,10.35,1,52399.91,False,,71.92,7.75,0,22.95,mt5_min_step_compounding,USDCAD
