model,timeframe_minutes,lookback_days,regime_mode,shift_lag_days,shift_threshold_atr,entry_tolerance_atr,retest_expiry_bars,stop_buffer_atr,reward_risk,minimum_reward_risk,maximum_hold_hours,management,train_trades,train_wins,train_losses,train_win_rate_pct,train_profit_factor,train_net_r,train_mean_r,train_return_pct,train_max_drawdown_pct,train_final_balance,validation_trades,validation_wins,validation_losses,validation_win_rate_pct,validation_profit_factor,validation_net_r,validation_mean_r,validation_return_pct,validation_max_drawdown_pct,validation_final_balance,robust_score
breakout_retest,1440,20,migrating_value,10,0.25,0.1,3,0.0,3.0,0.0,72,1,13,8,5,61.53846153846154,4.9169633392496594,16.324759464136125,1.2557507280104712,17.37847938380648,1.9304732688844293,11737.847938380648,4,3,1,75.0,637.4521330050397,5.99797821681112,1.49949455420278,6.088250282987362,1.784320546586727,10608.825028298736,131.62018819615744
breakout_retest,1440,20,migrating_value,10,0.25,0.1,3,0.0,3.0,0.0,72,0,13,8,5,61.53846153846154,4.9169633392496594,16.324759464136125,1.2557507280104712,17.37847938380648,1.9304732688844293,11737.847938380648,4,4,0,100.0,999.0,6.204260939324178,1.5510652348310445,6.307112639709422,2.2264598258001387,10630.711263970941,131.6024290027425
breakout_retest,1440,20,migrating_value,10,0.25,0.1,3,0.1,3.0,0.0,336,1,12,7,5,58.333333333333336,4.126892527109863,15.865505373405494,1.3221254477837912,16.80374691976134,3.327706546269128,11680.374691976134,4,2,2,50.0,5.922826009819461,4.978186137258308,1.244546534314577,5.006476035343477,2.0979092530370083,10500.647603534348,130.41593482992494
breakout_retest,1440,20,migrating_value,10,0.25,0.1,3,0.0,3.0,0.0,168,1,12,7,5,58.333333333333336,5.306895158732986,15.085508966358246,1.2571257471965205,15.956364563422042,1.9304732688844366,11595.636456342205,4,2,2,50.0,5.90797917291182,4.973717078743189,1.2434292696857971,5.00185000621467,2.267870045349324,10500.185000621466,130.36779855710216
breakout_retest,1440,20,migrating_value,10,0.25,0.1,3,0.0,3.0,0.0,336,1,12,7,5,58.333333333333336,5.199946530829404,16.89712671949395,1.4080938932911626,18.022273402393886,2.321886842314907,11802.227340239388,4,2,2,50.0,5.90797917291182,4.973717078743189,1.2434292696857971,5.00185000621467,2.267870045349324,10500.185000621466,130.36455754928423
breakout_retest,1440,20,migrating_value,10,0.25,0.1,3,0.25,3.0,0.0,336,1,12,7,5,58.333333333333336,4.595183334073165,14.495526458513261,1.2079605382094385,15.269139651628038,3.335377935181217,11526.913965162805,4,2,2,50.0,5.937558853866895,4.982563651848627,1.2456409129621568,5.011009082040241,1.9187060798956483,10501.100908204024,126.75687493607639
breakout_retest,1440,20,migrating_value,10,0.25,0.1,3,0.25,3.0,0.0,168,1,12,8,4,66.66666666666667,5.3392910166754906,14.916550273380535,1.2430458561150446,15.786047759241729,2.8065504001576755,11578.604775924174,4,2,2,50.0,5.642580901720937,4.684897038455625,1.1712242596139062,4.707515884594526,1.9187060798956483,10470.751588459452,123.11497672862457
breakout_retest,1440,20,migrating_value,10,0.25,0.1,3,0.1,3.0,0.0,168,1,12,7,5,58.333333333333336,4.099543973074837,14.02247994668041,1.1685399955567009,14.723737089878064,2.8284014694221877,11472.373708987807,4,2,2,50.0,5.922826009819461,4.978186137258308,1.244546534314577,5.006476035343477,2.0979092530370083,10500.647603534348,122.84523925874817
breakout_retest,1440,20,migrating_value,10,0.25,0.1,6,0.25,3.0,0.0,336,0,13,8,5,61.53846153846154,3.983764237638704,15.01409188261473,1.1549301448165177,15.849267434458314,4.111552984444487,11584.926743445832,5,3,2,60.0,3.9394209208277307,5.909665320919407,1.1819330641838814,5.964217563192498,2.5289389904112256,10596.42175631925,121.42549724950791
breakout_retest,1440,20,migrating_value,10,0.0,0.1,3,0.1,3.0,0.0,168,1,13,7,6,53.84615384615385,4.093392736050699,14.015681556711801,1.0781293505162923,14.715937722844119,2.8284014694221877,11471.593772284412,5,3,2,60.0,6.307694103509827,5.3673823032127235,1.0734764606425446,5.41515721407686,2.097909253036999,10541.515721407686,113.35711792301194
