model,timeframe_minutes,lookback_days,regime_mode,shift_lag_days,shift_threshold_atr,entry_tolerance_atr,retest_expiry_bars,stop_buffer_atr,reward_risk,minimum_reward_risk,maximum_hold_hours,management,train_trades,train_wins,train_losses,train_win_rate_pct,train_profit_factor,train_net_r,train_mean_r,train_return_pct,train_max_drawdown_pct,train_final_balance,validation_trades,validation_wins,validation_losses,validation_win_rate_pct,validation_profit_factor,validation_net_r,validation_mean_r,validation_return_pct,validation_max_drawdown_pct,validation_final_balance,robust_score
failed_auction,240,20,migrating_value,10,0.25,0.1,0,0.0,0.0,1.5,336,1,13,6,7,46.15384615384615,5.4189815061879765,23.311167960842297,1.7931667662186384,25.256553794243874,3.0547022904952326,12525.655379424386,2,1,1,50.0,237.78724012475465,3.4719536675182026,1.7359768337591013,3.471442433438421,1.7985672983507444,10347.144243343842,179.52426246734723
failed_auction,240,20,migrating_value,10,0.25,0.1,0,0.0,0.0,1.5,168,1,13,6,7,46.15384615384615,5.4189815061879765,23.311167960842297,1.7931667662186384,25.256553794243874,3.0547022904952326,12525.655379424386,2,1,1,50.0,237.78724012475465,3.4719536675182026,1.7359768337591013,3.471442433438421,1.7985672983507444,10347.144243343842,179.52426246734723
failed_auction,240,20,migrating_value,10,0.25,0.1,0,0.0,0.0,1.0,336,1,13,6,7,46.15384615384615,5.4189815061879765,23.311167960842297,1.7931667662186384,25.256553794243874,3.0547022904952326,12525.655379424386,2,1,1,50.0,237.78724012475465,3.4719536675182026,1.7359768337591013,3.471442433438421,1.7985672983507444,10347.144243343842,179.52426246734723
failed_auction,240,20,migrating_value,10,0.25,0.1,0,0.0,0.0,1.0,168,1,13,6,7,46.15384615384615,5.4189815061879765,23.311167960842297,1.7931667662186384,25.256553794243874,3.0547022904952326,12525.655379424386,2,1,1,50.0,237.78724012475465,3.4719536675182026,1.7359768337591013,3.471442433438421,1.7985672983507444,10347.144243343842,179.52426246734723
failed_auction,240,20,migrating_value,10,0.25,0.1,0,0.1,0.0,1.0,336,1,12,6,6,50.0,4.881219811742759,20.197032876894923,1.683086073074577,21.622387880934824,2.897840153541539,12162.238788093482,2,1,1,50.0,247.4360591017348,3.2335840400990645,1.6167920200495323,3.2331580271647287,1.620830188768909,10323.315802716472,167.61519282460753
failed_auction,240,20,migrating_value,10,0.25,0.1,0,0.1,0.0,1.5,168,1,12,6,6,50.0,4.881219811742759,20.197032876894923,1.683086073074577,21.622387880934824,2.897840153541539,12162.238788093482,2,1,1,50.0,247.4360591017348,3.2335840400990645,1.6167920200495323,3.2331580271647287,1.620830188768909,10323.315802716472,167.61519282460753
failed_auction,240,20,migrating_value,10,0.25,0.1,0,0.1,0.0,1.5,336,1,12,6,6,50.0,4.881219811742759,20.197032876894923,1.683086073074577,21.622387880934824,2.897840153541539,12162.238788093482,2,1,1,50.0,247.4360591017348,3.2335840400990645,1.6167920200495323,3.2331580271647287,1.620830188768909,10323.315802716472,167.61519282460753
failed_auction,240,20,migrating_value,10,0.25,0.1,0,0.1,0.0,1.0,168,1,12,6,6,50.0,4.881219811742759,20.197032876894923,1.683086073074577,21.622387880934824,2.897840153541539,12162.238788093482,2,1,1,50.0,247.4360591017348,3.2335840400990645,1.6167920200495323,3.2331580271647287,1.620830188768909,10323.315802716472,167.61519282460753
failed_auction,240,20,migrating_value,10,0.25,0.1,0,0.0,0.0,1.0,72,1,13,6,7,46.15384615384615,4.854425486158926,20.33300202197765,1.5640770786136653,21.710772219958763,4.360650861252831,12171.077221995876,2,1,1,50.0,237.78724012475465,3.4719536675182026,1.7359768337591013,3.471442433438421,1.7985672983507444,10347.144243343842,162.25593003855818
failed_auction,240,20,migrating_value,10,0.25,0.1,0,0.0,0.0,1.5,72,1,13,6,7,46.15384615384615,4.854425486158926,20.33300202197765,1.5640770786136653,21.710772219958763,4.360650861252831,12171.077221995876,2,1,1,50.0,237.78724012475465,3.4719536675182026,1.7359768337591013,3.471442433438421,1.7985672983507444,10347.144243343842,162.25593003855818
failed_auction,240,20,migrating_value,10,0.25,0.1,0,0.1,0.0,1.5,72,1,12,6,6,50.0,4.36197078493935,17.494972655024853,1.4579143879187377,18.48427996118611,4.144709874529125,11848.427996118611,2,1,1,50.0,247.4360591017348,3.2335840400990645,1.6167920200495323,3.2331580271647287,1.620830188768909,10323.315802716472,151.65261742826883
failed_auction,240,20,migrating_value,10,0.25,0.1,0,0.1,0.0,1.0,72,1,12,6,6,50.0,4.36197078493935,17.494972655024853,1.4579143879187377,18.48427996118611,4.144709874529125,11848.427996118611,2,1,1,50.0,247.4360591017348,3.2335840400990645,1.6167920200495323,3.2331580271647287,1.620830188768909,10323.315802716472,151.65261742826883
failed_auction,240,20,migrating_value,10,0.25,0.1,0,0.0,0.0,1.5,336,0,13,6,7,46.15384615384615,3.9292753565463077,21.311167960842297,1.6393206123724844,22.762689774204038,3.733770278026706,12276.268977420403,2,1,1,50.0,3.4362317937101383,2.4719536675182026,1.2359768337591013,2.436576269197266,2.78072563685382,10243.657626919727,129.48351838809532
failed_auction,240,20,migrating_value,10,0.25,0.1,0,0.0,0.0,1.5,168,0,13,6,7,46.15384615384615,3.9292753565463077,21.311167960842297,1.6393206123724844,22.762689774204038,3.733770278026706,12276.268977420403,2,1,1,50.0,3.4362317937101383,2.4719536675182026,1.2359768337591013,2.436576269197266,2.78072563685382,10243.657626919727,129.48351838809532
failed_auction,240,20,migrating_value,10,0.25,0.1,0,0.0,0.0,1.0,168,0,13,6,7,46.15384615384615,3.9292753565463077,21.311167960842297,1.6393206123724844,22.762689774204038,3.733770278026706,12276.268977420403,2,1,1,50.0,3.4362317937101383,2.4719536675182026,1.2359768337591013,2.436576269197266,2.78072563685382,10243.657626919727,129.48351838809532
failed_auction,240,20,migrating_value,10,0.25,0.1,0,0.0,0.0,1.0,336,0,13,6,7,46.15384615384615,3.9292753565463077,21.311167960842297,1.6393206123724844,22.762689774204038,3.733770278026706,12276.268977420403,2,1,1,50.0,3.4362317937101383,2.4719536675182026,1.2359768337591013,2.436576269197266,2.78072563685382,10243.657626919727,129.48351838809532
failed_auction,240,20,migrating_value,10,0.25,0.1,0,0.0,0.0,1.5,72,0,13,7,6,53.84615384615385,4.200906038166331,20.04259106307353,1.5417377740825793,21.347715317697414,4.360650861252831,12134.771531769742,2,1,1,50.0,3.4362317937101383,2.4719536675182026,1.2359768337591013,2.436576269197266,2.78072563685382,10243.657626919727,129.44590555310177
failed_auction,240,20,migrating_value,10,0.25,0.1,0,0.0,0.0,1.0,72,0,13,7,6,53.84615384615385,4.200906038166331,20.04259106307353,1.5417377740825793,21.347715317697414,4.360650861252831,12134.771531769742,2,1,1,50.0,3.4362317937101383,2.4719536675182026,1.2359768337591013,2.436576269197266,2.78072563685382,10243.657626919727,129.44590555310177
failed_auction,240,20,migrating_value,10,0.25,0.1,0,0.25,0.0,1.5,168,1,13,6,7,46.15384615384615,3.503539842990695,15.601929585868383,1.2001484296821834,16.33933352272137,2.740416910674344,11633.933352272137,2,1,1,50.0,259.6524943595048,2.9316182974683125,1.4658091487341562,2.931284737438178,1.4122573298554941,10293.128473743818,125.96027918244468
failed_auction,240,20,migrating_value,10,0.25,0.1,0,0.25,0.0,1.5,336,1,13,6,7,46.15384615384615,3.503539842990695,15.601929585868383,1.2001484296821834,16.33933352272137,2.740416910674344,11633.933352272137,2,1,1,50.0,259.6524943595048,2.9316182974683125,1.4658091487341562,2.931284737438178,1.4122573298554941,10293.128473743818,125.96027918244468
failed_auction,240,20,migrating_value,10,0.25,0.1,0,0.25,0.0,1.0,168,1,13,6,7,46.15384615384615,3.503539842990695,15.601929585868383,1.2001484296821834,16.33933352272137,2.740416910674344,11633.933352272137,2,1,1,50.0,259.6524943595048,2.9316182974683125,1.4658091487341562,2.931284737438178,1.4122573298554941,10293.128473743818,125.96027918244468
failed_auction,240,20,migrating_value,10,0.25,0.1,0,0.25,0.0,1.0,336,1,13,6,7,46.15384615384615,3.503539842990695,15.601929585868383,1.2001484296821834,16.33933352272137,2.740416910674344,11633.933352272137,2,1,1,50.0,259.6524943595048,2.9316182974683125,1.4658091487341562,2.931284737438178,1.4122573298554941,10293.128473743818,125.96027918244468
failed_auction,240,20,migrating_value,10,0.25,0.0,0,0.0,0.0,1.0,336,1,21,7,14,33.333333333333336,3.6282508747695457,25.14646590036709,1.1974507571603377,27.31908752313894,4.7852508473837725,12731.908752313895,2,1,1,50.0,237.78724012475465,3.4719536675182026,1.7359768337591013,3.471442433438421,1.7985672983507444,10347.144243343842,125.56782189405754
failed_auction,240,20,migrating_value,10,0.25,0.0,0,0.0,0.0,1.5,336,1,21,7,14,33.333333333333336,3.6282508747695457,25.14646590036709,1.1974507571603377,27.31908752313894,4.7852508473837725,12731.908752313895,2,1,1,50.0,237.78724012475465,3.4719536675182026,1.7359768337591013,3.471442433438421,1.7985672983507444,10347.144243343842,125.56782189405754
failed_auction,240,20,migrating_value,10,0.25,0.0,0,0.0,0.0,1.5,168,1,21,7,14,33.333333333333336,3.6282508747695457,25.14646590036709,1.1974507571603377,27.31908752313894,4.7852508473837725,12731.908752313895,2,1,1,50.0,237.78724012475465,3.4719536675182026,1.7359768337591013,3.471442433438421,1.7985672983507444,10347.144243343842,125.56782189405754
failed_auction,240,20,migrating_value,10,0.25,0.0,0,0.0,0.0,1.0,168,1,21,7,14,33.333333333333336,3.6282508747695457,25.14646590036709,1.1974507571603377,27.31908752313894,4.7852508473837725,12731.908752313895,2,1,1,50.0,237.78724012475465,3.4719536675182026,1.7359768337591013,3.471442433438421,1.7985672983507444,10347.144243343842,125.56782189405754
