symbol,range_minutes,rr,month,date,opened_at,closed_at,direction,entry,stop_loss,take_profit,exit_price,result,r_multiple,pnl,range_high,range_low,range_atr
EURJPY,15,1.3043478260869565,2025-12,2025-12-18,2025-12-18 14:45:00,2025-12-18 21:00:00,BUY,182.446,182.278,182.66513,182.383,timeout,-0.375,-6300.0,182.446,182.278,1.1297
EURUSD,15,1.3043478260869565,2025-12,2025-12-18,2025-12-18 14:45:00,2025-12-18 15:30:00,SELL,1.17329,1.17434,1.17192,1.17192,win,1.3043,136.96,1.17434,1.17329,1.0
GBPUSD,15,1.3043478260869565,2025-12,2025-12-18,2025-12-18 14:45:00,2025-12-18 15:15:00,SELL,1.34101,1.34237,1.339236,1.339236,win,1.3043,177.39,1.34237,1.34101,0.8635
US30,15,1.3043478260869565,2025-12,2025-12-18,2025-12-18 14:45:00,2025-12-18 15:30:00,SELL,48116.3,48357.6,47801.56087,48357.6,loss,-1.0,-241.3,48357.6,48116.3,5.2653
USDCAD,15,1.3043478260869565,2025-12,2025-12-18,2025-12-18 14:45:00,2025-12-18 15:00:00,BUY,1.37791,1.37714,1.378914,1.37714,loss,-1.0,-77.0,1.37791,1.37714,0.9608
USDCHF,15,1.3043478260869565,2025-12,2025-12-18,2025-12-18 14:45:00,2025-12-18 15:15:00,BUY,0.79439,0.79377,0.795199,0.795199,win,1.3043,80.87,0.79439,0.79377,0.8803
USDJPY,15,1.3043478260869565,2025-12,2025-12-18,2025-12-18 14:45:00,2025-12-18 15:15:00,BUY,155.431,155.277,155.63187,155.63187,win,1.3043,20086.96,155.431,155.277,1.2697
XAGUSD,15,1.3043478260869565,2025-12,2025-12-18,2025-12-18 14:45:00,2025-12-18 16:00:00,SELL,64.731,66.181,62.839696,66.181,loss,-1.0,-7250.0,66.181,64.731,5.8468
XAUUSD,15,1.3043478260869565,2025-12,2025-12-18,2025-12-18 14:45:00,2025-12-18 15:30:00,SELL,4311.5,4341.197,4272.764783,4341.197,loss,-1.0,-2969.7,4341.197,4311.5,4.6496
GBPJPY,15,1.3043478260869565,2025-12,2025-12-18,2025-12-18 15:00:00,2025-12-18 15:15:00,BUY,208.596,208.338,208.932522,208.338,loss,-1.0,-25800.0,208.596,208.338,1.1746
AUDUSD,15,1.3043478260869565,2025-12,2025-12-18,2025-12-18 15:15:00,2025-12-18 21:00:00,SELL,0.66166,0.66274,0.660251,0.66117,timeout,0.4537,49.0,0.66274,0.66166,1.956
NZDUSD,15,1.3043478260869565,2025-12,2025-12-18,2025-12-18 15:15:00,2025-12-18 16:00:00,SELL,0.57741,0.57828,0.576275,0.57828,loss,-1.0,-87.0,0.57828,0.57741,1.5575
BTCUSD,15,1.3043478260869565,2025-12,2025-12-18,2025-12-18 15:30:00,2025-12-18 17:00:00,BUY,89099.26,87675.02,90956.964348,87675.02,loss,-1.0,-1424.24,89099.26,87675.02,2.9926
AUDUSD,15,1.3043478260869565,2025-12,2025-12-19,2025-12-19 14:45:00,2025-12-19 15:45:00,BUY,0.66228,0.66128,0.663584,0.66128,loss,-1.0,-100.0,0.66228,0.66128,2.5408
EURGBP,15,1.3043478260869565,2025-12,2025-12-19,2025-12-19 14:45:00,2025-12-19 15:30:00,BUY,0.8773,0.8767,0.878083,0.8767,loss,-1.0,-60.0,0.8773,0.8767,1.8919
EURUSD,15,1.3043478260869565,2025-12,2025-12-19,2025-12-19 14:45:00,2025-12-19 15:00:00,SELL,1.17295,1.1735,1.172233,1.172233,win,1.3043,71.74,1.1735,1.17295,0.8425
GBPJPY,15,1.3043478260869565,2025-12,2025-12-19,2025-12-19 14:45:00,2025-12-19 15:15:00,BUY,210.468,210.271,210.724957,210.271,loss,-1.0,-19700.0,210.468,210.271,1.2346
GBPUSD,15,1.3043478260869565,2025-12,2025-12-19,2025-12-19 14:45:00,2025-12-19 15:15:00,SELL,1.3372,1.33808,1.336052,1.336052,win,1.3043,114.78,1.33808,1.3372,1.1397
NZDUSD,15,1.3043478260869565,2025-12,2025-12-19,2025-12-19 14:45:00,2025-12-19 15:45:00,BUY,0.57569,0.57501,0.576577,0.57501,loss,-1.0,-68.0,0.57569,0.57501,1.7215
USDCHF,15,1.3043478260869565,2025-12,2025-12-19,2025-12-19 14:45:00,2025-12-19 15:00:00,BUY,0.7948,0.79425,0.795517,0.795517,win,1.3043,71.74,0.7948,0.79425,1.1846
USDJPY,15,1.3043478260869565,2025-12,2025-12-19,2025-12-19 14:45:00,2025-12-19 17:00:00,BUY,157.338,157.165,157.563652,157.563652,win,1.3043,22565.22,157.338,157.165,1.3576
XAGUSD,15,1.3043478260869565,2025-12,2025-12-19,2025-12-19 14:45:00,2025-12-19 15:30:00,SELL,65.918,66.62,65.002348,66.62,loss,-1.0,-3510.0,66.62,65.918,3.276
XAUUSD,15,1.3043478260869565,2025-12,2025-12-19,2025-12-19 14:45:00,2025-12-19 15:00:00,SELL,4326.594,4337.996,4311.721826,4337.996,loss,-1.0,-1140.2,4337.996,4326.594,2.1611
