proximity_threshold,minimum_trend,trend_definition,proximity_relation,direction_mode,maximum_opening_range,entry_mode,entry_cutoff_minute,stop_range_multiple,minimum_stop_points,reward_risk,trailing_mode,exit_minute,outcome_index,robust_lcb_score,train_trades,train_pf,train_mean_r,validation_trades,validation_pf,validation_mean_r,positive_preholdout_years,tested_preholdout_years,preholdout_return_pct,preholdout_pf,preholdout_dd_pct,stability_score,yearly_returns_json
200.0,50.0,total_move,absolute,long,200.0,opening_range_breakout,690,1.0,40.0,3.0,be_1r,960,231,0.06020518143522868,192,1.4311060905456543,0.17944111426671347,56,1.710892915725708,0.32416016714913504,5,5,65.57845336946058,1.4988568030116005,7.613186393301376,0.09497880864862593,"{""2020"": 9.945301648634208, ""2021"": 12.660111298064392, ""2022"": 5.885447021958279, ""2023"": 3.62165088195201, ""2024"": 19.09992950809647}"
200.0,50.0,total_move,absolute,long,200.0,opening_range_breakout,630,1.0,40.0,3.0,be_1r,960,135,0.05975525449943292,173,1.429651141166687,0.18357520572022895,53,1.8290467262268066,0.3681506750718603,5,5,63.565621131637705,1.5261079366771226,7.613186393301366,0.09452888171283019,"{""2020"": 6.248706128701653, ""2021"": 13.18799572869529, ""2022"": 5.7276625380113355, ""2023"": 4.636259390423558, ""2024"": 20.744190213133763}"
200.0,50.0,total_move,absolute,long,400.0,opening_range_breakout,630,1.0,40.0,3.0,be_1r,960,135,0.05975525449943292,173,1.429651141166687,0.18357520572022895,53,1.8290467262268066,0.3681506750718603,5,5,63.565621131637705,1.5261079366771226,7.613186393301366,0.09452888171283019,"{""2020"": 6.248706128701653, ""2021"": 13.18799572869529, ""2022"": 5.7276625380113355, ""2023"": 4.636259390423558, ""2024"": 20.744190213133763}"
200.0,50.0,total_move,absolute,long,400.0,opening_range_breakout,690,1.0,40.0,3.0,be_1r,960,231,0.057914590609856764,194,1.4134200811386108,0.17243656669695354,56,1.710892915725708,0.32416016714913504,5,5,63.92266883576592,1.4847767416406823,7.613186393301376,0.09268821782325401,"{""2020"": 9.945301648634208, ""2021"": 12.660111298064392, ""2022"": 4.826592551738673, ""2023"": 3.62165088195201, ""2024"": 19.09992950809647}"
200.0,50.0,total_move,absolute,long,200.0,opening_range_breakout,690,1.0,40.0,3.0,none,960,229,0.05491332301833439,192,1.3561402559280396,0.17967327435811362,56,1.6480512619018555,0.3533665452684675,5,5,67.78412559936162,1.426105929030498,7.667013245314465,0.08957929652770547,"{""2020"": 9.881451767107997, ""2021"": 12.70229046454281, ""2022"": 5.934851874609937, ""2023"": 3.846052137678546, ""2024"": 20.93191800361225}"
200.0,50.0,total_move,absolute,long,200.0,opening_range_breakout,690,1.0,40.0,4.0,be_1r,960,237,0.05470120242213425,192,1.4119699001312256,0.1714759667714437,56,1.7802937030792236,0.35580621446881977,5,5,65.79927438954986,1.501159972807502,7.613186393301367,0.08947482963553152,"{""2020"": 10.160910104699528, ""2021"": 11.839346632478144, ""2022"": 5.885447021958279, ""2023"": 2.5664942789180634, ""2024"": 21.132315348382093}"
200.0,50.0,total_move,absolute,long,200.0,opening_range_breakout,630,1.0,40.0,4.0,be_1r,960,141,0.0545677022456261,173,1.423629641532898,0.1810024018921604,53,1.9043450355529785,0.4015879721011756,5,5,65.52614067108988,1.5397257281657641,7.613186393301406,0.08934132945902329,"{""2020"": 7.5895889647299875, ""2021"": 12.363385257498027, ""2022"": 5.7276625380113355, ""2023"": 3.5707712508999068, ""2024"": 22.80463461053572}"
200.0,50.0,total_move,absolute,long,400.0,opening_range_breakout,630,1.0,40.0,4.0,be_1r,960,141,0.0545677022456261,173,1.423629641532898,0.1810024018921604,53,1.9043450355529785,0.4015879721011756,5,5,65.52614067108988,1.5397257281657641,7.613186393301406,0.08934132945902329,"{""2020"": 7.5895889647299875, ""2021"": 12.363385257498027, ""2022"": 5.7276625380113355, ""2023"": 3.5707712508999068, ""2024"": 22.80463461053572}"
200.0,50.0,total_move,absolute,long,400.0,opening_range_breakout,690,1.0,40.0,3.0,none,960,229,0.05361899143414059,194,1.351735234260559,0.17743468530399284,56,1.6480512619018555,0.3533665452684675,5,5,67.64286343118744,1.4222036779123435,7.667013245314466,0.08828496494351165,"{""2020"": 10.897918673173713, ""2021"": 12.70229046454281, ""2022"": 4.875503355863819, ""2023"": 3.846052137678546, ""2024"": 20.93191800361225}"
200.0,50.0,total_move,absolute,long,400.0,opening_range_breakout,690,1.0,40.0,4.0,be_1r,960,237,0.04872177445381411,194,1.3945202827453613,0.1645535341243154,56,1.7802937030792236,0.35580621446881977,5,5,64.14128164565433,1.487058275765979,7.613186393301367,0.08349540166721138,"{""2020"": 10.160910104699528, ""2021"": 11.839346632478144, ""2022"": 4.826592551738673, ""2023"": 2.5664942789180634, ""2024"": 21.132315348382093}"
200.0,50.0,total_move,absolute,long,100.0,opening_range_breakout,630,1.0,40.0,2.0,be_1r,960,129,0.04395396431776058,152,1.387221097946167,0.17218245958027087,46,1.7077363729476929,0.31222666864809784,5,5,47.604132102992395,1.461233543223992,7.613186393301379,0.07872759153115783,"{""2020"": 5.850518761043788, ""2021"": 10.373829424598524, ""2022"": 5.918753283412159, ""2023"": 2.8134631840515567, ""2024"": 14.94449574132819}"
200.0,50.0,total_move,absolute,long,200.0,opening_range_breakout,690,1.0,40.0,4.0,none,960,235,0.04398032827398987,192,1.3360971212387085,0.17131211360295615,56,1.6894097328186035,0.3759183543069022,5,5,66.98888935302246,1.4201203405718015,7.667013245314472,0.07864630178336093,"{""2020"": 10.0969350102339, ""2021"": 11.88121851034236, ""2022"": 5.8566444470870005, ""2023"": 2.7486925987541877, ""2024"": 22.38742280456616}"
200.0,50.0,total_move,absolute,long,200.0,opening_range_breakout,690,1.0,20.0,3.0,be_1r,960,207,0.04263168375906952,192,1.3666856288909912,0.16039551297823587,56,1.7081001996994019,0.32341463225228445,5,5,59.48106499331629,1.4463888102247326,7.500842229394822,0.07762999930027988,"{""2020"": 10.0500112192784, ""2021"": 12.643084750829093, ""2022"": 3.7756050806046826, ""2023"": 3.5831698400242473, ""2024"": 19.050184520272808}"
200.0,50.0,total_move,absolute,long,400.0,opening_range_breakout,690,1.0,40.0,4.0,none,960,235,0.042806954984887374,194,1.3319395780563354,0.1691597220823937,56,1.6894097328186035,0.3759183543069022,5,5,66.84829671658146,1.4162945025670526,7.667013245314467,0.07747292849425844,"{""2020"": 11.115395260780758, ""2021"": 11.88121851034236, ""2022"": 4.798078002616113, ""2023"": 2.7486925987541877, ""2024"": 22.38742280456616}"
200.0,50.0,total_move,absolute,long,200.0,opening_range_breakout,690,1.0,20.0,4.0,be_1r,960,213,0.04083282186801826,192,1.3706071376800537,0.16211086511611938,56,1.8081380128860474,0.36910530499049593,5,5,63.83030215720859,1.4727486102287934,7.500842229394812,0.07583113740922864,"{""2020"": 11.652320600411482, ""2021"": 11.822444129043209, ""2022"": 3.7756050806046826, ""2023"": 2.5284050810222114, ""2024"": 22.00437957880046}"
200.0,50.0,total_move,absolute,long,200.0,opening_range_breakout,630,1.0,20.0,4.0,be_1r,960,117,0.03756390821946676,173,1.3751102685928345,0.1690915168365302,53,1.9343316555023193,0.41563987731933594,5,5,63.13372411311005,1.5049314558287799,7.500842229394776,0.07256222376067721,"{""2020"": 8.925008803302825, ""2021"": 12.346403555060848, ""2022"": 3.6209645633811682, ""2023"": 3.5323091036837395, ""2024"": 23.68873831866225}"
200.0,50.0,total_move,absolute,long,400.0,opening_range_breakout,630,1.0,20.0,4.0,be_1r,960,117,0.03756390821946676,173,1.3751102685928345,0.1690915168365302,53,1.9343316555023193,0.41563987731933594,5,5,63.13372411311005,1.5049314558287799,7.500842229394776,0.07256222376067721,"{""2020"": 8.925008803302825, ""2021"": 12.346403555060848, ""2022"": 3.6209645633811682, ""2023"": 3.5323091036837395, ""2024"": 23.68873831866225}"
200.0,50.0,total_move,absolute,long,400.0,opening_range_breakout,690,1.0,20.0,3.0,be_1r,960,207,0.036784407621960793,194,1.3506040573120117,0.1535873118135118,56,1.7081001996994019,0.32341463225228445,5,5,57.88625434338304,1.4333066365936509,7.500842229394822,0.07178272316317115,"{""2020"": 10.0500112192784, ""2021"": 12.643084750829093, ""2022"": 2.7378490297986335, ""2023"": 3.5831698400242473, ""2024"": 19.050184520272808}"
200.0,50.0,total_move,absolute,long,400.0,opening_range_breakout,690,1.0,20.0,4.0,be_1r,960,213,0.03501076635009587,194,1.354479432106018,0.15528497007704273,56,1.8081380128860474,0.36910530499049593,5,5,62.191999135636536,1.4594280197362868,7.500842229394812,0.07000908189130625,"{""2020"": 11.652320600411482, ""2021"": 11.822444129043209, ""2022"": 2.7378490297986335, ""2023"": 2.5284050810222114, ""2024"": 22.00437957880046}"
200.0,50.0,total_move,absolute,long,200.0,opening_range_breakout,630,1.0,20.0,3.0,be_1r,960,111,0.03446943439979522,173,1.3569841384887695,0.16092065579629358,53,1.8258079290390015,0.3673629400865087,5,5,57.131366472909015,1.4658199093728566,7.500842229394804,0.06946774994100562,"{""2020"": 6.231712532422895, ""2021"": 13.170889401233499, ""2022"": 3.6209645633811682, ""2023"": 4.597401562445502, ""2024"": 20.693758459758715}"
200.0,50.0,total_move,absolute,long,400.0,opening_range_breakout,630,1.0,20.0,3.0,be_1r,960,111,0.03446943439979522,173,1.3569841384887695,0.16092065579629358,53,1.8258079290390015,0.3673629400865087,5,5,57.131366472909015,1.4658199093728566,7.500842229394804,0.06946774994100562,"{""2020"": 6.231712532422895, ""2021"": 13.170889401233499, ""2022"": 3.6209645633811682, ""2023"": 4.597401562445502, ""2024"": 20.693758459758715}"
