policy,bot,symbol,month,trades,wins,losses,trail_stops,timeouts,win_rate,net_r,avg_r,profit_factor,avg_final_rr
challenge20_current,LTA,US30,2025-12,4,3,1,0,0,75.0,2.62,0.654,3.41,1.3
challenge20_current,LTA,US30,2026-01,7,5,1,1,0,71.43,5.2,0.742,5.68,1.3
challenge20_current,LTA,US30,2026-02,14,6,6,2,0,42.86,1.22,0.087,1.19,1.3
challenge20_current,LTA,US30,2026-03,5,1,2,2,0,20.0,-0.8,-0.16,0.62,1.3
challenge20_current,LTA,US30,2026-04,8,6,2,0,0,75.0,5.54,0.693,3.66,1.3
challenge20_current,LTA,US30,2026-05,5,2,1,2,0,40.0,1.34,0.269,2.15,1.3
challenge20_current,LTA,US30,2026-06,8,1,5,2,0,12.5,-3.97,-0.496,0.24,1.3
challenge20_current,ORB,EURUSD,2026-01,3,1,2,0,0,33.33,-0.91,-0.304,0.57,1.3
challenge20_current,ORB,EURUSD,2026-02,1,0,1,0,0,0.0,-1.08,-1.084,0.0,1.3
challenge20_current,ORB,EURUSD,2026-03,2,1,1,0,0,50.0,0.11,0.056,1.1,1.3
challenge20_current,ORB,EURUSD,2026-04,1,1,0,0,0,100.0,1.25,1.247,1.25,1.3
challenge20_current,ORB,EURUSD,2026-05,1,1,0,0,0,100.0,1.26,1.263,1.26,1.3
challenge20_current,ORB,XAGUSD,2025-12,2,1,1,0,0,50.0,0.3,0.152,1.3,1.3
challenge20_current,ORB,XAGUSD,2026-01,14,6,7,1,0,42.86,0.82,0.058,1.12,1.3
challenge20_current,ORB,XAGUSD,2026-02,14,6,7,1,0,42.86,0.82,0.058,1.12,1.3
challenge20_current,ORB,XAGUSD,2026-03,18,6,8,4,0,33.33,-0.2,-0.011,0.98,1.3
challenge20_current,ORB,XAGUSD,2026-04,13,8,4,1,0,61.54,6.41,0.493,2.6,1.3
challenge20_current,ORB,XAGUSD,2026-05,14,5,8,1,0,35.71,-1.5,-0.107,0.81,1.3
challenge20_current,ORB,XAGUSD,2026-06,16,10,3,3,0,62.5,10.02,0.626,4.33,1.3
challenge20_current,ORB,XAUUSD,2025-12,2,0,1,1,0,0.0,-1.0,-0.5,0.0,1.3
challenge20_current,ORB,XAUUSD,2026-01,16,5,9,2,0,31.25,-2.48,-0.155,0.72,1.3
challenge20_current,ORB,XAUUSD,2026-02,15,8,5,2,0,53.33,5.43,0.362,2.09,1.3
challenge20_current,ORB,XAUUSD,2026-03,14,5,7,2,0,35.71,-0.48,-0.034,0.93,1.3
challenge20_current,ORB,XAUUSD,2026-04,16,6,10,0,0,37.5,-2.18,-0.136,0.78,1.3
challenge20_current,ORB,XAUUSD,2026-05,14,8,6,0,0,57.14,4.43,0.316,1.74,1.3
challenge20_current,ORB,XAUUSD,2026-06,16,10,6,0,0,62.5,7.04,0.44,2.17,1.3
dynamic_aggressive,LTA,US30,2025-12,4,0,1,3,0,0.0,-0.29,-0.071,0.76,5.25
dynamic_aggressive,LTA,US30,2026-01,7,0,1,6,0,0.0,4.67,0.668,5.03,5.43
dynamic_aggressive,LTA,US30,2026-02,14,1,6,7,0,7.14,3.41,0.244,1.53,5.57
dynamic_aggressive,LTA,US30,2026-03,5,0,2,3,0,0.0,-0.11,-0.021,0.95,5.4
dynamic_aggressive,LTA,US30,2026-04,8,0,2,6,0,0.0,5.74,0.718,3.75,5.38
dynamic_aggressive,LTA,US30,2026-05,6,0,1,5,0,0.0,0.64,0.107,1.51,5.5
dynamic_aggressive,LTA,US30,2026-06,9,1,5,3,0,11.11,0.63,0.07,1.12,5.44
dynamic_aggressive,ORB,EURUSD,2026-01,3,0,2,1,0,0.0,-1.22,-0.405,0.43,4.67
dynamic_aggressive,ORB,EURUSD,2026-02,1,0,1,0,0,0.0,-1.08,-1.084,0.0,4.0
dynamic_aggressive,ORB,EURUSD,2026-03,2,0,1,1,0,0.0,0.81,0.404,1.74,5.0
dynamic_aggressive,ORB,EURUSD,2026-04,1,0,0,1,0,0.0,-0.06,-0.058,0.0,4.0
dynamic_aggressive,ORB,EURUSD,2026-05,1,0,0,1,0,0.0,1.96,1.958,1.96,4.0
dynamic_aggressive,ORB,XAGUSD,2025-12,2,0,1,1,0,0.0,-1.0,-0.5,0.0,5.0
dynamic_aggressive,ORB,XAGUSD,2026-01,14,1,6,7,0,7.14,4.99,0.357,1.83,5.71
dynamic_aggressive,ORB,XAGUSD,2026-02,14,2,7,5,0,14.29,11.99,0.856,2.71,5.0
dynamic_aggressive,ORB,XAGUSD,2026-03,18,1,10,7,0,5.56,-0.02,-0.001,1.0,5.56
dynamic_aggressive,ORB,XAGUSD,2026-04,13,0,4,9,0,0.0,6.98,0.537,2.74,5.85
dynamic_aggressive,ORB,XAGUSD,2026-05,14,1,8,5,0,7.14,-2.02,-0.144,0.75,5.57
dynamic_aggressive,ORB,XAGUSD,2026-06,16,2,3,11,0,12.5,10.98,0.686,4.65,5.38
dynamic_aggressive,ORB,XAUUSD,2025-12,2,0,2,0,0,0.0,-2.0,-1.0,0.0,6.0
dynamic_aggressive,ORB,XAUUSD,2026-01,16,1,9,6,0,6.25,6.0,0.375,1.67,5.75
dynamic_aggressive,ORB,XAUUSD,2026-02,15,1,5,9,0,6.67,7.0,0.467,2.4,4.8
dynamic_aggressive,ORB,XAUUSD,2026-03,14,1,7,6,0,7.14,4.0,0.285,1.57,5.29
dynamic_aggressive,ORB,XAUUSD,2026-04,16,1,10,5,0,6.25,-0.01,-0.0,1.0,5.5
dynamic_aggressive,ORB,XAUUSD,2026-05,14,1,6,7,0,7.14,1.99,0.142,1.33,5.57
dynamic_aggressive,ORB,XAUUSD,2026-06,16,1,6,9,0,6.25,4.99,0.312,1.83,5.0
dynamic_balanced,LTA,US30,2025-12,4,0,1,3,0,0.0,-0.29,-0.071,0.76,4.25
dynamic_balanced,LTA,US30,2026-01,7,1,1,5,0,14.29,5.67,0.811,5.89,4.29
