policy,trades,wins,losses,trail_stops,timeouts,win_rate,net_r,avg_r,profit_factor,avg_final_rr
challenge20_current,243,112,104,27,0,46.09,39.2,0.161,1.37,1.3
dynamic_aggressive,245,15,106,124,0,6.12,69.0,0.282,1.64,5.39
dynamic_balanced,252,26,110,116,0,10.32,53.47,0.212,1.48,4.13
dynamic_capped,245,23,106,116,0,9.39,55.99,0.229,1.52,4.16
dynamic_conservative,248,52,103,93,0,20.97,53.89,0.217,1.51,2.72
dynamic_score,252,16,110,126,0,6.35,58.47,0.232,1.52,5.21
fixed_current,243,59,104,80,0,24.28,53.1,0.218,1.5,3.3
production_current,254,51,81,49,0,20.08,49.54,0.195,1.51,3.31
