trades,wins,losses,timeouts,win_rate,net_r,start_balance,final_balance,level,target_balance,target_reached,target_reached_at,max_drawdown_pct,min_balance,symbol
252,119,125,8,47.22,31.21,20.0,5.77,1,52399.91,False,,99.91,0.04,XAUUSD
208,82,94,32,39.42,7.96,20.0,0.22,1,52399.91,False,,99.89,0.02,US30
