name,daily_profit_pct,daily_loss_pct,recovery_factor,maximum_multiplier,initial,final,net,return_pct,realized_dd_amount,realized_dd_pct,profit_factor,trades,wins,losses,win_rate_pct,skipped_entries,lock_days,max_loss_streak,max_multiplier_used,max_nominal_risk_pct,ruined
Daily 2.5% win / 1.5% loss,2.5,1.5,1.0,1.0,10000.0,36022.01,26022.01,260.2201,1412.57,14.1257,1.3006,1603,661,942,41.2352,463,149,10,1.0,1.0,False
Daily 2.5%/1.5% + fixed recovery 1.6x,2.5,1.5,1.6,1.6,10000.0,47941.63,37941.63,379.4163,1595.96,15.9596,1.3524,1491,623,868,41.784,575,173,10,1.6,1.6,False
Daily 2.5%/1.5% + recovery cap 2.56x,2.5,1.5,1.6,2.56,10000.0,55145.89,45145.89,451.4589,4710.51,24.7247,1.3611,1442,599,843,41.5395,624,189,10,2.56,2.56,False
Daily 2.5%/1.5% + literal unlimited recovery,2.5,1.5,1.6,,10000.0,111990.8,101990.8,1019.908,19048.16,77.7745,1.4251,1530,625,905,40.8497,536,150,12,175.92186,175.92186,False
Daily 2.5% win / 2% loss,2.5,2.0,1.0,1.0,10000.0,37083.24,27083.24,270.8324,1485.6,14.856,1.2888,1742,715,1027,41.0448,324,116,12,1.0,1.0,False
Daily 2.5%/2% + fixed recovery 1.6x,2.5,2.0,1.6,1.6,10000.0,48475.97,38475.97,384.7597,2085.29,20.8529,1.318,1651,682,969,41.3083,415,139,12,1.6,1.6,False
Daily 2.5%/2% + recovery cap 2.56x,2.5,2.0,1.6,2.56,10000.0,57640.68,47640.68,476.4068,2087.38,20.8738,1.3387,1582,651,931,41.1504,484,154,12,2.56,2.56,False
Daily 2.5%/2% + literal unlimited recovery,2.5,2.0,1.6,,10000.0,0.0,-10000.0,-100.0,22849.54,100.0,0.7684,478,180,298,37.6569,258,79,12,175.92186,175.92186,True
Daily 2.5% win / 2.5% loss,2.5,2.5,1.0,1.0,10000.0,39124.29,29124.29,291.2429,2259.17,22.5917,1.3003,1821,754,1067,41.4058,245,83,12,1.0,1.0,False
Daily 2.5%/2.5% + fixed recovery 1.6x,2.5,2.5,1.6,1.6,10000.0,47519.34,37519.34,375.1934,2085.29,20.8529,1.3033,1689,693,996,41.0302,377,126,15,1.6,1.6,False
Daily 2.5%/2.5% + recovery cap 2.56x,2.5,2.5,1.6,2.56,10000.0,57167.04,47167.04,471.6704,4301.6,22.8354,1.3248,1623,666,957,41.0351,443,145,12,2.56,2.56,False
