policy,trades,wins,losses,trail_stops,timeouts,win_rate,net_r,avg_r,profit_factor,avg_final_rr
challenge20_current,34,20,11,3,0,58.82,15.05,0.443,2.37,1.3
dynamic_aggressive,34,3,11,20,0,8.82,13.97,0.411,2.27,5.24
dynamic_balanced,35,4,13,18,0,11.43,6.88,0.196,1.52,4.0
dynamic_capped,34,4,10,20,0,11.76,13.97,0.411,2.39,4.03
dynamic_conservative,34,10,10,14,0,29.41,17.97,0.529,2.79,2.56
dynamic_score,35,1,13,21,0,2.86,5.88,0.168,1.45,5.34
fixed_current,34,12,11,11,0,35.29,18.0,0.53,2.63,2.65
production_current,34,11,11,8,0,32.35,14.69,0.432,2.33,2.65
