bot,symbol,timeframe,status,candles,broker_symbol
LTA,US30,M15,ok,5024,US30m
LTA,US30,M30,ok,2512,US30m
ORB,XAGUSD,M15,ok,2730,XAGUSDm
ORB,XAUUSD,M15,ok,2730,XAUUSDm
ORB,EURUSD,M15,ok,2872,EURUSDm
