policy,bot,symbol,trades,wins,losses,trail_stops,timeouts,win_rate,net_r,avg_r,profit_factor,avg_final_rr
challenge20_current,ORB,XAGUSD,17,10,4,3,0,58.82,9.01,0.53,3.25,1.3
challenge20_current,ORB,XAUUSD,17,10,7,0,0,58.82,6.04,0.355,1.86,1.3
dynamic_aggressive,ORB,XAGUSD,17,2,4,11,0,11.76,9.98,0.587,3.49,5.41
dynamic_aggressive,ORB,XAUUSD,17,1,7,9,0,5.88,3.99,0.235,1.57,5.06
dynamic_balanced,ORB,EURUSD,1,0,1,0,0,0.0,-1.09,-1.093,0.0,3.0
dynamic_balanced,ORB,XAGUSD,17,2,5,10,0,11.76,5.97,0.351,2.19,4.24
dynamic_balanced,ORB,XAUUSD,17,2,7,8,0,11.76,1.99,0.117,1.28,3.82
dynamic_capped,ORB,XAGUSD,17,3,3,11,0,17.65,12.98,0.763,5.31,4.24
dynamic_capped,ORB,XAUUSD,17,1,7,9,0,5.88,0.99,0.058,1.14,3.82
dynamic_conservative,ORB,XAGUSD,17,5,3,9,0,29.41,11.98,0.705,4.98,2.65
dynamic_conservative,ORB,XAUUSD,17,5,7,5,0,29.41,5.99,0.353,1.86,2.47
dynamic_score,ORB,EURUSD,1,0,1,0,0,0.0,-1.09,-1.093,0.0,4.0
dynamic_score,ORB,XAGUSD,17,1,5,11,0,5.88,5.97,0.351,2.19,5.47
dynamic_score,ORB,XAUUSD,17,0,7,10,0,0.0,0.99,0.058,1.14,5.29
fixed_current,ORB,XAGUSD,17,2,4,11,0,11.76,11.97,0.704,3.98,4.0
fixed_current,ORB,XAUUSD,17,10,7,0,0,58.82,6.03,0.355,1.86,1.3
production_current,ORB,XAGUSD,17,1,5,8,0,5.88,7.6,0.447,2.52,4.0
production_current,ORB,XAUUSD,17,10,6,0,0,58.82,7.08,0.417,2.18,1.3
