timestamp,open,high,low,close,volume
1312149600000,1624.766,1625.123,1623.823,1624.173,0.0085
1312149660000,1623.623,1623.773,1619.573,1619.573,0.035076
1312149720000,1619.623,1619.873,1615.623,1615.623,0.03105
1312149780000,1615.973,1615.973,1613.123,1613.123,0.020225
1312149840000,1613.023,1613.048,1610.604,1610.68,0.024115
1312149900000,1610.576,1610.576,1607.74,1608.365,0.014607
1312149960000,1608.364,1610.151,1608.364,1610.047,0.02754
1312150020000,1609.917,1611.505,1609.156,1611.283,0.031039
1312150080000,1611.253,1611.351,1610.372,1610.373,0.018636
1312150140000,1610.27,1611,1610.148,1610.532,0.02435
1312150200000,1610.583,1611.485,1610.431,1611.485,0.014878
1312150260000,1611.4,1611.606,1610.933,1611.396,0.01382
1312150320000,1611.391,1612.823,1611.391,1612.823,0.02154
1312150380000,1612.903,1614.713,1612.824,1613.771,0.03691
1312150440000,1613.754,1613.754,1611.754,1612.042,0.020564
1312150500000,1612.053,1612.53,1611.76,1611.844,0.01273
1312150560000,1611.763,1612.42,1611.578,1612.352,0.017326
1312150620000,1612.294,1612.637,1611.642,1611.642,0.01394
1312150680000,1611.692,1612.434,1611.628,1612.24,0.01101
1312150740000,1612.323,1612.364,1611.82,1611.91,0.01726
1312150800000,1611.839,1612.105,1611.772,1611.982,0.010345
1312150860000,1612.031,1612.237,1612.012,1612.078,0.00481
1312150920000,1612.107,1612.169,1611.86,1612.123,0.01186
1312150980000,1611.992,1611.992,1610.957,1611.219,0.01969
1312151040000,1611.498,1611.65,1610.82,1611.623,0.02051
1312151100000,1611.892,1612.301,1611.137,1611.137,0.01573
1312151160000,1611.038,1611.038,1610.403,1610.873,0.01728
1312151220000,1611.042,1611.463,1610.599,1611.053,0.01285
1312151280000,1610.999,1611.622,1610.913,1611.407,0.01629
1312151340000,1611.446,1611.446,1610.93,1610.93,0.00729
1312151400000,1611.11,1612.343,1611.11,1612.133,0.02416
1312151460000,1612.25,1612.48,1611.121,1611.243,0.01857
1312151520000,1611.34,1612.352,1611.34,1612.013,0.01304
1312151580000,1612.082,1612.151,1611.671,1611.917,0.00699
1312151640000,1612.063,1612.65,1612.021,1612.622,0.006
1312151700000,1612.655,1613.843,1612.428,1613.782,0.02102
1312151760000,1613.671,1614.052,1613.153,1613.561,0.01631
1312151820000,1613.765,1614.138,1613.127,1614.1,0.012927
1312151880000,1613.776,1614.309,1613.774,1613.925,0.0124
1312151940000,1614.145,1614.28,1614.134,1614.28,0.00429
1312152000000,1614.363,1614.364,1614.076,1614.076,0.00623
1312152060000,1614.1,1614.1,1613.876,1613.876,0.0016
1312152120000,1613.77,1613.795,1613.617,1613.795,0.003656
1312152180000,1613.86,1613.966,1613.228,1613.684,0.01255
1312152240000,1613.635,1613.65,1613.384,1613.384,0.00372
1312152300000,1613.285,1613.645,1613.158,1613.645,0.00737
1312152360000,1613.603,1613.723,1613.162,1613.175,0.00577
1312152420000,1613.212,1613.378,1613.147,1613.368,0.00606
1312152480000,1613.442,1614.778,1613.415,1614.778,0.00819
1312152540000,1614.695,1614.695,1614.223,1614.573,0.00686
1312152600000,1614.737,1614.809,1614.572,1614.691,0.00784
1312152660000,1614.672,1615.23,1614.666,1615.016,0.01593
1312152720000,1614.872,1614.951,1614.82,1614.936,0.00439
1312152780000,1614.889,1615.048,1614.834,1615.048,0.00571
1312152840000,1615.102,1615.577,1615.102,1615.577,0.00475
1312152900000,1615.642,1615.642,1615.302,1615.569,0.00475
1312152960000,1615.665,1615.691,1615.281,1615.281,0.00271
1312153020000,1615.621,1615.695,1615.145,1615.163,0.008043
1312153080000,1615.173,1615.173,1614.966,1615.009,0.00543
