event_group,skip_fomc_minutes,buffer_points,sl_extra_points,max_setup_range_points,max_risk_usd,trail_start_r,trail_distance_r,max_hold_minutes,trades,wins,losses,win_rate,total_r,final_balance,net_usd,return_pct,max_drawdown_usd,min_balance,below_zero,filtered_risk,no_trigger,robust_score,combo_id
cpi_nfp_fomc_pce,False,7.0,15.0,8.0,9999.0,5.0,1.5,120,18,14,4,0.7777777777777778,21.32411426050728,6142.130000000025,5642.130000000025,1128.426000000005,286.83999999999287,500.0,False,0,26,6075.290000000032,4189
cpi_nfp_fomc_pce,False,7.0,15.0,8.0,9999.0,5.0,2.0,120,18,14,4,0.7777777777777778,21.32411426050728,6142.130000000025,5642.130000000025,1128.426000000005,286.83999999999287,500.0,False,0,26,6075.290000000032,4192
cpi_nfp_fomc_pce,False,7.0,15.0,8.0,9999.0,7.0,1.0,120,18,14,4,0.7777777777777778,21.32411426050728,6142.130000000025,5642.130000000025,1128.426000000005,286.83999999999287,500.0,False,0,26,6075.290000000032,4195
cpi_nfp_fomc_pce,False,7.0,15.0,8.0,9999.0,7.0,1.5,120,18,14,4,0.7777777777777778,21.32411426050728,6142.130000000025,5642.130000000025,1128.426000000005,286.83999999999287,500.0,False,0,26,6075.290000000032,4198
cpi_nfp_fomc_pce,False,7.0,15.0,8.0,9999.0,7.0,2.0,120,18,14,4,0.7777777777777778,21.32411426050728,6142.130000000025,5642.130000000025,1128.426000000005,286.83999999999287,500.0,False,0,26,6075.290000000032,4201
cpi_nfp_fomc_pce,False,7.0,15.0,8.0,9999.0,10.0,1.0,120,18,14,4,0.7777777777777778,21.32411426050728,6142.130000000025,5642.130000000025,1128.426000000005,286.83999999999287,500.0,False,0,26,6075.290000000032,4204
cpi_nfp_fomc_pce,False,7.0,15.0,8.0,9999.0,10.0,1.5,120,18,14,4,0.7777777777777778,21.32411426050728,6142.130000000025,5642.130000000025,1128.426000000005,286.83999999999287,500.0,False,0,26,6075.290000000032,4207
cpi_nfp_fomc_pce,False,7.0,15.0,8.0,9999.0,10.0,2.0,120,18,14,4,0.7777777777777778,21.32411426050728,6142.130000000025,5642.130000000025,1128.426000000005,286.83999999999287,500.0,False,0,26,6075.290000000032,4210
cpi_nfp_fomc_pce,False,7.0,15.0,10.0,9999.0,5.0,1.5,120,18,14,4,0.7777777777777778,21.32411426050728,6142.130000000025,5642.130000000025,1128.426000000005,286.83999999999287,500.0,False,0,26,6075.290000000032,4351
cpi_nfp_fomc_pce,False,7.0,15.0,10.0,9999.0,5.0,2.0,120,18,14,4,0.7777777777777778,21.32411426050728,6142.130000000025,5642.130000000025,1128.426000000005,286.83999999999287,500.0,False,0,26,6075.290000000032,4354
cpi_nfp_fomc_pce,False,7.0,15.0,10.0,9999.0,7.0,1.0,120,18,14,4,0.7777777777777778,21.32411426050728,6142.130000000025,5642.130000000025,1128.426000000005,286.83999999999287,500.0,False,0,26,6075.290000000032,4357
cpi_nfp_fomc_pce,False,7.0,15.0,10.0,9999.0,7.0,1.5,120,18,14,4,0.7777777777777778,21.32411426050728,6142.130000000025,5642.130000000025,1128.426000000005,286.83999999999287,500.0,False,0,26,6075.290000000032,4360
cpi_nfp_fomc_pce,False,7.0,15.0,10.0,9999.0,7.0,2.0,120,18,14,4,0.7777777777777778,21.32411426050728,6142.130000000025,5642.130000000025,1128.426000000005,286.83999999999287,500.0,False,0,26,6075.290000000032,4363
cpi_nfp_fomc_pce,False,7.0,15.0,10.0,9999.0,10.0,1.0,120,18,14,4,0.7777777777777778,21.32411426050728,6142.130000000025,5642.130000000025,1128.426000000005,286.83999999999287,500.0,False,0,26,6075.290000000032,4366
cpi_nfp_fomc_pce,False,7.0,15.0,10.0,9999.0,10.0,1.5,120,18,14,4,0.7777777777777778,21.32411426050728,6142.130000000025,5642.130000000025,1128.426000000005,286.83999999999287,500.0,False,0,26,6075.290000000032,4369
cpi_nfp_fomc_pce,False,7.0,15.0,10.0,9999.0,10.0,2.0,120,18,14,4,0.7777777777777778,21.32411426050728,6142.130000000025,5642.130000000025,1128.426000000005,286.83999999999287,500.0,False,0,26,6075.290000000032,4372
cpi_nfp_fomc_pce,False,7.0,15.0,8.0,9999.0,5.0,1.0,120,18,14,4,0.7777777777777778,21.32155268415258,6141.48000000002,5641.48000000002,1128.296000000004,286.83999999999287,500.0,False,0,26,6074.640000000027,4186
cpi_nfp_fomc_pce,False,7.0,15.0,10.0,9999.0,5.0,1.0,120,18,14,4,0.7777777777777778,21.32155268415258,6141.48000000002,5641.48000000002,1128.296000000004,286.83999999999287,500.0,False,0,26,6074.640000000027,4348
cpi_nfp_fomc_pce,True,7.0,15.0,8.0,9999.0,5.0,1.0,240,17,10,7,0.5882352941176471,22.04885737700712,6289.310000000005,5789.310000000005,1157.862000000001,426.58000000000357,500.0,False,0,20,6042.730000000001,23627
cpi_nfp_fomc_pce,True,7.0,15.0,10.0,9999.0,5.0,1.0,240,17,10,7,0.5882352941176471,22.04885737700712,6289.310000000005,5789.310000000005,1157.862000000001,426.58000000000357,500.0,False,0,20,6042.730000000001,23789
cpi_nfp_fomc_pce,True,7.0,20.0,8.0,9999.0,5.0,1.0,240,17,10,7,0.5882352941176471,18.11996456639543,6193.930000000009,5693.930000000009,1138.7860000000019,340.84999999999127,500.0,False,0,20,6033.080000000018,24437
cpi_nfp_fomc_pce,True,7.0,20.0,8.0,9999.0,5.0,1.5,240,17,10,7,0.5882352941176471,18.11996456639543,6193.930000000009,5693.930000000009,1138.7860000000019,340.84999999999127,500.0,False,0,20,6033.080000000018,24440
cpi_nfp_fomc_pce,True,7.0,20.0,8.0,9999.0,5.0,2.0,240,17,10,7,0.5882352941176471,18.11996456639543,6193.930000000009,5693.930000000009,1138.7860000000019,340.84999999999127,500.0,False,0,20,6033.080000000018,24443
cpi_nfp_fomc_pce,True,7.0,20.0,8.0,9999.0,7.0,1.0,240,17,10,7,0.5882352941176471,18.11996456639543,6193.930000000009,5693.930000000009,1138.7860000000019,340.84999999999127,500.0,False,0,20,6033.080000000018,24446
cpi_nfp_fomc_pce,True,7.0,20.0,8.0,9999.0,7.0,1.5,240,17,10,7,0.5882352941176471,18.11996456639543,6193.930000000009,5693.930000000009,1138.7860000000019,340.84999999999127,500.0,False,0,20,6033.080000000018,24449
cpi_nfp_fomc_pce,True,7.0,20.0,8.0,9999.0,7.0,2.0,240,17,10,7,0.5882352941176471,18.11996456639543,6193.930000000009,5693.930000000009,1138.7860000000019,340.84999999999127,500.0,False,0,20,6033.080000000018,24452
cpi_nfp_fomc_pce,True,7.0,20.0,8.0,9999.0,10.0,1.0,240,17,10,7,0.5882352941176471,18.11996456639543,6193.930000000009,5693.930000000009,1138.7860000000019,340.84999999999127,500.0,False,0,20,6033.080000000018,24455
cpi_nfp_fomc_pce,True,7.0,20.0,8.0,9999.0,10.0,1.5,240,17,10,7,0.5882352941176471,18.11996456639543,6193.930000000009,5693.930000000009,1138.7860000000019,340.84999999999127,500.0,False,0,20,6033.080000000018,24458
cpi_nfp_fomc_pce,True,7.0,20.0,8.0,9999.0,10.0,2.0,240,17,10,7,0.5882352941176471,18.11996456639543,6193.930000000009,5693.930000000009,1138.7860000000019,340.84999999999127,500.0,False,0,20,6033.080000000018,24461
cpi_nfp_fomc_pce,True,7.0,20.0,10.0,9999.0,5.0,1.0,240,17,10,7,0.5882352941176471,18.11996456639543,6193.930000000009,5693.930000000009,1138.7860000000019,340.84999999999127,500.0,False,0,20,6033.080000000018,24599
cpi_nfp_fomc_pce,True,7.0,20.0,10.0,9999.0,5.0,1.5,240,17,10,7,0.5882352941176471,18.11996456639543,6193.930000000009,5693.930000000009,1138.7860000000019,340.84999999999127,500.0,False,0,20,6033.080000000018,24602
cpi_nfp_fomc_pce,True,7.0,20.0,10.0,9999.0,5.0,2.0,240,17,10,7,0.5882352941176471,18.11996456639543,6193.930000000009,5693.930000000009,1138.7860000000019,340.84999999999127,500.0,False,0,20,6033.080000000018,24605
cpi_nfp_fomc_pce,True,7.0,20.0,10.0,9999.0,7.0,1.0,240,17,10,7,0.5882352941176471,18.11996456639543,6193.930000000009,5693.930000000009,1138.7860000000019,340.84999999999127,500.0,False,0,20,6033.080000000018,24608
cpi_nfp_fomc_pce,True,7.0,20.0,10.0,9999.0,7.0,1.5,240,17,10,7,0.5882352941176471,18.11996456639543,6193.930000000009,5693.930000000009,1138.7860000000019,340.84999999999127,500.0,False,0,20,6033.080000000018,24611
cpi_nfp_fomc_pce,True,7.0,20.0,10.0,9999.0,7.0,2.0,240,17,10,7,0.5882352941176471,18.11996456639543,6193.930000000009,5693.930000000009,1138.7860000000019,340.84999999999127,500.0,False,0,20,6033.080000000018,24614
