trail_start_r,trail_distance_r,max_hold,trades,wins,losses,win_rate,total_r,final_balance,net,max_dd
7,1.0,120,26,14,12,0.5384615384615384,22.469810365133526,4880.14,4380.14,628.8499999999999
3,4.0,120,26,14,12,0.5384615384615384,22.09239539914716,4810.790000000001,4310.790000000001,628.8499999999999
3,5.0,120,26,14,12,0.5384615384615384,22.09239539914716,4810.790000000001,4310.790000000001,628.8499999999999
4,4.0,120,26,14,12,0.5384615384615384,22.09239539914716,4810.790000000001,4310.790000000001,628.8499999999999
4,5.0,120,26,14,12,0.5384615384615384,22.09239539914716,4810.790000000001,4310.790000000001,628.8499999999999
5,4.0,120,26,14,12,0.5384615384615384,22.09239539914716,4810.790000000001,4310.790000000001,628.8499999999999
5,5.0,120,26,14,12,0.5384615384615384,22.09239539914716,4810.790000000001,4310.790000000001,628.8499999999999
7,2.0,120,26,14,12,0.5384615384615384,22.09239539914716,4810.790000000001,4310.790000000001,628.8499999999999
7,3.0,120,26,14,12,0.5384615384615384,22.09239539914716,4810.790000000001,4310.790000000001,628.8499999999999
7,4.0,120,26,14,12,0.5384615384615384,22.09239539914716,4810.790000000001,4310.790000000001,628.8499999999999
7,5.0,120,26,14,12,0.5384615384615384,22.09239539914716,4810.790000000001,4310.790000000001,628.8499999999999
10,1.0,120,26,14,12,0.5384615384615384,22.09239539914716,4810.790000000001,4310.790000000001,628.8499999999999
10,1.5,120,26,14,12,0.5384615384615384,22.09239539914716,4810.790000000001,4310.790000000001,628.8499999999999
10,2.0,120,26,14,12,0.5384615384615384,22.09239539914716,4810.790000000001,4310.790000000001,628.8499999999999
10,3.0,120,26,14,12,0.5384615384615384,22.09239539914716,4810.790000000001,4310.790000000001,628.8499999999999
10,4.0,120,26,14,12,0.5384615384615384,22.09239539914716,4810.790000000001,4310.790000000001,628.8499999999999
10,5.0,120,26,14,12,0.5384615384615384,22.09239539914716,4810.790000000001,4310.790000000001,628.8499999999999
7,1.5,120,26,14,12,0.5384615384615384,21.969810365133526,4788.26,4288.26,628.8499999999999
7,1.5,360,26,10,16,0.38461538461538464,21.126395123146764,4566.129999999999,4066.129999999999,1282.6100000000001
7,1.5,720,26,10,16,0.38461538461538464,21.126395123146764,4566.129999999999,4066.129999999999,1282.6100000000001
7,2.0,360,26,10,16,0.38461538461538464,20.626395123146764,4474.259999999999,3974.2599999999993,1282.6100000000001
7,2.0,720,26,10,16,0.38461538461538464,20.626395123146764,4474.259999999999,3974.2599999999993,1282.6100000000001
3,4.0,360,26,10,16,0.38461538461538464,19.82732029321479,4327.429999999999,3827.4299999999994,1282.6100000000001
3,4.0,720,26,10,16,0.38461538461538464,19.82732029321479,4327.429999999999,3827.4299999999994,1282.6100000000001
3,5.0,360,26,10,16,0.38461538461538464,19.82732029321479,4327.429999999999,3827.4299999999994,1282.6100000000001
3,5.0,720,26,10,16,0.38461538461538464,19.82732029321479,4327.429999999999,3827.4299999999994,1282.6100000000001
4,4.0,360,26,10,16,0.38461538461538464,19.82732029321479,4327.429999999999,3827.4299999999994,1282.6100000000001
4,4.0,720,26,10,16,0.38461538461538464,19.82732029321479,4327.429999999999,3827.4299999999994,1282.6100000000001
4,5.0,360,26,10,16,0.38461538461538464,19.82732029321479,4327.429999999999,3827.4299999999994,1282.6100000000001
4,5.0,720,26,10,16,0.38461538461538464,19.82732029321479,4327.429999999999,3827.4299999999994,1282.6100000000001
5,4.0,360,26,10,16,0.38461538461538464,19.82732029321479,4327.429999999999,3827.4299999999994,1282.6100000000001
5,4.0,720,26,10,16,0.38461538461538464,19.82732029321479,4327.429999999999,3827.4299999999994,1282.6100000000001
5,5.0,360,26,10,16,0.38461538461538464,19.82732029321479,4327.429999999999,3827.4299999999994,1282.6100000000001
5,5.0,720,26,10,16,0.38461538461538464,19.82732029321479,4327.429999999999,3827.4299999999994,1282.6100000000001
7,3.0,360,26,10,16,0.38461538461538464,19.82732029321479,4327.429999999999,3827.4299999999994,1282.6100000000001
7,3.0,720,26,10,16,0.38461538461538464,19.82732029321479,4327.429999999999,3827.4299999999994,1282.6100000000001
7,4.0,360,26,10,16,0.38461538461538464,19.82732029321479,4327.429999999999,3827.4299999999994,1282.6100000000001
7,4.0,720,26,10,16,0.38461538461538464,19.82732029321479,4327.429999999999,3827.4299999999994,1282.6100000000001
7,5.0,360,26,10,16,0.38461538461538464,19.82732029321479,4327.429999999999,3827.4299999999994,1282.6100000000001
7,5.0,720,26,10,16,0.38461538461538464,19.82732029321479,4327.429999999999,3827.4299999999994,1282.6100000000001
10,1.0,360,26,10,16,0.38461538461538464,19.82732029321479,4327.429999999999,3827.4299999999994,1282.6100000000001
10,1.0,720,26,10,16,0.38461538461538464,19.82732029321479,4327.429999999999,3827.4299999999994,1282.6100000000001
10,1.5,360,26,10,16,0.38461538461538464,19.82732029321479,4327.429999999999,3827.4299999999994,1282.6100000000001
10,1.5,720,26,10,16,0.38461538461538464,19.82732029321479,4327.429999999999,3827.4299999999994,1282.6100000000001
10,2.0,360,26,10,16,0.38461538461538464,19.82732029321479,4327.429999999999,3827.4299999999994,1282.6100000000001
10,2.0,720,26,10,16,0.38461538461538464,19.82732029321479,4327.429999999999,3827.4299999999994,1282.6100000000001
10,3.0,360,26,10,16,0.38461538461538464,19.82732029321479,4327.429999999999,3827.4299999999994,1282.6100000000001
10,3.0,720,26,10,16,0.38461538461538464,19.82732029321479,4327.429999999999,3827.4299999999994,1282.6100000000001
10,4.0,360,26,10,16,0.38461538461538464,19.82732029321479,4327.429999999999,3827.4299999999994,1282.6100000000001
10,4.0,720,26,10,16,0.38461538461538464,19.82732029321479,4327.429999999999,3827.4299999999994,1282.6100000000001
10,5.0,360,26,10,16,0.38461538461538464,19.82732029321479,4327.429999999999,3827.4299999999994,1282.6100000000001
10,5.0,720,26,10,16,0.38461538461538464,19.82732029321479,4327.429999999999,3827.4299999999994,1282.6100000000001
7,1.0,240,26,12,14,0.46153846153846156,19.84551126382482,4286.2699999999995,3786.2699999999995,1221.9700000000003
4,1.5,120,26,14,12,0.5384615384615384,18.809538256290008,4207.56,3707.5600000000004,628.8499999999999
5,1.5,120,26,14,12,0.5384615384615384,18.809538256290008,4207.56,3707.5600000000004,628.8499999999999
7,1.5,240,26,12,14,0.46153846153846156,19.34551126382482,4194.39,3694.3900000000003,1221.9700000000003
3,2.0,120,26,14,12,0.5384615384615384,18.71057226989543,4189.38,3689.38,628.8499999999999
4,2.0,120,26,14,12,0.5384615384615384,18.71057226989543,4189.38,3689.38,628.8499999999999
5,2.0,120,26,14,12,0.5384615384615384,18.71057226989543,4189.38,3689.38,628.8499999999999
5,1.0,120,26,14,12,0.5384615384615384,18.435866301698216,4119.35,3619.3500000000004,628.8500000000001
3,1.0,120,26,14,12,0.5384615384615384,18.398533531307457,4118.97,3618.9700000000003,628.8500000000001
3,1.5,120,26,14,12,0.5384615384615384,18.341239499504645,4115.950000000001,3615.9500000000007,628.8499999999999
7,2.0,240,26,12,14,0.46153846153846156,18.84551126382482,4102.5199999999995,3602.5199999999995,1221.9700000000003
7,1.0,360,26,10,16,0.38461538461538464,18.894914989250637,4094.9699999999993,3594.9699999999993,1282.6100000000001
7,1.0,720,26,10,16,0.38461538461538464,18.894914989250637,4094.9699999999993,3594.9699999999993,1282.6100000000001
3,4.0,240,26,12,14,0.46153846153846156,18.761538474709194,4087.0899999999997,3587.0899999999997,1221.9700000000003
3,5.0,240,26,12,14,0.46153846153846156,18.761538474709194,4087.0899999999997,3587.0899999999997,1221.9700000000003
4,4.0,240,26,12,14,0.46153846153846156,18.761538474709194,4087.0899999999997,3587.0899999999997,1221.9700000000003
4,5.0,240,26,12,14,0.46153846153846156,18.761538474709194,4087.0899999999997,3587.0899999999997,1221.9700000000003
5,4.0,240,26,12,14,0.46153846153846156,18.761538474709194,4087.0899999999997,3587.0899999999997,1221.9700000000003
5,5.0,240,26,12,14,0.46153846153846156,18.761538474709194,4087.0899999999997,3587.0899999999997,1221.9700000000003
7,3.0,240,26,12,14,0.46153846153846156,18.761538474709194,4087.0899999999997,3587.0899999999997,1221.9700000000003
7,4.0,240,26,12,14,0.46153846153846156,18.761538474709194,4087.0899999999997,3587.0899999999997,1221.9700000000003
7,5.0,240,26,12,14,0.46153846153846156,18.761538474709194,4087.0899999999997,3587.0899999999997,1221.9700000000003
10,1.0,240,26,12,14,0.46153846153846156,18.761538474709194,4087.0899999999997,3587.0899999999997,1221.9700000000003
10,1.5,240,26,12,14,0.46153846153846156,18.761538474709194,4087.0899999999997,3587.0899999999997,1221.9700000000003
10,2.0,240,26,12,14,0.46153846153846156,18.761538474709194,4087.0899999999997,3587.0899999999997,1221.9700000000003
10,3.0,240,26,12,14,0.46153846153846156,18.761538474709194,4087.0899999999997,3587.0899999999997,1221.9700000000003
10,4.0,240,26,12,14,0.46153846153846156,18.761538474709194,4087.0899999999997,3587.0899999999997,1221.9700000000003
10,5.0,240,26,12,14,0.46153846153846156,18.761538474709194,4087.0899999999997,3587.0899999999997,1221.9700000000003
4,1.0,120,26,14,12,0.5384615384615384,17.866832288092766,4014.79,3514.79,628.8500000000001
3,3.0,120,26,14,12,0.5384615384615384,17.71057226989543,4005.6300000000006,3505.6300000000006,628.8499999999999
4,3.0,120,26,14,12,0.5384615384615384,17.71057226989543,4005.6300000000006,3505.6300000000006,628.8499999999999
5,3.0,120,26,14,12,0.5384615384615384,17.71057226989543,4005.6300000000006,3505.6300000000006,628.8499999999999
4,1.5,360,26,10,16,0.38461538461538464,17.966123014303243,3985.4299999999994,3485.4299999999994,1282.6100000000001
4,1.5,720,26,10,16,0.38461538461538464,17.966123014303243,3985.4299999999994,3485.4299999999994,1282.6100000000001
5,1.5,360,26,10,16,0.38461538461538464,17.966123014303243,3985.4299999999994,3485.4299999999994,1282.6100000000001
5,1.5,720,26,10,16,0.38461538461538464,17.966123014303243,3985.4299999999994,3485.4299999999994,1282.6100000000001
4,2.0,360,26,10,16,0.38461538461538464,17.867157027908668,3967.249999999999,3467.249999999999,1282.6100000000001
4,2.0,720,26,10,16,0.38461538461538464,17.867157027908668,3967.249999999999,3467.249999999999,1282.6100000000001
5,2.0,360,26,10,16,0.38461538461538464,17.867157027908668,3967.249999999999,3467.249999999999,1282.6100000000001
5,2.0,720,26,10,16,0.38461538461538464,17.867157027908668,3967.249999999999,3467.249999999999,1282.6100000000001
3,1.5,360,26,10,16,0.38461538461538464,17.695449485245096,3939.65,3439.65,1370.9099999999999
3,1.5,720,26,10,16,0.38461538461538464,17.695449485245096,3939.65,3439.65,1370.9099999999999
3,2.0,360,26,10,16,0.38461538461538464,17.540790328980645,3903.5499999999993,3403.5499999999993,1282.6100000000001
3,2.0,720,26,10,16,0.38461538461538464,17.540790328980645,3903.5499999999993,3403.5499999999993,1282.6100000000001
3,3.0,360,26,10,16,0.38461538461538464,16.867157027908668,3783.5,3283.5,1282.6100000000001
3,3.0,720,26,10,16,0.38461538461538464,16.867157027908668,3783.5,3283.5,1282.6100000000001
4,3.0,360,26,10,16,0.38461538461538464,16.867157027908668,3783.5,3283.5,1282.6100000000001
4,3.0,720,26,10,16,0.38461538461538464,16.867157027908668,3783.5,3283.5,1282.6100000000001
5,3.0,360,26,10,16,0.38461538461538464,16.867157027908668,3783.5,3283.5,1282.6100000000001
5,3.0,720,26,10,16,0.38461538461538464,16.867157027908668,3783.5,3283.5,1282.6100000000001
3,1.5,240,26,12,14,0.46153846153846156,16.23258618242404,3629.51,3129.51,1261.1799999999998
3,2.0,240,26,12,14,0.46153846153846156,16.233473005371334,3624.37,3124.37,1221.9700000000003
4,1.5,240,26,12,14,0.46153846153846156,16.1852391549813,3613.6899999999996,3113.6899999999996,1221.9700000000003
5,1.5,240,26,12,14,0.46153846153846156,16.1852391549813,3613.6899999999996,3113.6899999999996,1221.9700000000003
4,2.0,240,26,12,14,0.46153846153846156,16.086273168586725,3595.5099999999998,3095.5099999999998,1221.9700000000003
5,2.0,240,26,12,14,0.46153846153846156,16.086273168586725,3595.5099999999998,3095.5099999999998,1221.9700000000003
3,3.0,240,26,12,14,0.46153846153846156,15.086273168586724,3411.7599999999998,2911.7599999999998,1221.9700000000003
4,3.0,240,26,12,14,0.46153846153846156,15.086273168586724,3411.7599999999998,2911.7599999999998,1221.9700000000003
5,3.0,240,26,12,14,0.46153846153846156,15.086273168586724,3411.7599999999998,2911.7599999999998,1221.9700000000003
3,1.0,240,26,12,14,0.46153846153846156,13.554777123644191,3081.2200000000007,2581.2200000000007,1221.97
