event,type,status,side,r,best_r,entry,sl,risk_usd_0_10,pnl_usd_0_10,balance_after,trail_start_r,trail_distance_r,max_hold_minutes
Jul 30 2025 FOMC Statement,FOMC,no_trigger,,0.0,,,,0.0,0.0,500.0,2.0,0.75,120
Jul 31 2025 PCE,PCE,no_trigger,,0.0,,,,0.0,0.0,500.0,2.0,0.75,120
Aug 01 2025 NFP / Jobs,NFP,trail_exit,buy,1.8047521227060646,2.554752122706077,3307.994,3289.739,182.55,329.46,829.46,2.0,0.75,120
Aug 12 2025 CPI,CPI,timeout,buy,-0.6956179893070659,0.5546703008701066,3347.449,3328.371,190.78,-132.71,696.75,2.0,0.75,120
Aug 20 2025 FOMC Minutes,FOMC,no_trigger,,0.0,,,,0.0,0.0,696.75,2.0,0.75,120
Aug 29 2025 PCE,PCE,no_trigger,,0.0,,,,0.0,0.0,696.75,2.0,0.75,120
Sep 05 2025 NFP / Jobs,NFP,timeout,buy,1.1956342243781444,1.9397770667767384,3560.304,3540.926,193.78,231.69,928.44,2.0,0.75,120
Sep 11 2025 CPI,CPI,both_sides_same_bar_skip,,0.0,,,,0.0,0.0,928.44,2.0,0.75,120
Sep 17 2025 FOMC Statement,FOMC,both_sides_same_bar_skip,,0.0,,,,0.0,0.0,928.44,2.0,0.75,120
Sep 26 2025 PCE,PCE,no_trigger,,0.0,,,,0.0,0.0,928.44,2.0,0.75,120
Oct 03 2025 NFP / Jobs,NFP,no_trigger,,0.0,,,,0.0,0.0,928.44,2.0,0.75,120
Oct 08 2025 FOMC Minutes,FOMC,no_trigger,,0.0,,,,0.0,0.0,928.44,2.0,0.75,120
Oct 15 2025 CPI,CPI,no_trigger,,0.0,,,,0.0,0.0,928.44,2.0,0.75,120
Oct 29 2025 FOMC Statement,FOMC,loss,sell,-1.0,0.5054171478853906,3987.756,4005.939,181.83,-181.83,746.61,2.0,0.75,120
Oct 31 2025 PCE,PCE,no_trigger,,0.0,,,,0.0,0.0,746.61,2.0,0.75,120
Nov 07 2025 NFP / Jobs,NFP,no_trigger,,0.0,,,,0.0,0.0,746.61,2.0,0.75,120
Nov 13 2025 CPI,CPI,no_trigger,,0.0,,,,0.0,0.0,746.61,2.0,0.75,120
Nov 19 2025 FOMC Minutes,FOMC,timeout,sell,0.319654540696151,0.6203088196807172,4080.806,4099.911,191.05,61.07,807.6800000000001,2.0,0.75,120
Nov 26 2025 PCE,PCE,breakeven,sell,0.0,1.2300769814594283,4159.198,4177.644,184.46,0.0,807.6800000000001,2.0,0.75,120
Dec 05 2025 NFP / Jobs,NFP,no_trigger,,0.0,,,,0.0,0.0,807.6800000000001,2.0,0.75,120
Dec 10 2025 CPI,CPI,no_trigger,,0.0,,,,0.0,0.0,807.6800000000001,2.0,0.75,120
Dec 10 2025 FOMC Statement,FOMC,breakeven,buy,0.0,1.0134657465073613,4201.789,4183.966,178.23,0.0,807.6800000000001,2.0,0.75,120
Dec 23 2025 PCE,PCE,no_trigger,,0.0,,,,0.0,0.0,807.6800000000001,2.0,0.75,120
Jan 07 2026 FOMC Minutes,FOMC,no_trigger,,0.0,,,,0.0,0.0,807.6800000000001,2.0,0.75,120
Jan 09 2026 NFP / Jobs,NFP,loss,sell,-1.0,0.2886180867334629,4464.756,4485.025,202.69,-202.69,604.99,2.0,0.75,120
Jan 13 2026 CPI,CPI,breakeven,buy,0.0,1.323738027439852,4609.172,4589.857,193.15,0.0,604.99,2.0,0.75,120
Jan 28 2026 FOMC Statement,FOMC,trail_exit,buy,1.8811550962985042,2.631155096298526,5284.673,5264.06,206.13,387.76,992.75,2.0,0.75,120
