tp_r,max_hold_minutes,trades,wins,losses,win_rate,total_r,total_usd_0_20_lot,avg_usd_per_trade,avg_risk_usd,max_drawdown_usd
5,120,8,2,1,0.25,5.4891759465478565,2230.46,278.8075,400.0,379.78
6,120,8,2,1,0.25,5.3315224648832205,2169.2400000000002,271.15500000000003,400.0,379.78
7,120,8,2,1,0.25,5.3315224648832205,2169.2400000000002,271.15500000000003,400.0,379.78
8,120,8,2,1,0.25,5.3315224648832205,2169.2400000000002,271.15500000000003,400.0,379.78
10,120,8,2,1,0.25,5.3315224648832205,2169.2400000000002,271.15500000000003,400.0,379.78
4,120,8,2,1,0.25,4.4891759465478565,1842.1399999999999,230.26749999999998,400.0,379.78
5,90,8,2,1,0.25,3.9867997509458335,1586.6799999999998,198.33499999999998,400.0,379.78
6,90,8,2,1,0.25,3.9867997509458335,1586.6799999999998,198.33499999999998,400.0,379.78
7,90,8,2,1,0.25,3.9867997509458335,1586.6799999999998,198.33499999999998,400.0,379.78
8,90,8,2,1,0.25,3.9867997509458335,1586.6799999999998,198.33499999999998,400.0,379.78
10,90,8,2,1,0.25,3.9867997509458335,1586.6799999999998,198.33499999999998,400.0,379.78
3,120,8,2,1,0.25,3.4891759465478565,1453.8200000000002,181.72750000000002,400.0,379.78
3,30,8,3,1,0.375,3.4159870438229034,1420.22,177.5275,400.0,379.78
4,30,8,3,1,0.375,3.4159870438229034,1420.22,177.5275,400.0,379.78
5,30,8,3,1,0.375,3.4159870438229034,1420.22,177.5275,400.0,379.78
6,30,8,3,1,0.375,3.4159870438229034,1420.22,177.5275,400.0,379.78
7,30,8,3,1,0.375,3.4159870438229034,1420.22,177.5275,400.0,379.78
8,30,8,3,1,0.375,3.4159870438229034,1420.22,177.5275,400.0,379.78
10,30,8,3,1,0.375,3.4159870438229034,1420.22,177.5275,400.0,379.78
3,60,8,2,1,0.25,3.402306925704946,1420.1599999999999,177.51999999999998,400.0,379.78
4,60,8,2,1,0.25,3.402306925704946,1420.1599999999999,177.51999999999998,400.0,379.78
5,60,8,2,1,0.25,3.402306925704946,1420.1599999999999,177.51999999999998,400.0,379.78
6,60,8,2,1,0.25,3.402306925704946,1420.1599999999999,177.51999999999998,400.0,379.78
7,60,8,2,1,0.25,3.402306925704946,1420.1599999999999,177.51999999999998,400.0,379.78
8,60,8,2,1,0.25,3.402306925704946,1420.1599999999999,177.51999999999998,400.0,379.78
10,60,8,2,1,0.25,3.402306925704946,1420.1599999999999,177.51999999999998,400.0,379.78
4,90,8,2,1,0.25,3.4941648106903993,1395.38,174.4225,400.0,379.78
2,30,8,3,1,0.375,2.828275877774286,1192.0,149.0,400.0,379.78
2,60,8,2,1,0.25,2.490378619153649,1066.04,133.255,400.0,379.78
2,120,8,2,1,0.25,2.4891759465478565,1065.5,133.1875,400.0,379.78
3,90,8,2,1,0.25,2.4941648106903993,1007.0600000000001,125.88250000000001,400.0,379.78
2,90,8,2,1,0.25,1.4941648106903993,618.74,77.3425,400.0,379.78
2,15,8,3,1,0.375,0.6959193648631802,325.6,40.7,400.0,379.78
3,15,8,3,1,0.375,0.6959193648631802,325.6,40.7,400.0,379.78
4,15,8,3,1,0.375,0.6959193648631802,325.6,40.7,400.0,379.78
5,15,8,3,1,0.375,0.6959193648631802,325.6,40.7,400.0,379.78
6,15,8,3,1,0.375,0.6959193648631802,325.6,40.7,400.0,379.78
7,15,8,3,1,0.375,0.6959193648631802,325.6,40.7,400.0,379.78
8,15,8,3,1,0.375,0.6959193648631802,325.6,40.7,400.0,379.78
10,15,8,3,1,0.375,0.6959193648631802,325.6,40.7,400.0,379.78
