trail_start_r,trail_distance_r,max_hold_minutes,trades,wins,losses,win_rate,total_r,total_usd_0_20_lot,avg_usd_per_trade,max_drawdown_usd
3.0,1.0,120,8,6,2,0.75,14.17976532945055,5584.4800000000005,698.0600000000001,530.96
3.0,1.0,180,8,6,2,0.75,14.211276497202151,5573.52,696.69,629.46
3.0,1.0,240,8,6,2,0.75,14.211276497202151,5573.52,696.69,629.46
3.0,2.0,180,8,6,2,0.75,13.899552254127055,5452.14,681.5175,629.46
3.0,2.0,240,8,6,2,0.75,13.899552254127055,5452.14,681.5175,629.46
3.0,2.0,120,8,6,2,0.75,13.618132113446737,5365.12,670.64,530.96
3.0,1.5,120,8,6,2,0.75,13.248799343055953,5218.27,652.28375,530.96
3.0,1.5,180,8,6,2,0.75,13.280310510807555,5207.31,650.91375,629.46
3.0,1.5,240,8,6,2,0.75,13.280310510807555,5207.31,650.91375,629.46
3.0,3.0,180,8,6,2,0.75,12.899552254127055,5084.64,635.58,629.46
3.0,3.0,240,8,6,2,0.75,12.899552254127055,5084.64,635.58,629.46
3.0,3.0,120,8,6,2,0.75,12.618132113446737,4997.62,624.7025,530.96
3.0,0.75,120,8,6,2,0.75,12.509477807272342,4964.84,620.605,530.96
3.0,0.75,180,8,6,2,0.75,11.871695608728116,4693.98,586.7475,629.46
3.0,0.75,240,8,6,2,0.75,11.871695608728116,4693.98,586.7475,629.46
3.0,1.0,60,8,6,2,0.75,11.837622695103631,4645.72,580.715,471.59999999999997
3.0,0.5,120,8,6,2,0.75,11.635729805401342,4620.07,577.50875,530.96
2.0,1.5,120,8,6,2,0.75,11.645102187278653,4590.43,573.80375,530.96
2.0,1.5,180,8,6,2,0.75,11.676613355030254,4579.47,572.43375,629.46
2.0,1.5,240,8,6,2,0.75,11.676613355030254,4579.47,572.43375,629.46
3.0,2.0,60,8,6,2,0.75,11.575437291678654,4543.92,567.99,471.59999999999997
3.0,0.5,60,8,6,2,0.75,11.204742918891286,4423.45,552.93125,471.59999999999997
3.0,0.75,60,8,6,2,0.75,11.02441181074987,4358.9,544.8625,471.59999999999997
3.0,0.5,180,8,6,2,0.75,10.997947606857116,4349.21,543.65125,629.46
3.0,0.5,240,8,6,2,0.75,10.997947606857116,4349.21,543.65125,629.46
3.0,1.5,60,8,6,2,0.75,10.906656708709034,4279.51,534.93875,471.59999999999997
3.0,3.0,60,8,6,2,0.75,10.575437291678654,4176.42,522.0525,471.59999999999997
2.0,2.0,120,8,6,2,0.75,10.546136200884101,4162.48,520.31,530.96
2.0,2.0,180,8,6,2,0.75,10.577647368635702,4151.52,518.94,629.46
2.0,2.0,240,8,6,2,0.75,10.577647368635702,4151.52,518.94,629.46
2.0,1.0,120,8,6,2,0.75,9.616756265968261,3807.48,475.935,530.96
2.0,0.5,120,8,6,2,0.75,9.15759980338321,3673.23,459.15375,530.96
2.0,1.5,60,8,6,2,0.75,9.302959552931732,3651.67,456.45875,471.59999999999997
2.0,1.0,60,8,6,2,0.75,9.20503184340541,3618.34,452.2925,471.59999999999997
2.0,1.0,180,8,6,2,0.75,8.978974067424035,3536.62,442.0775,629.46
2.0,1.0,240,8,6,2,0.75,8.978974067424035,3536.62,442.0775,629.46
2.0,0.5,60,8,6,2,0.75,8.745875380820356,3484.09,435.51125,471.59999999999997
2.0,0.5,180,8,6,2,0.75,8.519817604838984,3402.37,425.29625,629.46
2.0,0.5,240,8,6,2,0.75,8.519817604838984,3402.37,425.29625,629.46
1.0,0.75,60,8,7,1,0.875,8.359915127584447,3363.8999999999996,420.48749999999995,379.78
2.0,3.0,120,8,4,2,0.5,8.272712076860216,3296.26,412.0325,530.96
2.0,0.75,120,8,6,2,0.75,8.157599803383233,3288.48,411.06,530.96
2.0,3.0,180,8,4,2,0.5,8.304223244611817,3285.3,410.6625,629.46
2.0,3.0,240,8,4,2,0.5,8.304223244611817,3285.3,410.6625,629.46
2.0,2.0,60,8,6,2,0.75,8.20399356653718,3223.72,402.965,471.59999999999997
1.0,0.75,120,8,7,1,0.875,8.047019804644584,3223.41,402.92625,379.78
1.0,0.75,180,8,7,1,0.875,8.047019804644584,3223.41,402.92625,379.78
1.0,0.75,240,8,7,1,0.875,8.047019804644584,3223.41,402.92625,379.78
1.5,0.75,120,8,6,2,0.75,7.953492328966095,3215.5299999999997,401.94124999999997,530.96
1.0,0.5,60,8,7,1,0.875,8.000081862617142,3206.73,400.84125,379.78
1.0,0.5,120,8,7,1,0.875,8.000081862617142,3206.73,400.84125,379.78
1.0,0.5,180,8,7,1,0.875,8.000081862617142,3206.73,400.84125,379.78
1.0,0.5,240,8,7,1,0.875,8.000081862617142,3206.73,400.84125,379.78
1.5,0.5,120,8,6,2,0.75,7.925416506746717,3202.71,400.33875,530.96
1.5,0.75,180,8,6,2,0.75,7.701702962912956,3117.0299999999997,389.62874999999997,629.46
1.5,0.75,240,8,6,2,0.75,7.701702962912956,3117.0299999999997,389.62874999999997,629.46
1.5,0.5,180,8,6,2,0.75,7.673627140693577,3104.21,388.02625,629.46
1.5,0.5,240,8,6,2,0.75,7.673627140693577,3104.21,388.02625,629.46
2.0,0.75,60,8,6,2,0.75,7.74587538082038,3099.34,387.4175,471.59999999999997
2.0,0.75,180,8,6,2,0.75,7.519817604839008,3017.62,377.2025,629.46
2.0,0.75,240,8,6,2,0.75,7.519817604839008,3017.62,377.2025,629.46
1.5,0.75,60,8,6,2,0.75,7.480025040684314,3001.64,375.205,471.59999999999997
1.0,1.5,180,8,5,1,0.625,7.593254787862042,2982.65,372.83125,379.78
1.0,1.5,240,8,5,1,0.625,7.593254787862042,2982.65,372.83125,379.78
1.5,1.5,120,8,6,2,0.75,7.289368720618044,2903.17,362.89625,530.96
1.5,1.5,180,8,6,2,0.75,7.33030823691373,2898.4900000000002,362.31125000000003,629.46
1.5,1.5,240,8,6,2,0.75,7.33030823691373,2898.4900000000002,362.31125000000003,629.46
1.5,2.0,120,8,5,2,0.625,6.970353887958935,2848.38,356.0475,530.96
1.5,2.0,180,8,5,2,0.625,7.001865055710536,2837.42,354.6775,629.46
