event,type,status,side,r,risk_usd_0_10,pnl_usd_0_10,balance_before,balance_after,drawdown_from_peak
Apr 29 FOMC Statement,FOMC,timeout,sell,-0.3864519427403064,195.6,-75.59,500.0,424.40999999999997,75.59000000000003
May 08 NFP / Jobs,NFP,loss,sell,-1.0,189.89,-189.89,424.40999999999997,234.51999999999998,265.48
May 12 CPI,CPI,no_trigger,,0.0,0.0,0.0,234.51999999999998,234.51999999999998,265.48
May 20 FOMC Minutes,FOMC,no_trigger,,0.0,0.0,0.0,234.51999999999998,234.51999999999998,265.48
May 29 PCE,PCE,no_trigger,,0.0,0.0,0.0,234.51999999999998,234.51999999999998,265.48
Jun 05 NFP / Jobs,NFP,timeout,sell,4.842346518335364,194.16,940.19,234.51999999999998,1174.71,0.0
Jun 10 CPI,CPI,timeout,buy,0.7518592417921354,220.52,165.8,1174.71,1340.51,0.0
Jun 17 FOMC Statement,FOMC,trail_exit,sell,3.6057142857142916,183.75,662.55,1340.51,2003.06,0.0
Jun 25 PCE,PCE,timeout,buy,1.4891759465478567,224.5,334.32,2003.06,2337.38,0.0
Jul 02 NFP / Jobs,NFP,trail_exit,buy,2.497033551554817,195.52,488.22,2337.38,2825.6000000000004,0.0
Jul 08 FOMC Minutes,FOMC,no_trigger,,0.0,0.0,0.0,2825.6000000000004,2825.6000000000004,0.0
Jul 14 CPI,CPI,trail_exit,buy,2.3800877282463926,196.06,466.64,2825.6000000000004,3292.2400000000002,0.0
