status,r,side,setup_range,best_r,event,event_type,trail_start_r,trail_distance_r,max_hold_minutes,usd,risk_usd
trail_exit,0.5330777096114959,sell,2.5599999999994907,1.033077709611496,Apr 29 FOMC Statement,FOMC,1.0,0.5,60,208.54,391.2
loss,-1.0,sell,1.988999999999578,0.014166096160947855,May 08 NFP / Jobs,NFP,1.0,0.5,60,-379.78,379.78
no_trigger,0.0,,1.6419999999998254,,May 12 CPI,CPI,1.0,0.5,60,0.0,
no_trigger,0.0,,1.694999999999709,,May 20 FOMC Minutes,FOMC,1.0,0.5,60,0.0,
no_trigger,0.0,,2.6489999999994325,,May 29 PCE,PCE,1.0,0.5,60,0.0,
trail_exit,0.9808405438813667,sell,2.4160000000001673,1.4808405438813432,Jun 05 NFP / Jobs,NFP,1.0,0.5,60,380.88,388.32
trail_exit,0.7992925811717967,buy,5.05199999999968,1.2992925811717966,Jun 10 CPI,CPI,1.0,0.5,60,352.52,441.04
trail_exit,1.380707482993197,sell,1.375,1.880707482993197,Jun 17 FOMC Statement,FOMC,1.0,0.5,60,507.41,367.5
trail_exit,1.0327394209353769,buy,5.450000000000273,1.5327394209353868,Jun 25 PCE,PCE,1.0,0.5,60,463.7,449.0
trail_exit,2.0695069558101196,buy,2.5520000000001346,2.569506955810108,Jul 02 NFP / Jobs,NFP,1.0,0.5,60,809.26,391.04
no_trigger,0.0,,2.1029999999996107,,Jul 08 FOMC Minutes,FOMC,1.0,0.5,60,0.0,
trail_exit,2.203917168213789,buy,2.606000000000222,2.7039171682137773,Jul 14 CPI,CPI,1.0,0.5,60,864.2,392.12
trail_exit,0.5330777096114959,sell,2.5599999999994907,1.033077709611496,Apr 29 FOMC Statement,FOMC,1.0,0.5,120,208.54,391.2
loss,-1.0,sell,1.988999999999578,0.014166096160947855,May 08 NFP / Jobs,NFP,1.0,0.5,120,-379.78,379.78
no_trigger,0.0,,1.6419999999998254,,May 12 CPI,CPI,1.0,0.5,120,0.0,
no_trigger,0.0,,1.694999999999709,,May 20 FOMC Minutes,FOMC,1.0,0.5,120,0.0,
no_trigger,0.0,,2.6489999999994325,,May 29 PCE,PCE,1.0,0.5,120,0.0,
trail_exit,0.9808405438813667,sell,2.4160000000001673,1.4808405438813432,Jun 05 NFP / Jobs,NFP,1.0,0.5,120,380.88,388.32
trail_exit,0.7992925811717967,buy,5.05199999999968,1.2992925811717966,Jun 10 CPI,CPI,1.0,0.5,120,352.52,441.04
trail_exit,1.380707482993197,sell,1.375,1.880707482993197,Jun 17 FOMC Statement,FOMC,1.0,0.5,120,507.41,367.5
