status,r,side,setup_range,event,event_type,usd,risk_usd,tp_r,max_hold_minutes
timeout,0.5231083844580898,sell,2.5599999999994907,Apr 29 FOMC Statement,FOMC,204.64,391.2,2,15
loss,-1.0,sell,1.988999999999578,May 08 NFP / Jobs,NFP,-379.78,379.78,2,15
no_trigger,0.0,,1.6419999999998254,May 12 CPI,CPI,0.0,,2,15
no_trigger,0.0,,1.694999999999709,May 20 FOMC Minutes,FOMC,0.0,,2,15
no_trigger,0.0,,2.6489999999994325,May 29 PCE,PCE,0.0,,2,15
timeout,0.4260403790688022,sell,2.4160000000001673,Jun 05 NFP / Jobs,NFP,165.44,388.32,2,15
be,0.0,buy,5.05199999999968,Jun 10 CPI,CPI,0.0,441.04,2,15
be,0.0,sell,1.375,Jun 17 FOMC Statement,FOMC,0.0,367.5,2,15
timeout,0.7467706013362881,buy,5.450000000000273,Jun 25 PCE,PCE,335.3,449.0,2,15
be,0.0,buy,2.5520000000001346,Jul 02 NFP / Jobs,NFP,0.0,391.04,2,15
no_trigger,0.0,,2.1029999999996107,Jul 08 FOMC Minutes,FOMC,0.0,,2,15
be,0.0,buy,2.606000000000222,Jul 14 CPI,CPI,0.0,392.12,2,15
timeout,0.44560327198366956,sell,2.5599999999994907,Apr 29 FOMC Statement,FOMC,174.32,391.2,2,30
loss,-1.0,sell,1.988999999999578,May 08 NFP / Jobs,NFP,-379.78,379.78,2,30
no_trigger,0.0,,1.6419999999998254,May 12 CPI,CPI,0.0,,2,30
no_trigger,0.0,,1.694999999999709,May 20 FOMC Minutes,FOMC,0.0,,2,30
no_trigger,0.0,,2.6489999999994325,May 29 PCE,PCE,0.0,,2,30
win,2.0,sell,2.4160000000001673,Jun 05 NFP / Jobs,NFP,776.64,388.32,2,30
be,0.0,buy,5.05199999999968,Jun 10 CPI,CPI,0.0,441.04,2,30
be,0.0,sell,1.375,Jun 17 FOMC Statement,FOMC,0.0,367.5,2,30
timeout,1.3826726057906162,buy,5.450000000000273,Jun 25 PCE,PCE,620.82,449.0,2,30
be,0.0,buy,2.5520000000001346,Jul 02 NFP / Jobs,NFP,0.0,391.04,2,30
no_trigger,0.0,,2.1029999999996107,Jul 08 FOMC Minutes,FOMC,0.0,,2,30
be,0.0,buy,2.606000000000222,Jul 14 CPI,CPI,0.0,392.12,2,30
be,0.0,sell,2.5599999999994907,Apr 29 FOMC Statement,FOMC,0.0,391.2,2,60
loss,-1.0,sell,1.988999999999578,May 08 NFP / Jobs,NFP,-379.78,379.78,2,60
no_trigger,0.0,,1.6419999999998254,May 12 CPI,CPI,0.0,,2,60
no_trigger,0.0,,1.694999999999709,May 20 FOMC Minutes,FOMC,0.0,,2,60
no_trigger,0.0,,2.6489999999994325,May 29 PCE,PCE,0.0,,2,60
win,2.0,sell,2.4160000000001673,Jun 05 NFP / Jobs,NFP,776.64,388.32,2,60
be,0.0,buy,5.05199999999968,Jun 10 CPI,CPI,0.0,441.04,2,60
be,0.0,sell,1.375,Jun 17 FOMC Statement,FOMC,0.0,367.5,2,60
timeout,1.4903786191536492,buy,5.450000000000273,Jun 25 PCE,PCE,669.18,449.0,2,60
be,0.0,buy,2.5520000000001346,Jul 02 NFP / Jobs,NFP,0.0,391.04,2,60
no_trigger,0.0,,2.1029999999996107,Jul 08 FOMC Minutes,FOMC,0.0,,2,60
be,0.0,buy,2.606000000000222,Jul 14 CPI,CPI,0.0,392.12,2,60
be,0.0,sell,2.5599999999994907,Apr 29 FOMC Statement,FOMC,0.0,391.2,2,90
