trail_start_r,trail_distance_r,max_hold_minutes,trades,wins,losses,breakevens,win_rate,total_r,final_balance,net_usd,return_pct,max_drawdown_usd,min_balance,below_zero
2.0,1.5,360,26,9,9,8,0.34615384615384615,16.820768766255224,3868.4300000000003,3368.4300000000003,673.6860000000001,1012.0399999999995,500.0,False
2.0,1.5,720,26,9,9,8,0.34615384615384615,16.820768766255224,3868.4300000000003,3368.4300000000003,673.6860000000001,1012.0399999999995,500.0,False
2.0,2.0,360,26,9,9,8,0.34615384615384615,15.320768766255245,3562.59,3062.59,612.518,1122.0899999999997,500.0,False
2.0,2.0,720,26,9,9,8,0.34615384615384615,15.320768766255245,3562.59,3062.59,612.518,1122.0899999999997,500.0,False
2.0,1.5,240,26,10,8,8,0.38461538461538464,14.431111500432987,3372.41,2872.41,574.482,1012.04,500.0,False
2.0,3.0,360,26,6,9,8,0.23076923076923078,13.47696754091382,3187.6899999999996,2687.6899999999996,537.5379999999999,1247.63,500.0,False
2.0,3.0,720,26,6,9,8,0.23076923076923078,13.47696754091382,3187.6899999999996,2687.6899999999996,537.5379999999999,1247.63,500.0,False
2.0,4.0,360,26,6,9,8,0.23076923076923078,13.47696754091382,3187.6899999999996,2687.6899999999996,537.5379999999999,1247.63,500.0,False
2.0,4.0,720,26,6,9,8,0.23076923076923078,13.47696754091382,3187.6899999999996,2687.6899999999996,537.5379999999999,1247.63,500.0,False
3.0,1.5,360,26,6,9,11,0.23076923076923078,13.47696754091382,3187.6899999999996,2687.6899999999996,537.5379999999999,1247.63,500.0,False
3.0,1.5,720,26,6,9,11,0.23076923076923078,13.47696754091382,3187.6899999999996,2687.6899999999996,537.5379999999999,1247.63,500.0,False
3.0,2.0,360,26,6,9,11,0.23076923076923078,13.47696754091382,3187.6899999999996,2687.6899999999996,537.5379999999999,1247.63,500.0,False
3.0,2.0,720,26,6,9,11,0.23076923076923078,13.47696754091382,3187.6899999999996,2687.6899999999996,537.5379999999999,1247.63,500.0,False
3.0,3.0,360,26,6,9,11,0.23076923076923078,13.47696754091382,3187.6899999999996,2687.6899999999996,537.5379999999999,1247.63,500.0,False
3.0,3.0,720,26,6,9,11,0.23076923076923078,13.47696754091382,3187.6899999999996,2687.6899999999996,537.5379999999999,1247.63,500.0,False
3.0,4.0,360,26,6,9,11,0.23076923076923078,13.47696754091382,3187.6899999999996,2687.6899999999996,537.5379999999999,1247.63,500.0,False
3.0,4.0,720,26,6,9,11,0.23076923076923078,13.47696754091382,3187.6899999999996,2687.6899999999996,537.5379999999999,1247.63,500.0,False
4.0,1.5,360,26,6,9,11,0.23076923076923078,13.47696754091382,3187.6899999999996,2687.6899999999996,537.5379999999999,1247.63,500.0,False
4.0,1.5,720,26,6,9,11,0.23076923076923078,13.47696754091382,3187.6899999999996,2687.6899999999996,537.5379999999999,1247.63,500.0,False
4.0,2.0,360,26,6,9,11,0.23076923076923078,13.47696754091382,3187.6899999999996,2687.6899999999996,537.5379999999999,1247.63,500.0,False
4.0,2.0,720,26,6,9,11,0.23076923076923078,13.47696754091382,3187.6899999999996,2687.6899999999996,537.5379999999999,1247.63,500.0,False
4.0,3.0,360,26,6,9,11,0.23076923076923078,13.47696754091382,3187.6899999999996,2687.6899999999996,537.5379999999999,1247.63,500.0,False
4.0,3.0,720,26,6,9,11,0.23076923076923078,13.47696754091382,3187.6899999999996,2687.6899999999996,537.5379999999999,1247.63,500.0,False
4.0,4.0,360,26,6,9,11,0.23076923076923078,13.47696754091382,3187.6899999999996,2687.6899999999996,537.5379999999999,1247.63,500.0,False
4.0,4.0,720,26,6,9,11,0.23076923076923078,13.47696754091382,3187.6899999999996,2687.6899999999996,537.5379999999999,1247.63,500.0,False
5.0,1.5,360,26,6,9,11,0.23076923076923078,13.47696754091382,3187.6899999999996,2687.6899999999996,537.5379999999999,1247.63,500.0,False
5.0,1.5,720,26,6,9,11,0.23076923076923078,13.47696754091382,3187.6899999999996,2687.6899999999996,537.5379999999999,1247.63,500.0,False
5.0,2.0,360,26,6,9,11,0.23076923076923078,13.47696754091382,3187.6899999999996,2687.6899999999996,537.5379999999999,1247.63,500.0,False
5.0,2.0,720,26,6,9,11,0.23076923076923078,13.47696754091382,3187.6899999999996,2687.6899999999996,537.5379999999999,1247.63,500.0,False
5.0,3.0,360,26,6,9,11,0.23076923076923078,13.47696754091382,3187.6899999999996,2687.6899999999996,537.5379999999999,1247.63,500.0,False
