status,r,side,setup_range,event,event_type
timeout,0.44560327198366956,sell,2.5599999999994907,Apr 29 FOMC Statement,FOMC
loss,-1.0,sell,1.988999999999578,May 08 NFP / Jobs,NFP
no_trigger,0.0,,1.6419999999998254,May 12 CPI,CPI
no_trigger,0.0,,1.694999999999709,May 20 FOMC Minutes,FOMC
no_trigger,0.0,,2.6489999999994325,May 29 PCE,PCE
timeout,2.5877111660486176,sell,2.4160000000001673,Jun 05 NFP / Jobs,NFP
be,0.0,buy,5.05199999999968,Jun 10 CPI,CPI
be,0.0,sell,1.375,Jun 17 FOMC Statement,FOMC
timeout,1.3826726057906162,buy,5.450000000000273,Jun 25 PCE,PCE
be,0.0,buy,2.5520000000001346,Jul 02 NFP / Jobs,NFP
no_trigger,0.0,,2.1029999999996107,Jul 08 FOMC Minutes,FOMC
be,0.0,buy,2.606000000000222,Jul 14 CPI,CPI
