symbol,event_filter,setup_candle_minutes_before,buffer_points,sl_extra_points,tp_r,be_at_r,trigger_window_minutes,max_hold_minutes,max_setup_range_points,entry_slippage_points,exit_slippage_points,same_bar_policy,events,trades,wins,losses,breakevens,win_rate,total_r,avg_r,profit_factor,max_drawdown_r,skipped,objective
XAUUSDm,tier1_pce,1,5.0,10.0,3.0,1.0,1,30,12.0,1.0,1.0,skip,12,8,3,1,4,0.375,3.4159870438229034,0.4269983804778629,4.415987043822904,1.0,4,4.565987043822903
XAUUSDm,tier1_pce,1,5.0,10.0,3.0,1.0,1,30,20.0,1.0,1.0,skip,12,8,3,1,4,0.375,3.4159870438229034,0.4269983804778629,4.415987043822904,1.0,4,4.565987043822903
XAUUSDm,tier1_pce,1,5.0,10.0,3.0,1.0,1,30,999.0,1.0,1.0,skip,12,8,3,1,4,0.375,3.4159870438229034,0.4269983804778629,4.415987043822904,1.0,4,4.565987043822903
XAUUSDm,tier1_pce,1,5.0,10.0,4.0,1.0,1,30,12.0,1.0,1.0,skip,12,8,3,1,4,0.375,3.4159870438229034,0.4269983804778629,4.415987043822904,1.0,4,4.565987043822903
XAUUSDm,tier1_pce,1,5.0,10.0,4.0,1.0,1,30,20.0,1.0,1.0,skip,12,8,3,1,4,0.375,3.4159870438229034,0.4269983804778629,4.415987043822904,1.0,4,4.565987043822903
XAUUSDm,tier1_pce,1,5.0,10.0,4.0,1.0,1,30,999.0,1.0,1.0,skip,12,8,3,1,4,0.375,3.4159870438229034,0.4269983804778629,4.415987043822904,1.0,4,4.565987043822903
XAUUSDm,tier1_pce,1,5.0,10.0,3.0,1.0,1,60,12.0,1.0,1.0,skip,12,8,2,1,5,0.25,3.402306925704946,0.42528836571311823,4.402306925704946,1.0,4,4.552306925704945
XAUUSDm,tier1_pce,1,5.0,10.0,3.0,1.0,1,60,20.0,1.0,1.0,skip,12,8,2,1,5,0.25,3.402306925704946,0.42528836571311823,4.402306925704946,1.0,4,4.552306925704945
XAUUSDm,tier1_pce,1,5.0,10.0,3.0,1.0,1,60,999.0,1.0,1.0,skip,12,8,2,1,5,0.25,3.402306925704946,0.42528836571311823,4.402306925704946,1.0,4,4.552306925704945
XAUUSDm,tier1_pce,1,5.0,10.0,4.0,1.0,1,60,12.0,1.0,1.0,skip,12,8,2,1,5,0.25,3.402306925704946,0.42528836571311823,4.402306925704946,1.0,4,4.552306925704945
XAUUSDm,tier1_pce,1,5.0,10.0,4.0,1.0,1,60,20.0,1.0,1.0,skip,12,8,2,1,5,0.25,3.402306925704946,0.42528836571311823,4.402306925704946,1.0,4,4.552306925704945
XAUUSDm,tier1_pce,1,5.0,10.0,4.0,1.0,1,60,999.0,1.0,1.0,skip,12,8,2,1,5,0.25,3.402306925704946,0.42528836571311823,4.402306925704946,1.0,4,4.552306925704945
XAUUSDm,tier1_pce,1,5.0,10.0,3.0,1.0,2,60,12.0,1.0,1.0,skip,12,10,3,2,5,0.3,3.315671318732255,0.3315671318732255,2.6578356593661274,2.0,2,4.4156713187322545
XAUUSDm,tier1_pce,1,5.0,10.0,3.0,1.0,2,60,20.0,1.0,1.0,skip,12,10,3,2,5,0.3,3.315671318732255,0.3315671318732255,2.6578356593661274,2.0,2,4.4156713187322545
XAUUSDm,tier1_pce,1,5.0,10.0,3.0,1.0,2,60,999.0,1.0,1.0,skip,12,10,3,2,5,0.3,3.315671318732255,0.3315671318732255,2.6578356593661274,2.0,2,4.4156713187322545
XAUUSDm,tier1_pce,1,5.0,10.0,3.0,1.0,3,60,12.0,1.0,1.0,skip,12,10,3,2,5,0.3,3.315671318732255,0.3315671318732255,2.6578356593661274,2.0,2,4.4156713187322545
XAUUSDm,tier1_pce,1,5.0,10.0,3.0,1.0,3,60,20.0,1.0,1.0,skip,12,10,3,2,5,0.3,3.315671318732255,0.3315671318732255,2.6578356593661274,2.0,2,4.4156713187322545
XAUUSDm,tier1_pce,1,5.0,10.0,3.0,1.0,3,60,999.0,1.0,1.0,skip,12,10,3,2,5,0.3,3.315671318732255,0.3315671318732255,2.6578356593661274,2.0,2,4.4156713187322545
XAUUSDm,tier1_pce,1,5.0,10.0,4.0,1.0,2,60,12.0,1.0,1.0,skip,12,10,3,2,5,0.3,3.315671318732255,0.3315671318732255,2.6578356593661274,2.0,2,4.4156713187322545
XAUUSDm,tier1_pce,1,5.0,10.0,4.0,1.0,2,60,20.0,1.0,1.0,skip,12,10,3,2,5,0.3,3.315671318732255,0.3315671318732255,2.6578356593661274,2.0,2,4.4156713187322545
XAUUSDm,tier1_pce,1,5.0,10.0,4.0,1.0,2,60,999.0,1.0,1.0,skip,12,10,3,2,5,0.3,3.315671318732255,0.3315671318732255,2.6578356593661274,2.0,2,4.4156713187322545
XAUUSDm,tier1_pce,1,5.0,10.0,4.0,1.0,3,60,12.0,1.0,1.0,skip,12,10,3,2,5,0.3,3.315671318732255,0.3315671318732255,2.6578356593661274,2.0,2,4.4156713187322545
XAUUSDm,tier1_pce,1,5.0,10.0,4.0,1.0,3,60,20.0,1.0,1.0,skip,12,10,3,2,5,0.3,3.315671318732255,0.3315671318732255,2.6578356593661274,2.0,2,4.4156713187322545
XAUUSDm,tier1_pce,1,5.0,10.0,4.0,1.0,3,60,999.0,1.0,1.0,skip,12,10,3,2,5,0.3,3.315671318732255,0.3315671318732255,2.6578356593661274,2.0,2,4.4156713187322545
