group;day;start_balance;end_balance;minimum_equity;daily_loss
0;2026.07.19;10000.0;10000.0;10000.0;0.0
1;2026.07.19;10000.0;10000.0;10000.0;0.0
2;2026.07.19;10000.0;10000.0;10000.0;0.0
0;2026.07.20;10000.0;9887.92;9887.92;112.07999999999993
1;2026.07.20;10000.0;10055.14;9980.59;19.409999999999854
2;2026.07.20;10000.0;10014.99;9980.59;19.409999999999854
0;2026.07.21;9887.92;9887.92;9887.92;0.0
1;2026.07.21;10055.14;10055.14;10055.14;0.0
2;2026.07.21;10014.99;10014.99;10014.99;0.0
0;2026.07.22;9887.92;9887.92;9887.92;0.0
1;2026.07.22;10055.14;10055.14;10055.14;0.0
2;2026.07.22;10014.99;10014.99;10014.99;0.0
0;2026.07.23;9887.92;9885.11;9833.579999999998;54.340000000001965
1;2026.07.23;10055.14;10089.07;10044.56;10.579999999999927
2;2026.07.23;10014.99;10074.64;10004.41;10.579999999999927
0;2026.07.24;9885.11;9885.11;9885.11;0.0
1;2026.07.24;10089.07;10089.07;10089.07;0.0
2;2026.07.24;10074.64;10074.64;10074.64;0.0
0;2026.07.27;9885.11;9885.11;9885.11;0.0
1;2026.07.27;10089.07;10089.07;10089.07;0.0
2;2026.07.27;10074.64;10074.64;10074.64;0.0
0;2026.07.28;9885.11;9985.91;9834.03;51.07999999999993
1;2026.07.28;10089.07;10142.0;10034.58;54.48999999999978
2;2026.07.28;10074.64;10150.49;10023.56;51.07999999999993
0;2026.07.29;9985.91;9983.09;9982.05;3.860000000000582
1;2026.07.29;10142.0;10252.599999999999;10138.14;3.860000000000582
2;2026.07.29;10150.49;10312.31;10146.63;3.860000000000582
0;2026.07.30;9983.09;9983.140000000001;9929.650000000001;53.43999999999869
1;2026.07.30;10252.599999999999;10252.65;10199.16;53.43999999999869
2;2026.07.30;10312.31;10312.36;10258.87;53.43999999999869
0;2026.07.31;9983.140000000001;9983.140000000001;9983.140000000001;0.0
1;2026.07.31;10252.65;10252.65;10252.65;0.0
2;2026.07.31;10312.36;10312.36;10312.36;0.0
0;2026.08.03;9983.140000000001;9983.140000000001;9983.140000000001;0.0
1;2026.08.03;10252.65;10252.65;10252.65;0.0
2;2026.08.03;10312.36;10312.36;10312.36;0.0
0;2026.08.04;9983.140000000001;9983.140000000001;9983.140000000001;0.0
1;2026.08.04;10252.65;10252.65;10252.65;0.0
2;2026.08.04;10312.36;10312.36;10312.36;0.0
0;2026.08.05;9983.140000000001;10648.280000000002;9966.870000000003;16.269999999998618
1;2026.08.05;10252.65;10422.400000000001;10234.06;18.590000000000146
2;2026.08.05;10312.36;10566.400000000001;10293.77;18.590000000000146
0;2026.08.06;10648.280000000002;10648.280000000002;10648.280000000002;0.0
1;2026.08.06;10422.400000000001;10422.400000000001;10422.400000000001;0.0
2;2026.08.06;10566.400000000001;10566.400000000001;10566.400000000001;0.0
0;2026.08.07;10648.280000000002;10642.790000000003;10505.010000000002;143.27000000000044
1;2026.08.07;10422.400000000001;10467.590000000002;10294.200000000003;128.1999999999989
2;2026.08.07;10566.400000000001;10578.880000000001;10423.130000000001;143.27000000000044
0;2026.08.10;10642.790000000003;11038.540000000005;10513.680000000004;129.10999999999876
1;2026.08.10;10467.590000000002;10393.160000000005;10366.920000000006;100.66999999999643
2;2026.08.10;10578.880000000001;10559.680000000002;10477.280000000004;101.59999999999673
0;2026.08.11;11038.540000000005;11038.540000000005;11038.540000000005;0.0
1;2026.08.11;10393.160000000005;10393.160000000005;10393.160000000005;0.0
2;2026.08.11;10559.680000000002;10559.680000000002;10559.680000000002;0.0
0;2026.08.12;11038.540000000005;10914.110000000004;10914.110000000004;124.43000000000029
1;2026.08.12;10393.160000000005;10454.800000000005;10353.600000000006;39.55999999999949
2;2026.08.12;10559.680000000002;10435.240000000002;10435.240000000002;124.44000000000051
0;2026.08.13;10914.110000000004;10914.110000000004;10914.110000000004;0.0
1;2026.08.13;10454.800000000005;10454.800000000005;10454.800000000005;0.0
2;2026.08.13;10435.240000000002;10435.240000000002;10435.240000000002;0.0
0;2026.08.14;10914.110000000004;10948.070000000005;10870.540000000005;43.56999999999971
1;2026.08.14;10454.800000000005;10565.260000000004;10399.620000000004;55.18000000000029
2;2026.08.14;10435.240000000002;10535.030000000002;10391.240000000002;44.0
0;2026.08.17;10948.070000000005;10948.070000000005;10948.070000000005;0.0
1;2026.08.17;10565.260000000004;10565.260000000004;10565.260000000004;0.0
2;2026.08.17;10535.030000000002;10535.030000000002;10535.030000000002;0.0
0;2026.08.18;10948.070000000005;10948.070000000005;10948.070000000005;0.0
1;2026.08.18;10565.260000000004;10565.260000000004;10565.260000000004;0.0
2;2026.08.18;10535.030000000002;10535.030000000002;10535.030000000002;0.0
0;2026.08.19;10948.070000000005;10948.070000000005;10948.070000000005;0.0
1;2026.08.19;10565.260000000004;10565.260000000004;10565.260000000004;0.0
2;2026.08.19;10535.030000000002;10535.030000000002;10535.030000000002;0.0
0;2026.08.20;10948.070000000005;10948.070000000005;10948.070000000005;0.0
