starting_balance,ending_balance,net_profit,return_pct,trades,wins,losses,win_rate,net_r,avg_spread_r,max_drawdown_pct,bot
300.0,928.98,628.98,209.66,88,67,21,76.14,24.64,0.1404,23.81,MeanReversion
300.0,220.51,-79.49,-26.5,31,13,18,41.94,-5.31,0.0128,30.19,DCA
300.0,209.02,-90.98,-30.33,166,98,68,59.04,-3.16,0.1389,43.41,Grid
300.0,10.42,-289.58,-96.53,230,98,132,42.61,-60.65,0.1017,97.45,NewsPulse
300.0,0.0,-300.0,-100.0,488,129,359,26.43,-239.78,0.0395,100.0,Trend
