bot,symbol,timeframe,month,opened_at,closed_at,direction,entry,stop_loss,take_profit,exit_price,result,r_multiple,setup_score,spread_r,spread_points,atr,reason,balance_before,risk_amount,pnl,balance_after
Trend,BTCUSD,H1,2025-06,2025-06-25 13:00:00,2025-06-25 15:00:00,BUY,107962.47,107201.595,110245.095,107201.595,loss,-1.0284,88,0.0284,2160.0,507.25,EMA trend aligned with ADX breakout.,300.0,15.0,-15.43,284.57
Trend,GBPJPY,H1,2025-06,2025-06-25 13:00:00,2025-06-26 00:00:00,BUY,198.495,198.090536,199.708393,198.090536,loss,-1.0544,86,0.0544,22.0,0.269643,EMA trend aligned with ADX breakout.,284.57,14.23,-15.0,269.57
Trend,US30,H1,2025-06,2025-06-26 13:00:00,2025-06-26 14:00:00,BUY,43179.5,43106.289286,43399.132143,43179.5,trail_stop,0.4645,87,0.0355,26.0,48.807143,EMA trend aligned with ADX breakout.,269.57,13.48,6.26,275.83
Trend,XAUUSD,H1,2025-06,2025-06-26 13:00:00,2025-06-26 17:00:00,SELL,3319.925,3334.65275,3275.74175,3334.65275,loss,-1.1086,80,0.1086,160.0,9.8185,EMA trend aligned with ADX breakdown.,275.83,13.79,-15.29,260.54
Trend,US30,H1,2025-06,2025-06-26 14:00:00,2025-06-26 14:00:00,BUY,43307.9,43219.785714,43572.242857,43219.785714,loss,-1.0284,88,0.0284,25.0,58.742857,EMA trend aligned with ADX breakout.,260.54,13.03,-13.4,247.15
Trend,US30,H1,2025-06,2025-06-26 16:00:00,2025-06-27 13:00:00,BUY,43366.5,43266.546429,43666.360714,43666.360714,win,1.975,88,0.025,25.0,66.635714,EMA trend aligned with ADX breakout.,247.15,12.36,24.41,271.55
Grid,GBPUSD,M15,2025-06,2025-06-27 01:45:00,2025-06-27 03:00:00,SELL,1.37371,1.374616,1.372441,1.374616,loss,-1.1103,77,0.1103,10.0,0.000671,Range grid sell at upper Bollinger band.,271.55,13.58,-15.08,256.48
MeanReversion,GBPUSD,M15,2025-06,2025-06-27 02:00:00,2025-06-27 04:45:00,SELL,1.37415,1.37497,1.372511,1.372511,win,1.378,78,0.122,10.0,0.000656,Overbought RSI plus upper Bollinger extension.,256.48,12.82,17.67,274.15
Trend,XAUUSD,H1,2025-06,2025-06-27 12:00:00,2025-06-29 23:00:00,SELL,3270.1,3285.96475,3222.50575,3270.1,trail_stop,0.3991,81,0.1009,160.0,10.5765,EMA trend aligned with ADX breakdown.,274.15,13.71,5.47,279.62
Trend,US30,H1,2025-06,2025-06-27 13:00:00,2025-06-27 13:00:00,BUY,43673.0,43602.360714,43884.917857,43602.360714,loss,-1.0354,87,0.0354,25.0,47.092857,EMA trend aligned with ADX breakout.,279.62,13.98,-14.48,265.14
Trend,US30,H1,2025-06,2025-06-27 14:00:00,2025-06-27 14:00:00,BUY,43777.5,43695.664286,44023.007143,43695.664286,loss,-1.0305,88,0.0305,25.0,54.557143,EMA trend aligned with ADX breakout.,265.14,13.26,-13.66,251.48
