starting_balance,ending_balance,net_profit,return_pct,trades,wins,losses,win_rate,net_r,avg_spread_r,max_drawdown_pct,month,bot
300.0,268.65,-31.35,-10.45,4,1,3,25.0,-2.07,0.1178,15.81,2025-06,Grid
300.0,342.33,42.33,14.11,2,2,0,100.0,2.73,0.1356,0.0,2025-06,MeanReversion
300.0,236.31,-63.69,-21.23,10,3,7,30.0,-4.47,0.0474,21.23,2025-06,Trend
300.0,269.96,-30.04,-10.01,2,0,2,0.0,-2.06,0.0278,10.01,2025-07,DCA
300.0,285.81,-14.19,-4.73,20,11,9,55.0,-0.41,0.1406,18.53,2025-07,Grid
300.0,350.49,50.49,16.83,16,11,5,68.75,3.59,0.1506,16.96,2025-07,MeanReversion
300.0,105.88,-194.12,-64.71,42,13,29,30.95,-19.69,0.064,66.34,2025-07,Trend
300.0,324.32,24.32,8.11,6,4,2,66.67,1.71,0.0144,7.61,2025-08,DCA
300.0,276.22,-23.78,-7.93,6,3,3,50.0,-1.5,0.1504,11.32,2025-08,Grid
300.0,292.41,-7.59,-2.53,3,2,1,66.67,-0.47,0.1578,5.7,2025-08,MeanReversion
300.0,63.66,-236.34,-78.78,43,8,35,18.6,-29.77,0.0528,79.53,2025-08,Trend
300.0,312.16,12.16,4.05,3,2,1,66.67,0.87,0.0088,5.04,2025-09,DCA
300.0,334.47,34.47,11.49,15,10,5,66.67,2.56,0.1495,9.91,2025-09,Grid
300.0,349.39,49.39,16.46,5,4,1,80.0,3.22,0.1564,5.87,2025-09,MeanReversion
300.0,151.35,-148.65,-49.55,37,11,26,29.73,-12.34,0.0496,56.93,2025-09,Trend
300.0,263.12,-36.88,-12.29,4,1,3,25.0,-2.54,0.0098,14.37,2025-10,DCA
300.0,282.68,-17.32,-5.77,14,9,5,64.29,-0.93,0.1451,18.67,2025-10,Grid
300.0,323.65,23.65,7.88,9,7,2,77.78,1.69,0.1459,11.19,2025-10,MeanReversion
300.0,134.01,-165.99,-55.33,39,13,26,33.33,-15.06,0.0272,56.38,2025-10,Trend
300.0,342.89,42.89,14.3,2,2,0,100.0,2.76,0.0181,0.0,2025-11,DCA
300.0,244.01,-55.99,-18.66,14,7,7,50.0,-3.8,0.1502,18.66,2025-11,Grid
300.0,314.4,14.4,4.8,9,6,3,66.67,1.17,0.1473,9.44,2025-11,MeanReversion
300.0,80.33,-219.67,-73.22,44,10,34,22.73,-25.14,0.0258,73.49,2025-11,Trend
300.0,296.75,-3.25,-1.08,8,5,3,62.5,-0.03,0.1663,11.36,2025-12,Grid
300.0,310.13,10.13,3.38,2,2,0,100.0,0.67,0.1652,0.0,2025-12,MeanReversion
300.0,66.57,-233.43,-77.81,44,8,36,18.18,-28.8,0.0408,77.81,2025-12,Trend
300.0,270.53,-29.47,-9.82,2,0,2,0.0,-2.02,0.0077,9.82,2026-01,DCA
300.0,314.0,14.0,4.67,9,7,2,77.78,1.02,0.1307,5.68,2026-01,Grid
300.0,394.02,94.02,31.34,10,9,1,90.0,5.67,0.1325,5.51,2026-01,MeanReversion
300.0,94.81,-205.19,-68.4,53,14,39,26.42,-21.16,0.0314,70.32,2026-01,Trend
300.0,333.31,33.31,11.1,2,2,0,100.0,2.17,0.0082,0.0,2026-02,DCA
300.0,365.29,65.29,21.76,7,6,1,85.71,4.1,0.129,5.56,2026-02,Grid
300.0,300.9,0.9,0.3,6,4,2,66.67,0.18,0.1364,11.09,2026-02,MeanReversion
300.0,154.61,-145.39,-48.46,29,9,20,31.03,-12.42,0.0316,55.03,2026-02,Trend
300.0,249.33,-50.67,-16.89,5,1,4,20.0,-3.59,0.0175,16.89,2026-03,DCA
300.0,253.2,-46.8,-15.6,22,11,11,50.0,-2.79,0.113,26.87,2026-03,Grid
300.0,376.85,76.85,25.62,15,13,2,86.67,4.76,0.1161,5.65,2026-03,MeanReversion
300.0,95.03,-204.97,-68.32,42,10,32,23.81,-21.7,0.0287,69.75,2026-03,Trend
300.0,361.18,61.18,20.39,9,7,2,77.78,3.94,0.1285,9.26,2026-04,Grid
300.0,283.72,-16.28,-5.43,7,4,3,57.14,-0.97,0.138,9.33,2026-04,MeanReversion
300.0,184.34,-115.66,-38.55,62,29,33,46.77,-7.86,0.0994,45.68,2026-04,NewsPulse
300.0,122.51,-177.49,-59.16,43,15,28,34.88,-16.77,0.0413,64.49,2026-04,Trend
300.0,260.98,-39.02,-13.01,5,1,4,20.0,-2.64,0.0071,13.01,2026-05,DCA
300.0,235.0,-65.0,-21.67,26,14,12,53.85,-4.27,0.1488,34.47,2026-05,Grid
300.0,335.6,35.6,11.87,4,3,1,75.0,2.4,0.1498,5.69,2026-05,MeanReversion
300.0,87.42,-212.58,-70.86,78,32,46,41.03,-22.37,0.1021,75.66,2026-05,NewsPulse
300.0,120.71,-179.29,-59.76,29,6,23,20.69,-17.31,0.0452,60.67,2026-05,Trend
300.0,310.33,10.33,3.44,12,7,5,58.33,1.03,0.1309,24.15,2026-06,Grid
300.0,58.21,-241.79,-80.6,90,37,53,41.11,-30.43,0.103,84.33,2026-06,NewsPulse
300.0,133.67,-166.33,-55.44,33,9,24,27.27,-15.15,0.0349,59.96,2026-06,Trend
