date,close
2023-08-01,29684.68
2023-08-02,29171.38
2023-08-03,29169.51
2023-08-04,29087.9
2023-08-05,29046.4
2023-08-06,29058.24
2023-08-07,29191.67
2023-08-08,29749.1
2023-08-09,29553.21
2023-08-10,29405.4
2023-08-11,29384.09
2023-08-12,29395.44
2023-08-13,29272.62
2023-08-14,29397.42
2023-08-15,29180.42
2023-08-16,28689.23
2023-08-17,26634.74
2023-08-18,26052.81
2023-08-19,26091.63
2023-08-20,26193.93
2023-08-21,26114.26
2023-08-22,26056.38
2023-08-23,26436.97
2023-08-24,26171.08
2023-08-25,26032.41
2023-08-26,25991.59
2023-08-27,26070.57
2023-08-28,26091.8
2023-08-29,27717.45
2023-08-30,27318.1
2023-08-31,25940.05
2023-09-01,25793.26
2023-09-02,25861.72
2023-09-03,25966.82
2023-09-04,25814.35
2023-09-05,25778.68
2023-09-06,25741.64
2023-09-07,26273.29
2023-09-08,25901.98
2023-09-09,25895.99
2023-09-10,25836.94
2023-09-11,25146.26
2023-09-12,25832.22
2023-09-13,26224.83
2023-09-14,26516.17
2023-09-15,26609.11
2023-09-16,26559.81
2023-09-17,26522.25
2023-09-18,26768.57
2023-09-19,27224.82
2023-09-20,27122.82
2023-09-21,26577.18
2023-09-22,26578.61
2023-09-23,26578.26
2023-09-24,26262.32
2023-09-25,26302.63
2023-09-26,26223.79
2023-09-27,26376.23
2023-09-28,27027.77
2023-09-29,26900.02
2023-09-30,26953.31
2023-10-01,27989.96
2023-10-02,27496.45
2023-10-03,27418.57
2023-10-04,27784.41
2023-10-05,27401.57
2023-10-06,27917.29
2023-10-07,27944.2
2023-10-08,27906.61
2023-10-09,27579.56
2023-10-10,27386.9
2023-10-11,26853.94
2023-10-12,26754.71
2023-10-13,26844.69
2023-10-14,26839.36
2023-10-15,27135.2
2023-10-16,28492.81
2023-10-17,28377.24
2023-10-18,28305.99
2023-10-19,28718.5
2023-10-20,29664.38
2023-10-21,29889.31
2023-10-22,29991.3
2023-10-23,33046.68
2023-10-24,33917.53
2023-10-25,34469.21
2023-10-26,34148.1
2023-10-27,33894.25
2023-10-28,34072.19
2023-10-29,34516.2
2023-10-30,34463.45
2023-10-31,34625.95
2023-11-01,35410.52
2023-11-02,34915.86
2023-11-03,34721.97
2023-11-04,35068.34
2023-11-05,35021.52
2023-11-06,35031.17
2023-11-07,35394.08
2023-11-08,35597.56
2023-11-09,36667.49
2023-11-10,37266.72
2023-11-11,37094.79
2023-11-12,37003.19
2023-11-13,36449.39
2023-11-14,35527.43
2023-11-15,37809.48
2023-11-16,36143.14
2023-11-17,36607.68
2023-11-18,36563.61
2023-11-19,37382.85
2023-11-20,37438.55
2023-11-21,35722.85
2023-11-22,37397.39
2023-11-23,37255.35
2023-11-24,37708.76
2023-11-25,37782.47
2023-11-26,37455.01
2023-11-27,37238.94
2023-11-28,37820.84
2023-11-29,37850.69
2023-11-30,37702.04
2023-12-01,38678.63
2023-12-02,39433.0
2023-12-03,39947.9
2023-12-04,41925.52
2023-12-05,44066.78
2023-12-06,43745.64
2023-12-07,43238.48
2023-12-08,44164.08
2023-12-09,43698.06
2023-12-10,43747.68
2023-12-11,41232.85
2023-12-12,41484.75
2023-12-13,42849.97
2023-12-14,43005.18
2023-12-15,41910.9
2023-12-16,42218.0
2023-12-17,41356.73
2023-12-18,42628.93
2023-12-19,42247.23
2023-12-20,43667.81
2023-12-21,43865.94
2023-12-22,43991.88
2023-12-23,43727.47
2023-12-24,42997.31
2023-12-25,43584.15
2023-12-26,42496.98
2023-12-27,43449.74
2023-12-28,42562.21
2023-12-29,42052.88
2023-12-30,42092.89
2023-12-31,42249.26
2024-01-01,44247.36
2024-01-02,44942.04
2024-01-03,42841.01
2024-01-04,44193.66
2024-01-05,44177.8
2024-01-06,43956.76
2024-01-07,43926.12
2024-01-08,46981.94
2024-01-09,46091.57
2024-01-10,46647.38
2024-01-11,46307.06
2024-01-12,42772.07
2024-01-13,42840.82
2024-01-14,41666.51
2024-01-15,42489.37
2024-01-16,43133.13
2024-01-17,42744.22
2024-01-18,41300.03
2024-01-19,41625.99
2024-01-20,41672.21
2024-01-21,41575.58
2024-01-22,39503.26
2024-01-23,39847.24
2024-01-24,40097.53
2024-01-25,39919.36
2024-01-26,41793.64
2024-01-27,42128.43
2024-01-28,42036.81
2024-01-29,43300.76
2024-01-30,42954.87
2024-01-31,42566.16
2024-02-01,43097.26
2024-02-02,43174.24
2024-02-03,42984.17
2024-02-04,42602.08
2024-02-05,42685.19
2024-02-06,43063.59
2024-02-07,44302.23
2024-02-08,45283.97
2024-02-09,47099.48
2024-02-10,47738.99
2024-02-11,48284.12
2024-02-12,49907.3
2024-02-13,49733.91
2024-02-14,51740.52
2024-02-15,51908.33
2024-02-16,52119.51
2024-02-17,51620.73
2024-02-18,52048.35
2024-02-19,51712.53
2024-02-20,52196.58
2024-02-21,51784.65
2024-02-22,51284.58
2024-02-23,50699.77
2024-02-24,51549.11
2024-02-25,51678.3
2024-02-26,54472.67
2024-02-27,57063.59
2024-02-28,62473.15
2024-02-29,61164.15
2024-03-01,62363.47
2024-03-02,61995.21
2024-03-03,63165.73
2024-03-04,68280.98
2024-03-05,63743.54
2024-03-06,66044.03
2024-03-07,66875.25
2024-03-08,68224.58
2024-03-09,68410.73
2024-03-10,68953.48
2024-03-11,72075.77
2024-03-12,71396.42
2024-03-13,73018.54
2024-03-14,71347.03
2024-03-15,69400.33
2024-03-16,65264.13
2024-03-17,68374.33
2024-03-18,67568.33
2024-03-19,61944.06
2024-03-20,67937.09
2024-03-21,65469.57
2024-03-22,63785.35
2024-03-23,64107.17
2024-03-24,67208.81
2024-03-25,69956.51
2024-03-26,69990.89
2024-03-27,69437.31
2024-03-28,70711.66
2024-03-29,69882.62
2024-03-30,69649.65
2024-03-31,71301.39
2024-04-01,69695.68
2024-04-02,65380.63
2024-04-03,65946.89
2024-04-04,68501.39
2024-04-05,67811.61
2024-04-06,68901.95
2024-04-07,69337.02
2024-04-08,71581.4
2024-04-09,69087.07
2024-04-10,70553.11
2024-04-11,70015.33
2024-04-12,67104.01
2024-04-13,63871.91
2024-04-14,65760.56
2024-04-15,63448.86
2024-04-16,63857.69
2024-04-17,61270.42
2024-04-18,63529.6
2024-04-19,63839.48
2024-04-20,64967.69
2024-04-21,64933.07
2024-04-22,66840.89
2024-04-23,66405.02
2024-04-24,64251.89
2024-04-25,64493.44
2024-04-26,63746.53
2024-04-27,63445.47
2024-04-28,63115.46
2024-04-29,63871.98
2024-04-30,60615.64
