signal_time,symbol,timeframe,direction,pending_order_type,trigger_price,stop_loss,setup_score,entry_model,filled
2026-06-30 05:00:00,EURUSD,M15,BUY,BUY_STOP,1.13991,1.13838,87,Pending Entry Model 3 - Internal Structure Break,True
2026-06-30 05:00:00,EURUSD,M30,BUY,BUY_LIMIT,1.13857,1.1379,89,Pending Entry Model 2 - LTF Swing Retest,True
2026-06-30 08:45:00,GBPUSD,M15,BUY,BUY_STOP,1.32319,1.32106,89,Pending Entry Model 3 - Internal Structure Break,True
2026-06-30 12:30:00,GBPUSD,M15,BUY,BUY_STOP,1.32272,1.32063,89,Pending Entry Model 3 - Internal Structure Break,True
2026-07-01 14:00:00,GBPUSD,M15,SELL,SELL_STOP,1.32464,1.32843,89,Pending Entry Model 3 - Internal Structure Break,False
2026-06-30 00:30:00,GBPUSD,M30,BUY,BUY_LIMIT,1.32389,1.32265,89,Pending Entry Model 2 - LTF Swing Retest,True
2026-07-01 20:00:00,GBPUSD,M30,BUY,BUY_STOP,1.32827,1.32641,89,Pending Entry Model 3 - Internal Structure Break,False
2026-06-29 12:00:00,GBPUSD,H1,SELL,SELL_STOP,1.32086,1.32443,88,Pending Entry Model 3 - Internal Structure Break,False
2026-06-29 18:00:00,GBPUSD,H1,SELL,SELL_STOP,1.32493,1.32723,88,Pending Entry Model 3 - Internal Structure Break,False
2026-06-30 15:00:00,GBPUSD,H1,BUY,BUY_STOP,1.32772,1.32091,89,Pending Entry Model 3 - Internal Structure Break,False
2026-07-01 14:00:00,USDJPY,M15,BUY,BUY_STOP,162.56781,162.27956,89,Pending Entry Model 3 - Internal Structure Break,False
2026-07-01 16:15:00,USDJPY,M15,BUY,BUY_STOP,162.46325,162.27526,89,Pending Entry Model 3 - Internal Structure Break,True
2026-06-30 05:00:00,USDCHF,M15,SELL,SELL_STOP,0.80907,0.81002,89,Pending Entry Model 3 - Internal Structure Break,True
