symbol,broker_symbol,timeframe,status,candles
EURUSD,EURUSDm,M15,ok,3257
EURUSD,EURUSDm,M30,ok,1629
EURUSD,EURUSDm,H1,ok,815
GBPUSD,GBPUSDm,M15,ok,3257
GBPUSD,GBPUSDm,M30,ok,1629
GBPUSD,GBPUSDm,H1,ok,815
USDJPY,USDJPYm,M15,ok,3249
USDJPY,USDJPYm,M30,ok,1629
USDJPY,USDJPYm,H1,ok,815
USDCHF,USDCHFm,M15,ok,3249
USDCHF,USDCHFm,M30,ok,1629
USDCHF,USDCHFm,H1,ok,815
