logical_symbol,broker_symbol,side,signal_time,entry_time,exit_time,entry,sl,tp1,tp2,tp5,exit_price,result,r_multiple,risk_per_lot,bull_pct,bear_pct,bias,atr,spread,entry_time_iso,exit_time_iso,lot,risk_budget,actual_risk,pnl,balance_before,balance_after
BTCUSD,BTCUSDm,BUY,1767110400,1767110400,1767198000,88931.47,87637.6,90225.34,91519.22,95400.83,87637.6,loss,-1.0,1293.87,85.71,0.0,STRONG BULL,862.58,18.0,2025-12-30T16:00:00Z,2025-12-31T16:20:00Z,0.01,15.0,12.94,-12.94,300.0,287.06
BTCUSD,BTCUSDm,BUY,1767297600,1767297600,1767425400,88292.88,87217.46,89368.3,90443.71,93669.97,89368.3,trail_stop,1.0,1075.42,57.14,14.29,STRONG BULL,716.94,18.0,2026-01-01T20:00:00Z,2026-01-03T07:30:00Z,0.01,14.35,10.75,10.75,287.06,297.82
BTCUSD,BTCUSDm,BUY,1768233600,1768233600,1768780800,91584.31,90265.07,92903.55,94222.79,98180.5,92903.55,trail_stop,1.0,1319.24,85.71,0.0,STRONG BULL,879.49,18.0,2026-01-12T16:00:00Z,2026-01-19T00:00:00Z,0.01,14.89,13.19,13.19,297.82,311.01
BTCUSD,BTCUSDm,BUY,1776110400,1776110400,1776621000,73370.33,71987.84,74752.82,76135.31,80282.79,74752.82,trail_stop,1.0,1382.49,85.71,14.29,STRONG BULL,921.66,14.0,2026-04-13T20:00:00Z,2026-04-19T17:50:00Z,0.01,15.55,13.82,13.82,311.01,324.83
BTCUSD,BTCUSDm,BUY,1776715200,1776715200,1776800400,76332.66,74844.91,77820.41,79308.17,83771.43,74844.91,loss,-1.0,1487.75,71.43,14.29,STRONG BULL,991.84,14.0,2026-04-20T20:00:00Z,2026-04-21T19:40:00Z,0.01,16.24,14.88,-14.88,324.83,309.96
BTCUSD,BTCUSDm,SELL,1777320000,1777320000,1777638600,76876.17,78105.87,75646.47,74416.76,70727.65,78105.87,loss,-1.0,1229.7,28.57,57.14,MILD BEAR,819.8,14.0,2026-04-27T20:00:00Z,2026-05-01T12:30:00Z,0.01,15.5,12.3,-12.3,309.96,297.66
BTCUSD,BTCUSDm,SELL,1778673600,1778673600,1778775000,80473.71,81594.42,79353.0,78232.29,74870.16,81594.42,loss,-1.0,1120.71,0.0,85.71,STRONG BEAR,747.14,14.0,2026-05-13T12:00:00Z,2026-05-14T16:10:00Z,0.01,14.88,11.21,-11.21,297.66,286.45
BTCUSD,BTCUSDm,SELL,1778860800,1778860800,1779281700,79112.81,80534.61,77691.01,76269.22,72003.82,77691.01,trail_stop,1.0,1421.8,0.0,85.71,STRONG BEAR,947.86,14.0,2026-05-15T16:00:00Z,2026-05-20T12:55:00Z,0.01,14.32,14.22,14.22,286.45,300.67
BTCUSD,BTCUSDm,SELL,1779451200,1779451200,1779568500,77347.59,78383.39,76311.79,75275.98,72168.57,76311.79,trail_stop,1.0,1035.8,28.57,57.14,MILD BEAR,690.54,14.0,2026-05-22T12:00:00Z,2026-05-23T20:35:00Z,0.01,15.03,10.36,10.36,300.67,311.03
BTCUSD,BTCUSDm,SELL,1779825600,1779825600,1780383600,75921.84,77162.16,74681.52,73441.19,69720.22,69720.22,win,5.0,1240.32,14.29,71.43,STRONG BEAR,826.88,14.0,2026-05-26T20:00:00Z,2026-06-02T07:00:00Z,0.01,15.55,12.4,62.02,311.03,373.04
BTCUSD,BTCUSDm,SELL,1781020800,1781020800,1781158800,61079.82,62907.27,59252.37,57424.92,51942.58,62907.27,loss,-1.0,1827.45,14.29,85.71,STRONG BEAR,1218.3,10.0,2026-06-09T16:00:00Z,2026-06-11T06:20:00Z,0.01,18.65,18.27,-18.27,373.04,354.77
BTCUSD,BTCUSDm,BUY,1781193600,1781193600,1781724900,62692.33,61112.61,64272.05,65851.76,70590.91,64272.05,trail_stop,1.0,1579.72,57.14,28.57,MILD BULL,1053.14,10.0,2026-06-11T16:00:00Z,2026-06-17T19:35:00Z,0.01,17.74,15.8,15.8,354.77,370.57
