signal_time,symbol,timeframe,direction,pending_order_type,trigger_price,stop_loss,setup_score,entry_model,filled
2026-06-29 14:45:00,XAUUSD,M15,BUY,BUY_STOP,4030.99195,3998.24914,89,Pending Entry Model 3 - Internal Structure Break,True
2026-06-30 01:30:00,XAUUSD,M15,BUY,BUY_STOP,3987.94542,3940.11474,89,Pending Entry Model 3 - Internal Structure Break,True
2026-06-30 14:15:00,XAUUSD,M15,SELL,SELL_STOP,4021.34713,4070.35259,89,Pending Entry Model 3 - Internal Structure Break,True
2026-07-01 01:00:00,XAUUSD,M15,BUY,BUY_STOP,4006.15304,3977.59587,89,Pending Entry Model 3 - Internal Structure Break,False
2026-07-01 01:45:00,XAUUSD,M15,BUY,BUY_STOP,3988.95006,3969.26948,89,Pending Entry Model 3 - Internal Structure Break,False
2026-07-01 04:00:00,XAUUSD,M15,BUY,BUY_STOP,3982.73395,3968.59956,89,Pending Entry Model 3 - Internal Structure Break,True
2026-07-01 12:15:00,XAUUSD,M15,SELL,SELL_STOP,4019.04048,4036.95857,89,Pending Entry Model 3 - Internal Structure Break,True
2026-07-01 07:00:00,XAUUSD,M30,BUY,BUY_STOP,3978.09238,3957.4924,89,Pending Entry Model 3 - Internal Structure Break,True
2026-07-01 14:30:00,XAUUSD,M30,SELL,SELL_STOP,4040.5976,4118.73221,89,Pending Entry Model 3 - Internal Structure Break,False
2026-07-01 01:45:00,XAGUSD,M15,BUY,BUY_STOP,58.19955,57.27776,88,Pending Entry Model 3 - Internal Structure Break,False
2026-07-01 04:00:00,XAGUSD,M15,BUY,BUY_STOP,57.89769,57.32348,89,Pending Entry Model 3 - Internal Structure Break,False
2026-06-30 13:00:00,BTCUSD,H1,BUY,BUY_STOP,59343.70929,58075.05214,89,Pending Entry Model 3 - Internal Structure Break,False
2026-06-30 11:45:00,ETHUSD,M15,BUY,BUY_STOP,1582.81507,1569.60768,89,Pending Entry Model 3 - Internal Structure Break,False
2026-06-30 16:15:00,ETHUSD,M15,BUY,BUY_STOP,1574.52282,1546.01154,89,Pending Entry Model 3 - Internal Structure Break,True
2026-07-01 15:30:00,ETHUSD,M30,SELL,SELL_STOP,1588.41979,1631.25064,88,Pending Entry Model 3 - Internal Structure Break,False
2026-07-01 16:00:00,ETHUSD,H1,SELL,SELL_STOP,1588.05889,1631.79332,89,Pending Entry Model 3 - Internal Structure Break,False
