symbol,broker_symbol,timeframe,status,candles
XAUUSD,XAUUSDm,M15,ok,3098
XAUUSD,XAUUSDm,M30,ok,1549
XAUUSD,XAUUSDm,H1,ok,775
XAGUSD,XAGUSDm,M15,ok,3091
XAGUSD,XAGUSDm,M30,ok,1549
XAGUSD,XAGUSDm,H1,ok,775
BTCUSD,BTCUSDm,M15,ok,4601
BTCUSD,BTCUSDm,M30,ok,2301
BTCUSD,BTCUSDm,H1,ok,1151
ETHUSD,ETHUSDm,M15,ok,4592
ETHUSD,ETHUSDm,M30,ok,2301
ETHUSD,ETHUSDm,H1,ok,1151
