entry_date,exit_date,direction,entry_price,exit_price,risk_points,pnl_points,r_multiple,bars_held,exit_reason
2003-01-02,2003-01-03,long,992.5,1026.0,96.10090889970033,32.88,0.34214036450286406,1,signal
2003-01-20,2003-01-24,long,1021.0,1027.5,102.42949264960009,5.88,0.057405341449018266,4,signal
2003-08-06,2003-08-13,long,1215.0,1241.0,95.97819724793135,25.38,0.2644350563747125,5,signal
2003-11-19,2003-11-25,long,1362.5,1414.5,88.68674171450792,51.38,0.5793425150897719,4,signal
2004-02-05,2004-02-09,long,1463.5,1495.5,76.25180970822626,31.38,0.4115312163747195,2,signal
2004-02-25,2004-03-02,long,1464.5,1490.0,75.86588338973921,24.88,0.32794714683787624,4,signal
2005-01-05,2005-01-19,long,1583.0,1576.0,68.90863286853872,-7.62,-0.11058120997026813,9,signal
2005-06-27,2005-07-06,long,1512.0,1512.5,63.72100756076563,-0.12,-0.001883209393473033,6,signal
2005-08-25,2005-08-30,long,1564.5,1574.5,59.05639134921302,9.38,0.1588312422364933,3,signal
2005-12-20,2005-12-23,long,1679.5,1700.0,58.704667503674855,19.88,0.33864428239467553,3,signal
2006-01-03,2006-01-04,long,1658.5,1693.5,57.15216089279494,34.38,0.6015520579263736,1,signal
2006-01-19,2006-01-30,long,1724.5,1721.5,64.43236120644072,-3.62,-0.05618294801274707,7,signal
2006-02-06,2006-02-16,long,1669.0,1679.0,78.11172181259238,9.38,0.12008440964218833,8,signal
2006-11-28,2006-12-05,long,1781.0,1803.0,66.72627978950425,21.38,0.3204134872713671,5,signal
2006-12-26,2007-01-04,long,1765.25,1779.25,75.40435960050246,13.38,0.17744332119373696,5,signal
2007-01-23,2007-01-25,long,1793.0,1819.0,79.09310877420016,25.38,0.3208876271693451,2,signal
2007-06-08,2007-06-15,long,1884.5,1926.0,71.98172299699183,40.88,0.5679219432092284,5,signal
2007-07-25,2007-07-31,long,2026.75,1954.843627530282,71.906372469718,-72.52637246971801,-1.0086223234284433,5,stop
2008-05-22,2008-05-28,long,1967.25,1993.25,121.77347900366473,25.38,0.20841976600862488,3,signal
2008-06-12,2008-06-16,long,1924.0,1968.25,129.61601636041925,43.63,0.336609635329938,2,signal
2009-05-14,2009-05-19,long,1345.0,1388.5,118.3100735955444,42.88,0.3624374383079995,3,signal
2009-06-16,2009-06-22,long,1459.75,1463.25,105.57646436660647,2.88,0.027278807045473814,4,signal
2009-07-08,2009-07-14,long,1408.75,1441.25,96.1527321568759,31.88,0.33155584126290744,4,signal
2009-09-02,2009-09-08,long,1595.75,1635.0,99.5005609625621,38.63,0.38823901721051457,3,signal
2009-10-28,2009-11-05,long,1720.0,1686.25,90.45237293705863,-34.37,-0.3799789754981486,6,signal
2010-10-05,2010-10-06,long,1977.75,2018.25,99.37024246784148,39.88,0.40132738946376323,1,signal
2010-11-15,2010-11-19,long,2134.5,2134.75,93.13847164990062,-0.37,-0.003972579681045204,4,signal
2011-02-23,2011-02-28,long,2322.5,2344.75,87.47567313915488,21.63,0.24726874596999496,3,signal
2011-04-13,2011-04-21,long,2292.75,2355.5,103.31208209939271,62.13,0.60138174294297,6,signal
2011-05-09,2011-05-10,long,2378.5,2385.75,95.46610778751675,6.63,0.06944873058778821,1,signal
2012-04-25,2012-04-26,long,2633.0,2704.0,124.98629059208977,70.38,0.5631017583335997,1,signal
2012-05-07,2012-05-18,long,2610.75,2479.573283070849,131.17671692915096,-131.7967169291511,-1.00472644852314,10,stop
2012-09-27,2012-10-04,long,2775.25,2808.5,100.1737431103012,32.63,0.32573405951369055,5,signal
2012-10-10,2012-10-17,long,2735.5,2765.25,107.1138109036699,29.13,0.27195372617446434,5,signal
2013-06-06,2013-06-10,long,2939.75,2980.5,116.91905141415612,40.13,0.34322892218693807,2,signal
2013-11-08,2013-11-14,long,3322.25,3392.0,116.25131266168705,69.13,0.5946599519368969,4,signal
2014-01-28,2014-02-07,long,3469.5,3490.25,132.32285301084724,20.13,0.1521279169997176,8,signal
2014-12-17,2014-12-19,long,4091.25,4267.5,176.0238611231773,175.63,0.9977624560632623,2,signal
2015-01-05,2015-01-09,long,4216.5,4231.75,168.53408456991238,14.63,0.08680736622111054,4,signal
2015-03-12,2015-03-17,long,4313.0,4355.0,150.16680534199924,41.38,0.27556023387298284,3,signal
2015-03-27,2015-03-31,long,4313.5,4369.5,161.81491014085606,55.38,0.3422428746015619,2,signal
2015-05-01,2015-05-11,long,4414.5,4452.0,173.8527630689093,36.88,0.21213352810148914,6,signal
2015-07-28,2015-07-31,long,4521.75,4588.75,196.07409389870173,66.38,0.3385454890042438,3,signal
2015-11-13,2015-11-19,long,4584.25,4649.25,197.3539256153415,64.38,0.3262159584577088,4,signal
2016-04-28,2016-05-10,long,4432.5,4334.25,190.34270763825344,-98.87,-0.5194315097581913,8,signal
2016-06-13,2016-06-24,long,4459.25,4482.25,151.14614982296595,22.38,0.14806860794147375,9,signal
2016-09-12,2016-09-16,long,4671.5,4812.75,138.391605253164,140.63,1.0161743535147327,4,signal
2016-10-13,2016-10-19,long,4805.25,4823.25,160.2272873375011,17.38,0.10847091209496011,4,signal
2016-11-02,2016-11-08,long,4755.0,4777.0,164.53428845703155,21.38,0.1299425195835908,4,signal
2017-01-03,2017-01-05,long,4877.25,4934.25,160.91396681869128,56.38,0.350373563679067,2,signal
2017-03-22,2017-03-29,long,5334.75,5408.5,125.64804333927832,73.13,0.5820225930819499,5,signal
2017-04-13,2017-04-20,long,5369.5,5397.5,140.7971532599439,27.38,0.1944641590121515,4,signal
2017-06-13,2017-06-20,long,5713.75,5766.25,187.16829671802304,51.88,0.2771836946198181,5,signal
2017-09-26,2017-09-28,long,5879.25,5935.5,182.30178216467482,55.63,0.30515335253140274,2,signal
2017-11-16,2017-11-17,long,6265.0,6342.25,167.5354763351078,76.63,0.4573956613626307,1,signal
2018-01-02,2018-01-03,long,6405.5,6512.75,184.02892781023957,106.63,0.5794197752972345,1,signal
2018-02-05,2018-02-05,long,6752.75,6490.165299689469,262.5847003105311,-263.20470031053094,-1.002361142897003,1,stop
2018-02-06,2018-02-14,long,6473.5,6559.0,335.0607931454932,84.88,0.25332716252224297,6,signal
2018-03-20,2018-03-23,long,6912.25,6527.891468626877,384.3585313731229,-384.9785313731228,-1.0016130772427112,4,stop
2018-06-26,2018-07-03,long,7064.75,7113.25,310.1415415310825,47.88,0.15438112470722162,5,signal
2018-07-31,2018-08-03,long,7210.5,7391.5,335.06735090268785,180.38,0.5383395293932621,3,signal
2018-09-07,2018-09-12,long,7455.25,7514.75,271.7046679951196,58.88,0.21670588302537963,3,signal
