entry_date,exit_date,direction,entry_price,exit_price,risk_points,pnl_points,r_multiple,bars_held,exit_reason
2021-02-23,2021-03-02,long,317.0317,324.217575,15.158707626779442,7.18587500000001,0.47404272032435074,5,signal
2021-05-05,2021-05-10,long,332.283225,332.7467207794189,15.461206519795615,0.4634957794189063,0.029977982560770642,3,signal
2021-07-20,2021-07-22,long,355.6655678833008,361.73381201477054,12.136352324423854,6.068244131469726,0.5000056004684095,2,signal
2021-09-13,2021-09-16,long,379.0278892333984,376.6423246765137,10.858715551078422,-2.385564556884731,-0.21969122827310925,3,signal
2021-09-21,2021-09-24,long,367.61674457092283,370.6129288970947,13.930891603827384,2.9961843261718855,0.2150748431169123,3,signal
2021-10-01,2021-10-08,long,358.63586610412597,364.0435785736084,15.236782489735626,5.407712469482419,0.35491170613778633,5,signal
2022-08-23,2022-08-26,long,314.1514071166992,320.24797077941895,20.60188540218235,6.0965636627197455,0.2959226082324455,3,signal
2023-04-26,2023-04-28,long,313.4713464416504,320.07797435302734,14.573066235171119,6.606627911376961,0.4533450822746079,2,signal
2023-09-21,2023-10-02,long,360.83606779174806,358.5041545440674,15.313915135754598,-2.3319132476806885,-0.15227413936989814,7,signal
2024-01-03,2024-01-09,long,399.9699856750488,401.86981266174314,13.64841628730492,1.899826986694336,0.13919761433870248,4,signal
2024-04-19,2024-04-24,long,422.2622232208252,428.15719220581053,19.188710471648882,5.894968984985326,0.3072102731288317,3,signal
2024-07-19,2024-07-25,long,479.19790889587404,458.9424035154094,20.255505380464598,-20.255505380464626,-1.0000000000000013,5,stop
2024-11-18,2024-11-22,long,498.17981788330076,504.3695714263916,21.018727626217807,6.189753543090831,0.2944875471610381,4,signal
2025-02-24,2025-02-27,long,527.9327928833007,505.08952337703204,22.843269506268694,-22.84326950626871,-1.0000000000000009,4,stop
2025-08-04,2025-08-07,long,559.105892791748,571.6128159118653,18.679040916211374,12.506923120117222,0.6695698765380708,3,signal
2025-08-20,2025-08-25,long,568.3868500915528,570.342984411621,18.325577327300216,1.9561343200682586,0.106743393953223,3,signal
2025-11-19,2025-11-25,long,597.1297143249511,603.4496587646485,31.265383813026684,6.319944439697338,0.20213871281708495,4,signal
2025-12-16,2025-12-22,long,608.3208357666016,621.2878405883789,28.967376070839876,12.967004821777323,0.44764167766063595,4,signal
2026-01-02,2026-01-07,long,620.1220035583497,622.977674029541,22.47450513581346,2.855670471191388,0.12706266295674,3,signal
2026-01-21,2026-01-23,long,609.5309177001953,619.6680074707032,24.838861793105007,10.137089770507828,0.4081141018032385,2,signal
2026-06-08,2026-06-15,long,717.8817785583497,738.026165588379,35.701187661180185,20.144387030029293,0.564249772898546,5,signal
2026-07-29,2026-07-31,long,675.5775607666016,687.9211912353516,42.95788111269175,12.343630468750007,0.28734262838450675,3,period_end
