utc_day;balance_at_observation;min_equity;max_equity
2025.09.19;10000.00;10000.00;10000.00
2025.09.21;10000.00;10000.00;10000.00
2025.09.22;10000.00;10000.00;10000.00
2025.09.23;10276.55;9955.93;10407.65
2025.09.24;10276.55;10276.55;10276.55
2025.09.25;10276.55;10276.55;10276.55
2025.09.26;10276.55;10276.55;10276.55
2025.09.28;10276.55;10276.55;10276.55
2025.09.29;10276.55;10276.55;10276.55
2025.09.30;10276.55;10276.55;10276.55
2025.10.01;10388.12;10262.68;10421.03
2025.10.02;10388.12;10388.12;10388.12
2025.10.03;10388.12;10388.12;10388.12
2025.10.05;10388.12;10388.12;10388.12
2025.10.06;10388.12;10388.12;10388.12
2025.10.07;10388.12;10388.12;10388.12
2025.10.08;10388.12;10388.12;10388.12
2025.10.09;10388.12;10388.12;10388.12
2025.10.10;10388.12;10388.12;10388.12
2025.10.12;10388.12;10388.12;10388.12
2025.10.13;10388.12;10388.12;10388.12
2025.10.14;10465.71;10378.17;10535.73
2025.10.15;10465.71;10465.71;10465.71
2025.10.16;10359.63;10359.63;10469.82
2025.10.17;10384.39;10258.11;10412.41
2025.10.19;10384.39;10384.39;10384.39
2025.10.20;10449.90;10357.88;10488.26
2025.10.21;10449.90;10449.90;10449.90
2025.10.22;10510.26;10412.11;10677.77
2025.10.23;10510.26;10510.26;10510.26
2025.10.24;10510.26;10510.26;10510.26
2025.10.26;10510.26;10510.26;10510.26
2025.10.27;10510.26;10510.26;10510.26
2025.10.28;10510.26;10510.26;10510.26
2025.10.29;10510.26;10510.26;10510.26
2025.10.30;10510.26;10510.26;10510.26
2025.10.31;10527.16;10426.87;10635.39
2025.11.02;10527.16;10527.16;10527.16
2025.11.03;10527.16;10527.16;10527.16
2025.11.04;10527.16;10527.16;10527.16
2025.11.05;10527.16;10527.16;10527.16
2025.11.06;10527.16;10527.16;10527.16
2025.11.07;10527.16;10527.16;10527.16
2025.11.09;10527.16;10527.16;10527.16
2025.11.10;10527.16;10527.16;10527.16
2025.11.11;10527.16;10527.16;10527.16
2025.11.12;10527.16;10527.16;10527.16
2025.11.13;10527.16;10527.16;10527.16
2025.11.14;10527.16;10527.16;10527.16
2025.11.16;10527.16;10527.16;10527.16
2025.11.17;10527.16;10527.16;10527.16
2025.11.18;10527.16;10527.16;10527.16
2025.11.19;10420.53;10420.53;10560.94
2025.11.20;10420.53;10420.53;10420.53
2025.11.21;10420.53;10420.53;10420.53
2025.11.23;10420.53;10420.53;10420.53
2025.11.24;10314.82;10314.82;10512.23
2025.11.25;10314.82;10314.82;10314.82
2025.11.26;10610.55;10231.11;10687.31
2025.11.27;10610.55;10610.55;10610.55
2025.11.28;10610.55;10610.55;10610.55
2025.11.30;10610.55;10610.55;10610.55
2025.12.01;10632.64;10538.74;10802.94
2025.12.02;10632.64;10632.64;10632.64
2025.12.03;10632.64;10632.64;10632.64
2025.12.04;10524.89;10524.89;10632.86
2025.12.05;10524.89;10524.89;10524.89
2025.12.07;10524.89;10524.89;10524.89
2025.12.08;10524.89;10524.89;10524.89
2025.12.09;10524.89;10524.89;10524.89
2025.12.10;10524.89;10524.89;10524.89
2025.12.11;10524.89;10524.89;10524.89
2025.12.12;10524.89;10524.89;10524.89
2025.12.14;10524.89;10524.89;10524.89
2025.12.15;10417.00;10417.00;10541.48
2025.12.16;10417.00;10417.00;10417.00
2025.12.17;10605.53;10376.50;10641.90
2025.12.18;10605.53;10605.53;10605.53
2025.12.19;10605.53;10605.53;10605.53
2025.12.21;10605.53;10605.53;10605.53
2025.12.22;10605.53;10605.53;10605.53
2025.12.23;10605.53;10605.53;10605.53
2025.12.24;10605.53;10605.53;10605.53
2025.12.25;10605.53;10605.53;10605.53
2025.12.26;10605.53;10605.53;10605.53
2025.12.28;10605.53;10605.53;10605.53
2025.12.29;10605.53;10605.53;10605.53
2025.12.30;10605.53;10605.53;10605.53
2025.12.31;10605.53;10605.53;10605.53
2026.01.01;10605.53;10605.53;10605.53
2026.01.02;10605.53;10605.53;10605.53
2026.01.04;10605.53;10605.53;10605.53
2026.01.05;10694.39;10601.58;10808.67
2026.01.06;10944.14;10675.00;10966.49
2026.01.07;10944.14;10944.14;10944.14
2026.01.08;10830.05;10830.05;10963.38
2026.01.09;10830.05;10830.05;10830.05
2026.01.11;10830.05;10830.05;10830.05
2026.01.12;10960.28;10820.47;10963.75
2026.01.13;10960.28;10960.28;10960.28
2026.01.14;11025.14;10897.35;11116.25
2026.01.15;10917.86;10917.86;11072.96
2026.01.16;10917.86;10917.86;10917.86
2026.01.18;10917.86;10917.86;10917.86
2026.01.19;10805.92;10805.92;10923.21
2026.01.20;10697.51;10697.51;10863.90
2026.01.21;10697.51;10697.51;10697.51
2026.01.22;10697.51;10697.51;10697.51
2026.01.23;10697.51;10697.51;10697.51
2026.01.25;10697.51;10697.51;10697.51
2026.01.26;10858.89;10666.99;10890.37
2026.01.27;10858.89;10858.89;10858.89
2026.01.28;10747.78;10747.78;10873.14
2026.01.29;11390.42;10684.37;11390.42
2026.01.30;11390.42;11390.42;11390.42
2026.02.01;11390.42;11390.42;11390.42
2026.02.02;11751.36;11366.72;11843.12
2026.02.03;12455.91;11694.65;12455.91
