trades,wins,losses,timeouts,win_rate,net_r,start_balance,final_balance,level,target_balance,target_reached,target_reached_at,max_drawdown_pct,min_balance,symbol
21,8,6,7,38.1,2.82,20.0,22.66,1,52399.91,False,,82.83,20.0,AUDUSD
21,8,8,5,38.1,1.27,20.0,14.64,1,52399.91,False,,73.63,12.92,USDCHF
19,9,9,1,47.37,1.45,20.0,14.55,1,52399.91,False,,62.66,14.55,USDCAD
20,8,10,2,40.0,0.26,20.0,11.08,1,52399.91,False,,86.0,6.61,EURUSD
22,6,8,8,27.27,-0.57,20.0,10.31,1,52399.91,False,,80.42,7.34,USDJPY
22,6,10,6,27.27,-1.45,20.0,7.74,1,52399.91,False,,85.84,5.49,NZDUSD
19,1,3,15,5.26,-4.47,20.0,5.58,1,52399.91,False,,78.9,4.22,EURGBP
20,7,12,1,35.0,-2.74,20.0,5.21,1,52399.91,False,,90.26,5.21,GBPUSD
