strategy,segment,from_date,to_date,model,initial,final,net,return_pct,profit_factor,win_rate_pct,equity_dd_amount,equity_dd_pct,balance_dd_pct,trades,wins,losses,gross_profit,gross_loss,largest_win,largest_loss,average_win,average_loss,expected_payoff,recovery_factor,sharpe,history_quality,report_path,chart_path
Screen-selected,Training,2020-01-01,2023-12-31,1-minute OHLC,10000.0,8317.42,-1682.58,-16.825799999999997,0.92,35.56,3137.93,28.91,27.84,329,117,212,18470.06,-20152.64,210.17,-107.61,157.86,-93.18,-5.11,-0.54,-2.42,98%,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\US100 NY VWAP Bounce Research 2026-08-26\Backtest Reports\selected-training-2020-2023.htm,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\US100 NY VWAP Bounce Research 2026-08-26\Backtest Reports\selected-training-2020-2023.png
Screen-selected,Validation,2024-01-01,2025-06-30,1-minute OHLC,10000.0,13553.14,3553.14,35.5314,1.5,47.2,1490.18,13.99,13.42,125,59,66,10619.65,-7066.51,274.02,-139.75,179.99,-104.96,28.43,2.38,10.69,98%,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\US100 NY VWAP Bounce Research 2026-08-26\Backtest Reports\selected-validation-2024-2025h1.htm,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\US100 NY VWAP Bounce Research 2026-08-26\Backtest Reports\selected-validation-2024-2025h1.png
Screen-selected,Locked,2025-07-01,2026-08-25,Every Tick,10000.0,10228.54,228.54,2.2854,1.04,39.08,949.53,9.28,8.77,87,34,53,5328.36,-5099.82,209.43,-106.77,156.72,-94.91,2.63,0.24,1.09,100%,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\US100 NY VWAP Bounce Research 2026-08-26\Backtest Reports\selected-locked-every-tick.htm,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\US100 NY VWAP Bounce Research 2026-08-26\Backtest Reports\selected-locked-every-tick.png
Screen-selected,Latest year,2025-08-26,2026-08-25,Every Tick,10000.0,10442.69,442.69,4.4269,1.09,40.24,959.68,8.66,7.16,82,33,49,5233.51,-4790.82,213.53,-108.84,158.59,-96.45,5.4,0.46,2.18,100%,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\US100 NY VWAP Bounce Research 2026-08-26\Backtest Reports\selected-one-year-every-tick.htm,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\US100 NY VWAP Bounce Research 2026-08-26\Backtest Reports\selected-one-year-every-tick.png
Screen-selected,Full,2020-01-01,2026-08-25,1-minute OHLC,10000.0,11413.57,1413.57,14.135699999999998,1.04,38.75,3232.63,29.78,29.23,542,210,332,33242.41,-31828.84,233.86,-119.12,158.3,-94.08,2.61,0.44,1.05,98%,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\US100 NY VWAP Bounce Research 2026-08-26\Backtest Reports\selected-full-2020-2026.htm,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\US100 NY VWAP Bounce Research 2026-08-26\Backtest Reports\selected-full-2020-2026.png
Literal transcript,Training,2020-01-01,2023-12-31,1-minute OHLC,10000.0,8629.55,-1370.45,-13.7045,0.56,74.22,1557.84,15.58,15.0,128,95,33,1774.34,-3144.79,158.2,-99.7,18.68,-90.33,-10.71,-0.88,-5.0,98%,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\US100 NY VWAP Bounce Research 2026-08-26\Backtest Reports\literal-training-2020-2023.htm,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\US100 NY VWAP Bounce Research 2026-08-26\Backtest Reports\literal-training-2020-2023.png
Literal transcript,Validation,2024-01-01,2025-06-30,1-minute OHLC,10000.0,10392.49,392.49,3.9249,1.32,81.97,421.43,3.94,3.34,61,50,11,1631.9,-1239.41,132.1,-106.24,32.64,-103.98,6.43,0.93,17.07,98%,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\US100 NY VWAP Bounce Research 2026-08-26\Backtest Reports\literal-validation-2024-2025h1.htm,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\US100 NY VWAP Bounce Research 2026-08-26\Backtest Reports\literal-validation-2024-2025h1.png
Literal transcript,Locked,2025-07-01,2026-08-25,Every Tick,10000.0,9650.01,-349.99,-3.4999000000000002,0.86,62.12,686.92,6.8,6.16,66,41,25,2210.0,-2559.99,305.29,-100.95,53.9,-98.28,-5.3,-0.51,-5.0,100%,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\US100 NY VWAP Bounce Research 2026-08-26\Backtest Reports\literal-locked-every-tick.htm,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\US100 NY VWAP Bounce Research 2026-08-26\Backtest Reports\literal-locked-every-tick.png
Literal transcript,Latest year,2025-08-26,2026-08-25,Every Tick,10000.0,9830.21,-169.79,-1.6978999999999997,0.93,62.71,699.56,6.8,6.11,59,37,22,2117.36,-2287.15,310.94,-102.91,57.23,-99.87,-2.88,-0.24,-4.19,100%,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\US100 NY VWAP Bounce Research 2026-08-26\Backtest Reports\literal-one-year-every-tick.htm,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\US100 NY VWAP Bounce Research 2026-08-26\Backtest Reports\literal-one-year-every-tick.png
