symbol,start,end,return_pct,profit_factor,win_rate,max_dd_pct,trades,sharpe,recovery,expectancy_r,average_rr,longs,shorts
USTEC,2023-09-01,2024-03-01,6.62466508720585,1.8010057915751043,50.0,6.081300681944047,14,1.4202897139187631,1.0893500311331592,0.47345736591183135,2.0882741628041614,14,0
USTEC,2023-12-01,2024-06-01,6.7782644175184315,1.6439829287530405,47.05882352941176,6.081300681944057,17,1.2227638673282961,1.1146076755658085,0.40026475487854857,2.11413185128294,17,0
USTEC,2024-03-01,2024-09-01,10.352244673135713,2.0711989345260884,55.55555555555556,5.2076882972603045,18,1.760762387104721,1.987877169718835,0.5618298009146164,1.9440096777749045,18,0
USTEC,2024-06-01,2024-12-01,5.6958229682863015,1.5601300191533898,55.55555555555556,5.186343021484719,18,1.117997583928258,1.0982349113221075,0.31954564839818406,1.5367025595963075,18,0
USTEC,2024-09-01,2025-03-01,7.992572894492245,2.113333561956264,58.82352941176471,5.186343021484674,17,1.6418099257961611,1.5410806538215134,0.46312228621666174,1.4997254135397458,17,0
USTEC,2024-12-01,2025-06-01,16.53497816128473,3.6913006826033694,58.82352941176471,3.546426807050518,17,2.760459646479694,4.662433221069771,0.9154755453732243,2.099649574186027,17,0
USTEC,2025-03-01,2025-09-01,7.104876238897662,1.7825093546712498,50.0,3.7404830214417206,18,1.3633701490852363,1.8994542143808955,0.39333007716154406,1.7231169599841576,18,0
USTEC,2025-06-01,2025-12-01,-1.7305349492755528,0.8300714729993559,44.44444444444444,6.3395111109627695,18,-0.4106184382604334,-0.27297608900518827,-0.09007125842031533,1.0552515094479746,18,0
USTEC,2025-09-01,2026-03-01,-5.524902685588806,0.48051822529470767,35.294117647058826,5.975140824907155,17,-1.66254280356885,-0.924648112486061,-0.32894434118196497,0.8738721916651276,17,0
USTEC,2025-12-01,2026-06-01,1.6800558855602166,1.2223299981795694,43.75,5.252019543526942,16,0.4515350018897281,0.319887592122704,0.11197844769815105,1.329922633686713,16,0
USTEC,2026-03-01,2026-09-01,10.195050016550855,2.5303545907483764,52.94117647058824,3.553659256464625,17,1.9887868855822124,2.8688878929527557,0.5827571646835864,1.7867654803498876,17,0
US30,2023-09-01,2024-03-01,154.24171822540163,16.116618932967867,50.0,5.974841340591253,20,0.5157117214534593,25.815199004119215,7.136816212467364,15.28137304636164,20,0
US30,2023-12-01,2024-06-01,175.28917987283776,16.64074252215484,54.54545454545454,6.455586775816191,22,0.5332424124853621,27.15309792279504,7.280983230165263,14.248127124207793,22,0
US30,2024-03-01,2024-09-01,10.658419173932977,1.9321137869185074,56.52173913043478,6.455586775816169,23,1.3581357135788275,1.6510380146792234,0.457558193227943,1.6538003594908528,23,0
US30,2024-06-01,2024-12-01,101.74504230870541,8.064520203310176,45.83333333333333,9.448684639958005,24,0.5769696112367613,10.768169981928576,4.097655455174849,10.238198954813047,24,0
US30,2024-09-01,2025-03-01,2.217209946488574,1.1545190296042438,39.130434782608695,6.580890111663196,23,0.35765806846558285,0.3369164214669155,0.11185750237941237,1.8911349331139593,23,0
US30,2024-12-01,2025-06-01,-0.5192135210888016,0.9589069724486072,39.130434782608695,4.836025053061643,23,-0.07311062614646417,-0.1073636954713649,-0.014195164108110286,1.3491579136384173,23,0
US30,2025-03-01,2025-09-01,13.046276706267811,2.2223483242105457,50.0,4.68573502114118,24,1.8735772785803346,2.7842540492378243,0.5268203904648248,1.9205993109271688,24,0
US30,2025-06-01,2025-12-01,9.323385610744062,1.6530195838903146,41.66666666666667,6.419298347777714,24,1.2227122065863805,1.4523994844345736,0.3898312929694762,2.210894605817367,24,0
US30,2025-09-01,2026-03-01,10.504560383451311,1.6392043431569205,17.391304347826086,10.719107308930676,23,0.4659383311667077,0.9799846275164524,0.5256106762515267,7.2696475365531485,23,0
US30,2025-12-01,2026-06-01,-0.3546714361314818,0.9776374382411933,31.818181818181817,8.311391388871991,22,-0.00036549268801101554,-0.0426729315871644,-0.00011826467949687972,2.317480081773259,22,0
US30,2026-03-01,2026-09-01,11.481721534197376,1.8343916061256642,39.130434782608695,6.736408135897188,23,1.347293434611931,1.7044278349189104,0.49405328804861215,2.715437579864067,23,0
