symbol,config,side,pivot_time,entry_time,exit_time,entry,initial_stop,exit,exit_reason,bars_held,result_r,risk_cash,pnl_cash,balance
XAGUSD,trail_start_2R_distance_1R,sell,2026-05-01T16:00:00+00:00,2026-05-04T16:00:00+00:00,2026-05-06T08:00:00+00:00,73.7154,76.9778,76.9778,stop,10,-1.0,10.0,-10.0,990.0
XAUUSD,trail_start_2R_distance_2R,sell,2026-05-01T16:00:00+00:00,2026-05-04T16:00:00+00:00,2026-05-06T08:00:00+00:00,4568.32,4660.46,4660.46,stop,10,-1.0,10.0,-10.0,980.0
XAUUSD,trail_start_2R_distance_2R,sell,2026-05-07T16:00:00+00:00,2026-05-08T16:00:00+00:00,2026-05-11T00:00:00+00:00,4724.4,4764.96,4683.16,opposite_signal,2,1.0167652859960399,9.8,9.964299802761191,989.9642998027612
XAUUSD,trail_start_2R_distance_2R,buy,2026-05-08T00:00:00+00:00,2026-05-11T00:00:00+00:00,2026-05-11T00:00:00+00:00,4683.16,4677.51,4677.51,stop,0,-1.0,9.89964299802761,-9.89964299802761,980.0646568047335
XAUUSD,trail_start_2R_distance_2R,sell,2026-05-08T16:00:00+00:00,2026-05-11T16:00:00+00:00,2026-05-12T00:00:00+00:00,4699.93,4749.56,4749.56,stop,2,-1.0,9.800646568047336,-9.800646568047336,970.2640102366862
ETHUSD,fixed_5R,buy,2026-05-08T04:00:00+00:00,2026-05-09T04:00:00+00:00,2026-05-12T16:00:00+00:00,2309.41,2264.8,2264.8,stop,21,-1.0,9.8,-9.8,960.4640102366862
XAUUSD,trail_start_2R_distance_2R,buy,2026-05-11T08:00:00+00:00,2026-05-12T08:00:00+00:00,2026-05-12T16:00:00+00:00,4714.37,4648.09,4648.09,stop,2,-1.0,9.702640102366862,-9.702640102366862,950.7613701343193
XAGUSD,trail_start_2R_distance_1R,buy,2026-05-06T00:00:00+00:00,2026-05-07T00:00:00+00:00,2026-05-14T20:00:00+00:00,77.382,72.239,83.49249999999999,stop,35,1.188119774450707,9.8,11.64357378961693,962.4049439239362
ETHUSD,fixed_5R,sell,2026-05-13T12:00:00+00:00,2026-05-14T12:00:00+00:00,2026-05-28T04:00:00+00:00,2264.45,2324.15,1965.9499999999985,target,82,5.0,9.507613701343194,47.53806850671597,1009.9430124306522
XAUUSD,trail_start_2R_distance_2R,sell,2026-05-12T00:00:00+00:00,2026-05-13T00:00:00+00:00,2026-05-28T16:00:00+00:00,4711.66,4773.67,4497.2300000000005,stop,70,3.4579906466698698,9.507613701343194,32.87723925139507,1042.8202516820472
