instrument,broker_symbol,config,sample,trades,wins,losses,win_rate_pct,net_r,profit_factor,expectancy_r,risk_pct,processed_trades,ruined,max_drawdown_pct,ending_balance,max_dd_pct_at_1pct,ending_balance_at_1pct,selection_score
XAUUSD,XAUUSD..,fixed_1R,train,36,22,14,61.111111111111114,8.0,1.5714285714285714,0.2222222222222222,1.0,36,False,2.9798029899999894,1081.3416912457517,2.9798029899999894,1081.3416912457517,1.4498554994476194
XAUUSD,XAUUSD..,fixed_1.5R,train,31,18,13,58.06451612903226,12.881724496549126,1.9909018843499326,0.4155394998886815,1.0,31,False,2.9700999999999924,1134.5794164570186,2.9700999999999924,1134.5794164570186,2.4934573014809005
XAUUSD,XAUUSD..,fixed_2R,train,26,15,11,57.692307692307686,16.30875777649218,2.4826143433174708,0.6272599144804685,1.0,26,False,2.9700999999999986,1173.4147235856303,2.9700999999999986,1173.4147235856303,3.451998695528071
XAUUSD,XAUUSD..,fixed_2.5R,train,24,14,10,58.333333333333336,21.308757776492175,3.1308757776492175,0.8878649073538406,1.0,24,False,2.9700999999999835,1232.2547204047778,2.9700999999999835,1232.2547204047778,4.700459333728121
XAUUSD,XAUUSD..,fixed_3R,train,21,11,10,52.38095238095239,18.308757776492175,2.8308757776492177,0.8718456084043893,1.0,21,False,3.940399000000011,1195.498754874558,3.940399000000011,1195.498754874558,4.2623139014753235
XAUUSD,XAUUSD..,fixed_4R,train,20,10,10,50.0,23.308757776492172,3.3308757776492173,1.1654378888246086,1.0,20,False,3.940399000000004,1253.9517335248051,3.940399000000004,1253.9517335248051,5.554012092578717
XAUUSD,XAUUSD..,fixed_5R,train,17,9,8,52.94117647058824,28.308757776492175,4.538594722061522,1.6652210456760104,1.0,17,False,3.9403990000000078,1315.4332343158928,3.9403990000000078,1315.4332343158928,7.38905550963291
XAUUSD,XAUUSD..,trail_start_1R_distance_0.5R,train,34,20,14,58.82352941176471,23.22515903114581,2.6589399307961292,0.6830929126807591,1.0,34,False,2.970100000000016,1253.9003885656793,2.970100000000016,1253.9003885656793,4.263118903170686
XAUUSD,XAUUSD..,trail_start_1R_distance_1R,train,23,14,9,60.86956521739131,28.07223523790535,4.119137248656149,1.22053196686545,1.0,23,False,2.9701000000000017,1314.3656987474387,2.9701000000000017,1314.3656987474387,6.352532269202622
XAUUSD,XAUUSD..,trail_start_1R_distance_1.5R,train,20,11,9,55.00000000000001,32.69144639072788,4.6323829323030985,1.6345723195363941,1.0,20,False,2.9701000000000057,1369.5267973411146,2.9701000000000057,1369.5267973411146,7.886083081091235
XAUUSD,XAUUSD..,trail_start_1R_distance_2R,train,17,8,9,47.05882352941176,32.23319391412938,4.972220217792852,1.8960702302429047,1.0,17,False,2.9701000000000044,1355.6515296373545,2.9701000000000044,1355.6515296373545,8.44472686554962
XAUUSD,XAUUSD..,trail_start_1.5R_distance_0.5R,train,30,17,13,56.666666666666664,23.350213622024086,2.7961702786172373,0.7783404540674695,1.0,30,False,2.970100000000021,1255.529527498711,2.970100000000021,1255.529527498711,4.5637677829082515
XAUUSD,XAUUSD..,trail_start_1.5R_distance_1R,train,23,14,9,60.86956521739131,28.110384051368523,4.123376005707613,1.2221906109290663,1.0,23,False,2.9701000000000066,1314.8653968249944,2.9701000000000066,1314.8653968249944,6.361122660246589
XAUUSD,XAUUSD..,trail_start_1.5R_distance_1.5R,train,20,11,9,55.00000000000001,32.69144639072788,4.6323829323030985,1.6345723195363941,1.0,20,False,2.9701000000000057,1369.5267973411146,2.9701000000000057,1369.5267973411146,7.886083081091235
XAUUSD,XAUUSD..,trail_start_1.5R_distance_2R,train,17,8,9,47.05882352941176,32.23319391412938,4.972220217792852,1.8960702302429047,1.0,17,False,2.9701000000000044,1355.6515296373545,2.9701000000000044,1355.6515296373545,8.44472686554962
XAUUSD,XAUUSD..,trail_start_2R_distance_0.5R,train,25,14,11,56.00000000000001,22.06103521199733,3.0055486556361206,0.8824414084798932,1.0,25,False,2.9701000000000106,1240.2198007334946,2.9701000000000106,1240.2198007334946,4.744235340744883
XAUUSD,XAUUSD..,trail_start_2R_distance_1R,train,20,12,8,60.0,28.30625372689892,4.538281715862365,1.415312686344946,1.0,20,False,2.9701000000000017,1317.379667653776,2.9701000000000017,1317.379667653776,6.89140900954963
XAUUSD,XAUUSD..,trail_start_2R_distance_1.5R,train,18,10,8,55.55555555555556,33.44502434990703,5.180628043738379,1.8580569083281684,1.0,18,False,2.9701,1379.9096363087958,2.9701,1379.9096363087958,8.54135804481691
XAUUSD,XAUUSD..,trail_start_2R_distance_2R,train,16,8,8,50.0,32.486771873308534,5.060846484163567,2.0304232420817834,1.0,16,False,2.9701000000000097,1359.0479317525724,2.9701000000000097,1359.0479317525724,8.762015940951668
XAUUSD,XAUUSD..,trail_start_3R_distance_0.5R,train,21,11,10,52.38095238095239,27.98142764193076,3.7981427641930763,1.3324489353300362,1.0,21,False,3.940398999999991,1311.6582682853314,3.940398999999991,1311.6582682853314,6.518153560442172
XAUUSD,XAUUSD..,trail_start_3R_distance_1R,train,20,11,9,55.00000000000001,26.83951948589448,3.982168831766053,1.3419759742947241,1.0,20,False,3.9403989999999993,1298.049545128593,3.9403989999999993,1298.049545128593,6.4412083701539355
XAUUSD,XAUUSD..,trail_start_3R_distance_1.5R,train,18,9,9,50.0,31.60146972055306,4.511274413394784,1.7556372066973922,1.0,18,False,3.940399,1354.6830483780413,3.940399,1354.6830483780413,7.967613046964023
