symbol,range_minutes,rr,month,date,opened_at,closed_at,direction,entry,stop_loss,take_profit,exit_price,result,r_multiple,spread_r,spread_points,pnl,range_high,range_low,range_atr
AUDUSD,30,1.25,2026-05,2026-05-28,2026-05-28 23:30:00,2026-05-29 06:00:00,SELL,0.71622,0.71782,0.71422,0.71657,timeout,-0.275,0.0562,9.0,-35.0,0.71646,0.71622,1.2399
EURGBP,30,1.25,2026-05,2026-05-28,2026-05-28 23:30:00,2026-05-29 06:00:00,SELL,0.86658,0.86818,0.86458,0.86634,timeout,0.0688,0.0812,13.0,24.0,0.86666,0.86658,0.6588
EURUSD,30,1.25,2026-05,2026-05-28,2026-05-28 23:45:00,2026-05-29 03:30:00,BUY,1.16526,1.16366,1.16726,1.16366,loss,-1.05,0.05,8.0,-160.0,1.16526,1.16497,1.2531
GBPUSD,30,1.25,2026-05,2026-05-28,2026-05-28 23:45:00,2026-05-29 06:00:00,BUY,1.34451,1.34291,1.34651,1.34435,timeout,-0.1625,0.0625,10.0,-16.0,1.34451,1.3441,1.3732
USDCAD,30,1.25,2026-05,2026-05-28,2026-05-28 23:45:00,2026-05-29 06:00:00,BUY,1.37834,1.37674,1.38034,1.37842,timeout,-0.0375,0.0875,14.0,8.0,1.37834,1.37812,0.8775
USDCHF,30,1.25,2026-05,2026-05-28,2026-05-29 00:00:00,2026-05-29 06:00:00,SELL,0.78368,0.78528,0.78168,0.78349,timeout,0.0375,0.0812,13.0,19.0,0.7839,0.78368,1.3276
NZDUSD,30,1.25,2026-05,2026-05-28,2026-05-29 00:15:00,2026-05-29 06:00:00,BUY,0.59458,0.59298,0.59658,0.59616,timeout,0.9,0.0875,14.0,158.0,0.59458,0.59331,4.6789
EURGBP,30,1.25,2026-06,2026-06-01,2026-06-01 23:30:00,2026-06-02 06:00:00,BUY,0.86444,0.86284,0.86644,0.86422,timeout,-0.2187,0.0812,13.0,-22.0,0.86444,0.86438,0.42
NZDUSD,30,1.25,2026-06,2026-06-01,2026-06-01 23:30:00,2026-06-02 00:45:00,BUY,0.59345,0.59185,0.59545,0.59185,loss,-1.0875,0.0875,14.0,-160.0,0.59345,0.59328,0.6118
USDCAD,30,1.25,2026-06,2026-06-01,2026-06-01 23:30:00,2026-06-02 06:00:00,BUY,1.3841,1.3825,1.3861,1.38408,timeout,-0.1,0.0875,14.0,-2.0,1.3841,1.38388,0.8
USDCHF,30,1.25,2026-06,2026-06-01,2026-06-01 23:30:00,2026-06-02 06:00:00,SELL,0.78632,0.78792,0.78432,0.78565,timeout,0.3375,0.0812,13.0,67.0,0.78663,0.78632,1.6015
USDJPY,30,1.25,2026-06,2026-06-01,2026-06-01 23:30:00,2026-06-02 06:00:00,SELL,159.636,159.796,159.436,159.711,timeout,-0.5313,0.0625,10.0,-7500.0,159.657,159.636,0.4382
AUDUSD,30,1.25,2026-06,2026-06-02,2026-06-02 23:30:00,2026-06-03 06:00:00,SELL,0.71718,0.71878,0.71518,0.71601,timeout,0.675,0.0562,9.0,117.0,0.7178,0.71718,3.4173
EURGBP,30,1.25,2026-06,2026-06-02,2026-06-02 23:30:00,2026-06-03 06:00:00,BUY,0.86373,0.86213,0.86573,0.86407,timeout,0.1313,0.0812,13.0,34.0,0.86373,0.86355,1.1403
EURUSD,30,1.25,2026-06,2026-06-02,2026-06-02 23:30:00,2026-06-03 06:00:00,SELL,1.16219,1.16379,1.16019,1.16171,timeout,0.25,0.05,8.0,48.0,1.16271,1.16219,2.0507
GBPUSD,30,1.25,2026-06,2026-06-02,2026-06-02 23:30:00,2026-06-03 01:45:00,SELL,1.3455,1.3471,1.3435,1.3471,loss,-1.0625,0.0625,10.0,-160.0,1.34621,1.3455,2.3224
USDCAD,30,1.25,2026-06,2026-06-02,2026-06-02 23:30:00,2026-06-03 06:00:00,BUY,1.38419,1.38259,1.38619,1.38526,timeout,0.5812,0.0875,14.0,107.0,1.38419,1.3839,1.2378
USDCHF,30,1.25,2026-06,2026-06-02,2026-06-02 23:30:00,2026-06-03 06:00:00,BUY,0.78799,0.78639,0.78999,0.78906,timeout,0.5875,0.0812,13.0,107.0,0.78799,0.78732,2.9684
USDJPY,30,1.25,2026-06,2026-06-02,2026-06-02 23:30:00,2026-06-03 01:45:00,BUY,159.987,159.827,160.187,159.827,loss,-1.0625,0.0625,10.0,-16000.0,159.987,159.945,1.028
NZDUSD,30,1.25,2026-06,2026-06-02,2026-06-02 23:45:00,2026-06-03 06:00:00,SELL,0.59193,0.59353,0.58993,0.59034,timeout,0.9062,0.0875,14.0,159.0,0.59275,0.59193,3.3964
AUDUSD,30,1.25,2026-06,2026-06-03,2026-06-03 23:30:00,2026-06-04 06:00:00,SELL,0.71283,0.71443,0.71083,0.71307,timeout,-0.2063,0.0562,9.0,-24.0,0.71368,0.71283,3.6615
EURGBP,30,1.25,2026-06,2026-06-03,2026-06-03 23:30:00,2026-06-04 06:00:00,BUY,0.86469,0.86309,0.86669,0.86444,timeout,-0.2375,0.0812,13.0,-25.0,0.86469,0.86453,1.2584
USDCAD,30,1.25,2026-06,2026-06-03,2026-06-03 23:30:00,2026-06-04 06:00:00,BUY,1.3895,1.3879,1.3915,1.39049,timeout,0.5313,0.0875,14.0,99.0,1.3895,1.38897,1.5458
USDCHF,30,1.25,2026-06,2026-06-03,2026-06-03 23:30:00,2026-06-04 06:00:00,SELL,0.79121,0.79281,0.78921,0.79046,timeout,0.3875,0.0812,13.0,75.0,0.79159,0.79121,1.3927
EURUSD,30,1.25,2026-06,2026-06-03,2026-06-03 23:45:00,2026-06-04 06:00:00,BUY,1.16081,1.15921,1.16281,1.16118,timeout,0.1812,0.05,8.0,37.0,1.16081,1.16012,2.1708
GBPUSD,30,1.25,2026-06,2026-06-03,2026-06-03 23:45:00,2026-06-04 06:00:00,BUY,1.34251,1.34091,1.34451,1.34317,timeout,0.35,0.0625,10.0,66.0,1.34251,1.34171,1.9893
NZDUSD,30,1.25,2026-06,2026-06-03,2026-06-04 00:15:00,2026-06-04 06:00:00,BUY,0.58725,0.58565,0.58925,0.58708,timeout,-0.1937,0.0875,14.0,-17.0,0.58725,0.5865,2.2727
USDJPY,30,1.25,2026-06,2026-06-03,2026-06-04 00:30:00,2026-06-04 04:30:00,SELL,159.89,160.05,159.69,159.69,win,1.1875,0.0625,10.0,20000.0,159.976,159.89,1.3666
AUDUSD,30,1.25,2026-06,2026-06-04,2026-06-04 23:30:00,2026-06-05 01:00:00,SELL,0.7133,0.7149,0.7113,0.7113,win,1.1937,0.0562,9.0,200.0,0.71358,0.7133,1.6824
EURGBP,30,1.25,2026-06,2026-06-04,2026-06-04 23:30:00,2026-06-05 06:00:00,BUY,0.86503,0.86343,0.86703,0.86502,timeout,-0.0875,0.0812,13.0,-1.0,0.86503,0.86498,0.4167
EURUSD,30,1.25,2026-06,2026-06-04,2026-06-04 23:30:00,2026-06-05 06:00:00,SELL,1.16117,1.16277,1.15917,1.16144,timeout,-0.2187,0.05,8.0,-27.0,1.16136,1.16117,0.7328
GBPUSD,30,1.25,2026-06,2026-06-04,2026-06-04 23:30:00,2026-06-05 06:00:00,SELL,1.34231,1.34391,1.34031,1.34259,timeout,-0.2375,0.0625,10.0,-28.0,1.34245,1.34231,0.4667
USDCAD,30,1.25,2026-06,2026-06-04,2026-06-04 23:30:00,2026-06-05 06:00:00,BUY,1.39074,1.38914,1.39274,1.39071,timeout,-0.1063,0.0875,14.0,-3.0,1.39074,1.39058,0.4516
NZDUSD,30,1.25,2026-06,2026-06-04,2026-06-04 23:45:00,2026-06-05 06:00:00,SELL,0.58687,0.58847,0.58487,0.58623,timeout,0.3125,0.0875,14.0,64.0,0.5873,0.58687,2.4672
USDCHF,30,1.25,2026-06,2026-06-04,2026-06-04 23:45:00,2026-06-05 06:00:00,SELL,0.78919,0.79079,0.78719,0.7889,timeout,0.1,0.0812,13.0,29.0,0.78941,0.78919,1.1365
USDJPY,30,1.25,2026-06,2026-06-04,2026-06-05 00:30:00,2026-06-05 06:00:00,SELL,159.966,160.126,159.766,159.956,timeout,0.0,0.0625,10.0,1000.0,160.007,159.966,1.2451
AUDUSD,30,1.25,2026-06,2026-06-08,2026-06-08 23:30:00,2026-06-09 02:00:00,SELL,0.70425,0.70585,0.70225,0.70585,loss,-1.0562,0.0562,9.0,-160.0,0.70451,0.70425,1.3788
EURGBP,30,1.25,2026-06,2026-06-08,2026-06-08 23:30:00,2026-06-09 06:00:00,BUY,0.86452,0.86292,0.86652,0.86371,timeout,-0.5875,0.0812,13.0,-81.0,0.86452,0.86442,0.6481
EURUSD,30,1.25,2026-06,2026-06-08,2026-06-08 23:30:00,2026-06-09 04:45:00,SELL,1.15306,1.15466,1.15106,1.15466,loss,-1.05,0.05,8.0,-160.0,1.15339,1.15306,1.2126
GBPUSD,30,1.25,2026-06,2026-06-08,2026-06-08 23:30:00,2026-06-09 04:15:00,SELL,1.33371,1.33531,1.33171,1.33531,loss,-1.0625,0.0625,10.0,-160.0,1.33412,1.33371,1.3075
NZDUSD,30,1.25,2026-06,2026-06-08,2026-06-08 23:30:00,2026-06-09 04:30:00,SELL,0.58056,0.58216,0.57856,0.58216,loss,-1.0875,0.0875,14.0,-160.0,0.58088,0.58056,1.5395
USDCAD,30,1.25,2026-06,2026-06-08,2026-06-08 23:30:00,2026-06-09 05:45:00,BUY,1.39547,1.39387,1.39747,1.39387,loss,-1.0875,0.0875,14.0,-160.0,1.39547,1.39514,0.9296
USDCHF,30,1.25,2026-06,2026-06-08,2026-06-08 23:30:00,2026-06-09 05:30:00,BUY,0.79794,0.79634,0.79994,0.79634,loss,-1.0812,0.0812,13.0,-160.0,0.79794,0.79768,1.1704
USDJPY,30,1.25,2026-06,2026-06-08,2026-06-08 23:30:00,2026-06-09 06:00:00,BUY,160.198,160.038,160.398,160.095,timeout,-0.7063,0.0625,10.0,-10300.0,160.198,160.156,0.9983
AUDUSD,30,1.25,2026-06,2026-06-09,2026-06-09 23:30:00,2026-06-10 06:00:00,SELL,0.70158,0.70318,0.69958,0.70209,timeout,-0.375,0.0562,9.0,-51.0,0.70224,0.70158,1.9701
EURGBP,30,1.25,2026-06,2026-06-09,2026-06-09 23:30:00,2026-06-10 06:00:00,BUY,0.86278,0.86118,0.86478,0.8627,timeout,-0.1312,0.0812,13.0,-8.0,0.86278,0.86267,0.6471
EURUSD,30,1.25,2026-06,2026-06-09,2026-06-09 23:30:00,2026-06-10 03:45:00,SELL,1.15345,1.15505,1.15145,1.15505,loss,-1.05,0.05,8.0,-160.0,1.15389,1.15345,1.3812
GBPUSD,30,1.25,2026-06,2026-06-09,2026-06-09 23:30:00,2026-06-10 03:00:00,SELL,1.33681,1.33841,1.33481,1.33841,loss,-1.0625,0.0625,10.0,-160.0,1.3375,1.33681,1.3702
NZDUSD,30,1.25,2026-06,2026-06-09,2026-06-09 23:30:00,2026-06-10 01:15:00,SELL,0.58049,0.58209,0.57849,0.58209,loss,-1.0875,0.0875,14.0,-160.0,0.58107,0.58049,1.9661
USDCAD,30,1.25,2026-06,2026-06-09,2026-06-09 23:30:00,2026-06-10 06:00:00,BUY,1.3956,1.394,1.3976,1.394,loss,-1.0875,0.0875,14.0,-160.0,1.3956,1.39508,1.8524
USDCHF,30,1.25,2026-06,2026-06-09,2026-06-09 23:30:00,2026-06-10 06:00:00,BUY,0.79914,0.79754,0.80114,0.79797,timeout,-0.8125,0.0812,13.0,-117.0,0.79914,0.79874,1.7666
USDJPY,30,1.25,2026-06,2026-06-09,2026-06-09 23:30:00,2026-06-10 06:00:00,SELL,160.396,160.556,160.196,160.339,timeout,0.2937,0.0625,10.0,5700.0,160.419,160.396,0.5136
AUDUSD,30,1.25,2026-06,2026-06-10,2026-06-10 23:30:00,2026-06-11 06:00:00,BUY,0.69991,0.69831,0.70191,0.70052,timeout,0.325,0.0562,9.0,61.0,0.69991,0.6987,3.8853
EURUSD,30,1.25,2026-06,2026-06-10,2026-06-10 23:30:00,2026-06-11 06:00:00,BUY,1.15361,1.15201,1.15561,1.15459,timeout,0.5625,0.05,8.0,98.0,1.15361,1.15253,2.6434
GBPUSD,30,1.25,2026-06,2026-06-10,2026-06-10 23:30:00,2026-06-11 01:00:00,BUY,1.33631,1.33471,1.33831,1.33831,win,1.1875,0.0625,10.0,200.0,1.33631,1.33494,2.5404
NZDUSD,30,1.25,2026-06,2026-06-10,2026-06-10 23:30:00,2026-06-11 06:00:00,BUY,0.57956,0.57796,0.58156,0.57935,timeout,-0.2187,0.0875,14.0,-21.0,0.57956,0.57857,2.3814
USDCAD,30,1.25,2026-06,2026-06-10,2026-06-10 23:30:00,2026-06-11 06:00:00,SELL,1.39437,1.39597,1.39237,1.39466,timeout,-0.2688,0.0875,14.0,-29.0,1.39497,1.39437,1.7248
USDCHF,30,1.25,2026-06,2026-06-10,2026-06-10 23:30:00,2026-06-11 06:00:00,SELL,0.79982,0.80142,0.79782,0.79847,timeout,0.7625,0.0812,13.0,135.0,0.80058,0.79982,2.24
USDJPY,30,1.25,2026-06,2026-06-10,2026-06-10 23:30:00,2026-06-11 06:00:00,SELL,160.514,160.674,160.314,160.54,timeout,-0.225,0.0625,10.0,-2600.0,160.557,160.514,0.8059
EURGBP,30,1.25,2026-06,2026-06-10,2026-06-11 00:00:00,2026-06-11 06:00:00,BUY,0.86332,0.86172,0.86532,0.86284,timeout,-0.3812,0.0812,13.0,-48.0,0.86332,0.86316,1.1144
AUDUSD,30,1.25,2026-06,2026-06-11,2026-06-11 23:30:00,2026-06-12 05:45:00,SELL,0.70454,0.70614,0.70254,0.70254,win,1.1937,0.0562,9.0,200.0,0.70523,0.70454,1.3761
EURGBP,30,1.25,2026-06,2026-06-11,2026-06-11 23:30:00,2026-06-12 06:00:00,SELL,0.86285,0.86445,0.86085,0.86252,timeout,0.125,0.0812,13.0,33.0,0.86295,0.86285,0.4058
EURUSD,30,1.25,2026-06,2026-06-11,2026-06-11 23:30:00,2026-06-12 06:00:00,SELL,1.15767,1.15927,1.15567,1.15653,timeout,0.6625,0.05,8.0,114.0,1.15861,1.15767,2.0989
GBPUSD,30,1.25,2026-06,2026-06-11,2026-06-11 23:30:00,2026-06-12 05:45:00,SELL,1.34152,1.34312,1.33952,1.33952,win,1.1875,0.0625,10.0,200.0,1.3426,1.34152,1.7123
NZDUSD,30,1.25,2026-06,2026-06-11,2026-06-11 23:30:00,2026-06-12 06:00:00,SELL,0.58295,0.58455,0.58095,0.582,timeout,0.5062,0.0875,14.0,95.0,0.58394,0.58295,2.5109
USDCAD,30,1.25,2026-06,2026-06-11,2026-06-11 23:30:00,2026-06-12 06:00:00,BUY,1.39717,1.39557,1.39917,1.39757,timeout,0.1625,0.0875,14.0,40.0,1.39717,1.39611,2.1728
USDCHF,30,1.25,2026-06,2026-06-11,2026-06-11 23:30:00,2026-06-12 06:00:00,BUY,0.79488,0.79328,0.79688,0.79606,timeout,0.6562,0.0812,13.0,118.0,0.79488,0.79416,1.9091
USDJPY,30,1.25,2026-06,2026-06-11,2026-06-11 23:30:00,2026-06-12 01:45:00,BUY,160.048,159.888,160.248,160.248,win,1.1875,0.0625,10.0,20000.0,160.048,159.968,0.9714
AUDUSD,30,1.25,2026-06,2026-06-15,2026-06-15 23:30:00,2026-06-16 02:15:00,BUY,0.70719,0.70559,0.70919,0.70559,loss,-1.0562,0.0562,9.0,-160.0,0.70719,0.70692,1.4211
EURGBP,30,1.25,2026-06,2026-06-15,2026-06-15 23:30:00,2026-06-16 06:00:00,BUY,0.86406,0.86246,0.86606,0.86423,timeout,0.025,0.0812,13.0,17.0,0.86406,0.86397,0.4791
EURUSD,30,1.25,2026-06,2026-06-15,2026-06-15 23:30:00,2026-06-16 04:15:00,BUY,1.15916,1.15756,1.16116,1.15756,loss,-1.05,0.05,8.0,-160.0,1.15916,1.15881,0.9939
GBPUSD,30,1.25,2026-06,2026-06-15,2026-06-15 23:30:00,2026-06-16 02:15:00,BUY,1.34142,1.33982,1.34342,1.33982,loss,-1.0625,0.0625,10.0,-160.0,1.34142,1.3411,0.6892
NZDUSD,30,1.25,2026-06,2026-06-15,2026-06-15 23:30:00,2026-06-16 02:15:00,BUY,0.58274,0.58114,0.58474,0.58114,loss,-1.0875,0.0875,14.0,-160.0,0.58274,0.58237,1.6497
