case,period,history_quality_pct,bars,ticks,initial_stop_atr,trailing_atr,trail_start_r,close_at_session_end,initial_balance,final_balance,net_profit,return_pct,gross_profit,gross_loss,profit_factor,equity_dd_amount,equity_dd_pct,balance_dd_amount,balance_dd_pct,trades,wins,losses,win_rate,long_trades,long_win_rate,short_trades,short_win_rate,largest_win,largest_loss,average_win,average_loss,expected_payoff,recovery_factor,sharpe_ratio,commission,swap,score,status,report,graph,strategy,symbol,stage,weekdays_only,from_date,to_date,model,elapsed_seconds
btc-topdown--locked--all-days,M15 (2025.09.01 - 2026.09.01),100.0,35038,47331646,0.0,0.0,0.0,False,10000.0,10169.68,169.68,1.6968,776.4,-606.72,1.28,368.22,3.68,300.68,3.01,10,4,6,40.0,4,50.0,6,33.33,199.52,-99.57,194.1,-98.36,16.97,0.46,2.22,-16.55,0.0,-5.6632,valid,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Crypto Weekend Audit 2026-09-06\Reports\btc-topdown--locked--all-days.htm,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Crypto Weekend Audit 2026-09-06\Reports\btc-topdown--locked--all-days.png,BTC Top-Down FVG,BTCUSD,locked,False,2025.09.01,2026.09.01,0,21.96
btc-topdown--locked--weekdays,M15 (2025.09.01 - 2026.09.01),100.0,35038,47331646,0.0,0.0,0.0,False,10000.0,10183.07,183.07,1.8307,584.27,-401.2,1.46,331.66,3.32,299.01,2.99,7,3,4,42.86,3,66.67,4,25.0,199.52,-99.5,194.76,-97.75,26.15,0.55,1.46,-10.19,0.0,-4.8092999999999995,valid,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Crypto Weekend Audit 2026-09-06\Reports\btc-topdown--locked--weekdays.htm,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Crypto Weekend Audit 2026-09-06\Reports\btc-topdown--locked--weekdays.png,BTC Top-Down FVG,BTCUSD,locked,True,2025.09.01,2026.09.01,0,21.82
btc-topdown--three-year--all-days,M15 (2023.09.01 - 2026.09.01),100.0,105080,261623952,0.0,0.0,0.0,False,10000.0,10315.34,315.34,3.1534,3384.03,-3068.69,1.1,837.67,7.9,648.51,6.19,53,23,30,43.4,43,46.51,10,30.0,204.17,-111.59,147.13,-99.62,5.95,0.38,2.6,-79.96999999999998,-20.65,-12.646600000000001,valid,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Crypto Weekend Audit 2026-09-06\Reports\btc-topdown--three-year--all-days.htm,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Crypto Weekend Audit 2026-09-06\Reports\btc-topdown--three-year--all-days.png,BTC Top-Down FVG,BTCUSD,three-year,False,2023.09.01,2026.09.01,0,88.66
btc-topdown--three-year--weekdays,M15 (2023.09.01 - 2026.09.01),100.0,105080,261623952,0.0,0.0,0.0,False,10000.0,9747.01,-252.99,-2.5299,2334.04,-2587.03,0.9,832.25,8.25,786.11,7.81,44,18,26,40.91,36,44.44,8,25.0,195.47,-106.59,129.67,-97.07,-5.75,-0.3,-2.56,-63.28999999999999,-20.15,-19.0299,valid,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Crypto Weekend Audit 2026-09-06\Reports\btc-topdown--three-year--weekdays.htm,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Crypto Weekend Audit 2026-09-06\Reports\btc-topdown--three-year--weekdays.png,BTC Top-Down FVG,BTCUSD,three-year,True,2023.09.01,2026.09.01,0,89.91
eth-topdown--locked--all-days,M15 (2025.09.01 - 2026.09.01),100.0,35038,30268002,0.0,0.0,0.0,False,10000.0,11141.42,1141.42,11.414200000000001,2894.43,-1753.01,1.65,692.71,6.68,478.11,4.11,26,11,15,42.31,11,27.27,15,53.33,447.24,-116.87,263.13,-106.57,43.9,1.65,6.4,-154.41,-4.29,-1.9457999999999984,valid,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Crypto Weekend Audit 2026-09-06\Reports\eth-topdown--locked--all-days.htm,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Crypto Weekend Audit 2026-09-06\Reports\eth-topdown--locked--all-days.png,ETH Top-Down FVG,ETHUSD,locked,False,2025.09.01,2026.09.01,0,16.84
eth-topdown--locked--weekdays,M15 (2025.09.01 - 2026.09.01),100.0,35038,30268002,0.0,0.0,0.0,False,10000.0,10404.39,404.39,4.0439,1866.78,-1462.39,1.28,726.69,6.86,572.57,5.22,20,7,13,35.0,11,27.27,9,44.44,422.47,-110.35,266.68,-105.4,20.22,0.56,2.67,-92.13,-4.38,-9.676100000000002,valid,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Crypto Weekend Audit 2026-09-06\Reports\eth-topdown--locked--weekdays.htm,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Crypto Weekend Audit 2026-09-06\Reports\eth-topdown--locked--weekdays.png,ETH Top-Down FVG,ETHUSD,locked,True,2025.09.01,2026.09.01,0,16.76
eth-topdown--three-year--all-days,M15 (2023.09.01 - 2026.09.01),100.0,105068,123393034,0.0,0.0,0.0,False,10000.0,12176.77,2176.77,21.7677,5193.25,-3016.48,1.72,757.22,6.68,522.52,4.11,44,19,25,43.18,19,31.58,25,52.0,488.76,-127.74,273.33,-112.29,49.47,2.87,7.28,-209.22999999999996,-12.21,8.407700000000002,valid,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Crypto Weekend Audit 2026-09-06\Reports\eth-topdown--three-year--all-days.htm,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Crypto Weekend Audit 2026-09-06\Reports\eth-topdown--three-year--all-days.png,ETH Top-Down FVG,ETHUSD,three-year,False,2023.09.01,2026.09.01,0,49.57
eth-topdown--three-year--weekdays,M15 (2023.09.01 - 2026.09.01),100.0,105068,123393034,0.0,0.0,0.0,False,10000.0,11565.03,1565.03,15.6503,4084.05,-2519.02,1.62,807.4,6.86,636.35,5.22,35,14,21,40.0,17,29.41,18,50.0,469.58,-122.67,291.72,-113.44,44.72,1.94,7.21,-136.88,-12.53,1.930299999999999,valid,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Crypto Weekend Audit 2026-09-06\Reports\eth-topdown--three-year--weekdays.htm,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Crypto Weekend Audit 2026-09-06\Reports\eth-topdown--three-year--weekdays.png,ETH Top-Down FVG,ETHUSD,three-year,True,2023.09.01,2026.09.01,0,47.29
btc-pocfib--locked--all-days,M15 (2025.09.01 - 2026.09.01),100.0,35038,47331646,0.0,0.0,0.0,False,10000.0,10868.17,868.17,8.6817,2432.48,-1564.31,1.55,860.3,7.44,780.5,6.79,20,6,14,30.0,10,40.0,10,20.0,544.93,-115.42,405.41,-109.98,43.41,1.01,5.03,-24.61,-23.1,-6.1983000000000015,valid,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Crypto Weekend Audit 2026-09-06\Reports\btc-pocfib--locked--all-days.htm,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Crypto Weekend Audit 2026-09-06\Reports\btc-pocfib--locked--all-days.png,BTC POC Fibonacci,BTCUSD,locked,False,2025.09.01,2026.09.01,0,13.63
btc-pocfib--locked--weekdays,M15 (2025.09.01 - 2026.09.01),100.0,35038,47331646,0.0,0.0,0.0,False,10000.0,10868.17,868.17,8.6817,2432.48,-1564.31,1.55,860.3,7.44,780.5,6.79,20,6,14,30.0,10,40.0,10,20.0,544.93,-115.42,405.41,-109.98,43.41,1.01,5.03,-24.61,-23.1,-6.1983000000000015,valid,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Crypto Weekend Audit 2026-09-06\Reports\btc-pocfib--locked--weekdays.htm,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Crypto Weekend Audit 2026-09-06\Reports\btc-pocfib--locked--weekdays.png,BTC POC Fibonacci,BTCUSD,locked,True,2025.09.01,2026.09.01,0,13.58
btc-pocfib--three-year--all-days,M15 (2023.09.01 - 2026.09.01),100.0,105080,261623952,0.0,0.0,0.0,False,10000.0,11503.55,1503.55,15.035499999999999,5544.21,-4040.66,1.37,1138.84,10.93,892.65,8.72,57,19,38,33.33,31,48.39,26,15.38,572.81,-123.81,291.8,-104.58,26.38,1.32,3.34,-66.55000000000001,-116.68,-6.8245000000000005,valid,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Crypto Weekend Audit 2026-09-06\Reports\btc-pocfib--three-year--all-days.htm,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Crypto Weekend Audit 2026-09-06\Reports\btc-pocfib--three-year--all-days.png,BTC POC Fibonacci,BTCUSD,three-year,False,2023.09.01,2026.09.01,0,42.77
btc-pocfib--three-year--weekdays,M15 (2023.09.01 - 2026.09.01),100.0,105080,261623952,0.0,0.0,0.0,False,10000.0,11503.55,1503.55,15.035499999999999,5544.21,-4040.66,1.37,1138.84,10.93,892.65,8.72,57,19,38,33.33,31,48.39,26,15.38,572.81,-123.81,291.8,-104.58,26.38,1.32,3.34,-66.55000000000001,-116.68,-6.8245000000000005,valid,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Crypto Weekend Audit 2026-09-06\Reports\btc-pocfib--three-year--weekdays.htm,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Crypto Weekend Audit 2026-09-06\Reports\btc-pocfib--three-year--weekdays.png,BTC POC Fibonacci,BTCUSD,three-year,True,2023.09.01,2026.09.01,0,41.65
