event;time_msc;bid;ask;current_high;current_low;previous_high;previous_low
0;1761308815000;110931.71;110932.21;110991.01;110931.71;111060.87;110952.60
0;1761308819000;110930.01;110930.51;110991.01;110930.01;111060.87;110952.60
0;1761308820000;110931.95;110932.45;110931.95;110931.95;110991.01;110930.01
0;1761308820983;110927.75;110928.25;110931.95;110927.75;110991.01;110930.01
0;1761308821967;110923.54;110924.04;110931.95;110923.54;110991.01;110930.01
0;1761308822950;110919.34;110919.84;110931.95;110919.34;110991.01;110930.01
0;1761308823934;110915.13;110915.63;110931.95;110915.13;110991.01;110930.01
0;1761308824918;110910.92;110911.42;110931.95;110910.92;110991.01;110930.01
0;1761308825901;110912.32;110912.82;110931.95;110910.92;110991.01;110930.01
0;1761308826885;110913.72;110914.22;110931.95;110910.92;110991.01;110930.01
0;1761308827868;110915.12;110915.62;110931.95;110910.92;110991.01;110930.01
0;1761308828852;110916.52;110917.02;110931.95;110910.92;110991.01;110930.01
0;1761308829836;110917.93;110918.43;110931.95;110910.92;110991.01;110930.01
0;1761308830819;110915.13;110915.63;110931.95;110910.92;110991.01;110930.01
0;1761308831803;110912.33;110912.83;110931.95;110910.92;110991.01;110930.01
0;1761308832786;110909.52;110910.02;110931.95;110909.52;110991.01;110930.01
0;1761308833770;110906.72;110907.22;110931.95;110906.72;110991.01;110930.01
0;1761308834754;110903.91;110904.41;110931.95;110903.91;110991.01;110930.01
0;1761308835737;110909.35;110909.85;110931.95;110903.91;110991.01;110930.01
0;1761308836721;110914.79;110915.29;110931.95;110903.91;110991.01;110930.01
0;1761308837704;110920.23;110920.73;110931.95;110903.91;110991.01;110930.01
0;1761308838688;110925.67;110926.17;110931.95;110903.91;110991.01;110930.01
0;1761308839672;110931.12;110931.62;110931.95;110903.91;110991.01;110930.01
0;1761308840655;110931.11;110931.61;110931.95;110903.91;110991.01;110930.01
0;1761308841639;110931.12;110931.62;110931.95;110903.91;110991.01;110930.01
0;1761308842622;110931.11;110931.61;110931.95;110903.91;110991.01;110930.01
0;1761308843606;110931.12;110931.62;110931.95;110903.91;110991.01;110930.01
0;1761308844590;110931.11;110931.61;110931.95;110903.91;110991.01;110930.01
0;1761308845573;110936.55;110937.05;110936.55;110903.91;110991.01;110930.01
0;1761308846557;110941.99;110942.49;110941.99;110903.91;110991.01;110930.01
0;1761308847540;110947.43;110947.93;110947.43;110903.91;110991.01;110930.01
0;1761308848524;110952.87;110953.37;110952.87;110903.91;110991.01;110930.01
0;1761308849508;110958.32;110958.82;110958.32;110903.91;110991.01;110930.01
0;1761308850491;110958.31;110958.81;110958.32;110903.91;110991.01;110930.01
0;1761308851475;110958.32;110958.82;110958.32;110903.91;110991.01;110930.01
0;1761308852459;110958.31;110958.81;110958.32;110903.91;110991.01;110930.01
0;1761308853442;110958.32;110958.82;110958.32;110903.91;110991.01;110930.01
0;1761308854426;110958.31;110958.81;110958.32;110903.91;110991.01;110930.01
0;1761308855409;110963.75;110964.25;110963.75;110903.91;110991.01;110930.01
0;1761308856393;110969.20;110969.70;110969.20;110903.91;110991.01;110930.01
0;1761308857377;110974.64;110975.14;110974.64;110903.91;110991.01;110930.01
0;1761308858360;110980.09;110980.59;110980.09;110903.91;110991.01;110930.01
0;1761308859344;110985.54;110986.04;110985.54;110903.91;110991.01;110930.01
0;1761308860327;110984.46;110984.96;110985.54;110903.91;110991.01;110930.01
0;1761308861311;110983.37;110983.87;110985.54;110903.91;110991.01;110930.01
0;1761308862295;110982.29;110982.79;110985.54;110903.91;110991.01;110930.01
0;1761308863278;110981.20;110981.70;110985.54;110903.91;110991.01;110930.01
0;1761308864262;110980.11;110980.61;110985.54;110903.91;110991.01;110930.01
0;1761308865245;110980.47;110980.97;110985.54;110903.91;110991.01;110930.01
0;1761308866229;110980.83;110981.33;110985.54;110903.91;110991.01;110930.01
0;1761308867213;110981.19;110981.69;110985.54;110903.91;110991.01;110930.01
0;1761308868196;110981.55;110982.05;110985.54;110903.91;110991.01;110930.01
0;1761308869180;110981.92;110982.42;110985.54;110903.91;110991.01;110930.01
0;1761308870163;110981.52;110982.02;110985.54;110903.91;110991.01;110930.01
0;1761308871147;110981.12;110981.62;110985.54;110903.91;110991.01;110930.01
0;1761308872131;110980.72;110981.22;110985.54;110903.91;110991.01;110930.01
0;1761308873114;110980.32;110980.82;110985.54;110903.91;110991.01;110930.01
0;1761308874098;110979.92;110980.42;110985.54;110903.91;110991.01;110930.01
0;1761308875081;110979.52;110980.02;110985.54;110903.91;110991.01;110930.01
0;1761308876065;110979.12;110979.62;110985.54;110903.91;110991.01;110930.01
0;1761308877049;110978.72;110979.22;110985.54;110903.91;110991.01;110930.01
0;1761308879033;110978.31;110978.81;110985.54;110903.91;110991.01;110930.01
0;1761308880000;110978.18;110978.68;110978.18;110978.18;110985.54;110903.91
0;1761308880731;110982.13;110982.63;110982.13;110978.18;110985.54;110903.91
0;1761308881463;110986.09;110986.59;110986.09;110978.18;110985.54;110903.91
0;1761308882195;110990.05;110990.55;110990.05;110978.18;110985.54;110903.91
0;1761308882926;110994.01;110994.51;110994.01;110978.18;110985.54;110903.91
0;1761308883658;110997.97;110998.47;110997.97;110978.18;110985.54;110903.91
0;1761308884390;111001.93;111002.43;111001.93;110978.18;110985.54;110903.91
0;1761308885121;111005.89;111006.39;111005.89;110978.18;110985.54;110903.91
0;1761308885853;111004.57;111005.07;111005.89;110978.18;110985.54;110903.91
0;1761308886585;111003.25;111003.75;111005.89;110978.18;110985.54;110903.91
0;1761308887317;111001.93;111002.43;111005.89;110978.18;110985.54;110903.91
0;1761308888048;111000.61;111001.11;111005.89;110978.18;110985.54;110903.91
0;1761308888780;110999.29;110999.79;111005.89;110978.18;110985.54;110903.91
0;1761308889512;110997.97;110998.47;111005.89;110978.18;110985.54;110903.91
0;1761308890243;110996.65;110997.15;111005.89;110978.18;110985.54;110903.91
0;1761308890975;110999.29;110999.79;111005.89;110978.18;110985.54;110903.91
0;1761308891707;111001.93;111002.43;111005.89;110978.18;110985.54;110903.91
0;1761308892439;111004.57;111005.07;111005.89;110978.18;110985.54;110903.91
0;1761308893170;111007.21;111007.71;111007.21;110978.18;110985.54;110903.91
