date,direction,orb_high,orb_low,vwap,extension_extreme,signal_time,entry_time,entry,stop,target,risk_points,exit_time,exit_reason,net_r
2020-01-23T00:00:00-05:00,1,9189.51,9141.01,9177.71384626284,9203.48,2020-01-23T10:55:00-05:00,2020-01-23T11:00:00-05:00,9178.73,9161.14375,9213.9025,17.58625000000029,2020-01-23T14:59:00-05:00,target,1.8862747885421869
2020-01-24T00:00:00-05:00,-1,9272.04,9251.76,9256.49477179487,9245.56,2020-01-24T09:50:00-05:00,2020-01-24T09:55:00-05:00,9249.52,9267.575,9213.41,18.05500000000029,2020-01-24T11:24:00-05:00,target,1.889227360841874
2020-01-29T00:00:00-05:00,-1,9150.13,9129.09,9099.58155683142,9064.62,2020-01-29T10:40:00-05:00,2020-01-29T10:45:00-05:00,9098.78,9118.13125,9060.077500000001,19.35124999999971,2020-01-29T11:55:00-05:00,stop,-1.1033524966087478
2020-02-03T00:00:00-05:00,1,9088.13,9030.71,9116.728243735275,9150.14,2020-02-03T10:50:00-05:00,2020-02-03T10:55:00-05:00,9119.93,9099.54625,9160.697500000002,20.383750000000873,2020-02-03T11:43:00-05:00,stop,-1.0981173729073361
2020-02-10T00:00:00-05:00,1,9427.28,9369.48,9413.557105016409,9428.66,2020-02-10T09:50:00-05:00,2020-02-10T09:55:00-05:00,9428.5,9407.645,9470.21,20.854999999999563,2020-02-10T11:46:00-05:00,target,1.9040997362742726
2020-02-12T00:00:00-05:00,-1,9594.98,9571.52,9568.920382866121,9550.86,2020-02-12T10:40:00-05:00,2020-02-12T10:45:00-05:00,9560.99,9583.21125,9516.547499999999,22.22125000000051,2020-02-12T11:09:00-05:00,stop,-1.090003937672271
2020-02-14T00:00:00-05:00,-1,9631.26,9599.92,9608.861719787517,9595.09,2020-02-14T10:00:00-05:00,2020-02-14T10:05:00-05:00,9600.81,9625.58625,9551.257499999998,24.7762500000008,2020-02-14T10:51:00-05:00,stop,-1.080722466071336
2020-02-19T00:00:00-05:00,1,9701.78,9672.6,9696.927301587304,9707.4,2020-02-19T10:10:00-05:00,2020-02-19T10:15:00-05:00,9699.2,9674.423750000002,9748.752499999999,24.77624999999898,2020-02-19T15:59:00-05:00,session_close,0.7244841329902486
2020-02-26T00:00:00-05:00,1,9007.87,8874.15,8972.763232113504,9030.58,2020-02-26T11:10:00-05:00,2020-02-26T11:15:00-05:00,8976.39,8946.695,9035.779999999999,29.69499999999971,2020-02-26T11:55:00-05:00,stop,-1.0673514059606002
2020-03-04T00:00:00-05:00,-1,8777.38,8683.51,8706.855669953595,8661.57,2020-03-04T10:00:00-05:00,2020-03-04T10:05:00-05:00,8696.17,8731.645,8625.22,35.475000000000364,2020-03-04T10:12:00-05:00,stop,-1.056377730796335
